Reference	Prediction
ɯpa nɯ rdɤstaʁ kɤntɤm nɯ tɕu pjɯ́wɣta 	ɯpa nɯrdɤstaʁ kɤnɯmɲɯɣ pjɯ́wɣta
tɕendɤre kɯsɤscit ci ɲɤɕarnɯ tɕe nɯ tɕu tonɯnanɯ	tɕendɤre kɯsɤscit ci ɲɤɕarnɯ tɕe nɯtɕu tonɯnanɯ
tɕe nɯnɯ li ɯfkaβ me ma ɯχcɤl nɯreri 	tɕe nɯnɯli ɯfkaβ mama ɯχcɤl nɯreri
tɕe ɲɯmpɕɤr	tɕe ɲɯmpɕɤr
tɕe nɯnɯ grɯβgrɯβ ŋu tɕe 	tɕe nɯnɯ grɯβgrɯβ ŋutɕ
tɕendɤre tshɯtho stu kɯxtɕi nɯ iɕqha tɯtshot ɯrgɤm nɯ ɯŋgɯ toɕe	tɕendɤre tshɯtho stu kɯxtɕi nɯ iɕqha tɯtshot ɯrgɤm nɯɕɯŋgɯ toɕe
wuma ʑo ɲɯdɤn tɕe ɲɯrʑi tɕe	wumaʑo ɲɯdɤn tɕe ɲɯrʑi tɕe
tɯrqo ʑmbraʁ mɤɕe tutinɯ 	tɯrqoʁ mbaʁ mɤɕe tutinɯ
kuɣɯta nɯsɯsota ri ɲɤnɯjmɯta ma	juɣɯta sɤta ri ɲɯnɯjmɯt ma
stoʁ nɯnɯ nɤkinɯ tɤrɤku ŋu 	stoʁ nɯnɯ nɤkinɯ tɤrɤku ŋu
tsuku tɕe kɯwxtɯwxti ʑo kɯβde jamar kɯmŋu jamar ma kɯme ɣɤʑu	tsuku tɕe kɯwxtɯwxti ʑo kɯβde jamar kɯmŋu jamar ma kɯme ɣɤʑu
tɕeri ɯkɯm nɤki sɤcɯ pjɤkɤlɤtci ɕti qhe kɤcɯ mɯpjɤkhɯ	tɕekɯm nɤki sɤcɯ pjɤkɤlɤtci ɕti qhe kɤcɯ mɯpjɤkhɯ
sɲikuku ʑo nɤʑo ntsɯ maʁ 	sɲikuku ʑo nɤʑo ma
tɕendɤre pha aphoŋbu ʑo maka tusɤrŋi ʑo ɲɯɕti tɕe 	tɕendɤre pha phoŋbu ʑo maka tusɤrŋi ʑo ɲɯɕti tɕe
tukɯɤɕqhe tɕe ci tumŋɤm	tukɯɤɕqhe tɕeki tumŋɤm
tɤmu kɤtsa ci pjɤtundʑi tɕe	tɯmɯ kɤtsa ci pjɤtu tɕetɕe
tɕe nɯnɯ prɤschɯ ŋu tɕe prɤschɯ ɯŋgɯ nɯtɕu nɤkinɯ	tɕe nɯnɯ prɤschɯ ŋu tɕe prɤschɯ ɯŋgɯ nɯtɕu nɤkinɯ
nɤki χɕitka jɤɣe ri qhe pjɯkhrɯ ɕti	stonka jɤɣe ri qhetɕe pjɯkhrɯ ɕti
nɯ thaphɯtnɯ	nɯqhu tɕe thaphɯtnɯ
tɕeri ɯŋgɯ ɯsi nɯnɯ tɕe tɕe mbraj nɯ ʑru tɕe 	tɕeri ɯŋgɯ ɯsi nɯnɯ tɕetɕe mbraj nɯru tɕe
tɕendɤre nɯnɯ tunɯrʁɯrʁa tɕe sakaβ ɣɯ ɯrkɯ nɯtɕu tunɯrʁɯrʁa tɕe tunɯɬoʁa chaa ɲɤsɯso ri	tɕendɤre nɯnɯ tunɯrʁɯrʁa tɕe sakaβ ɯrkɯ nɯtɕu tunɯrʁɯrʁa tɕe tunɯɬoʁ cha ɲɤsɯso ri
tɕe nɯ kɯfse ɲɯβze qhe tɕe ʑɯrɯʑɤri tɕe li kɯpɤz ɲɯβze ɲɯŋu	tɕenɯ kɯfse ɲɯβze qhetɕe ʑɯrɯʑɤri qhe li kɯpɤz ɲɯβze
tɕe rdɤstaʁ ɯtaʁ nɯra rcanɯ nɤki	tɕe rdɤstaʁ ɯtaʁ nɯra rcanɯ nɤki
kɤspa nɯ kɯnɤ kɯndziaʁ ʑo kɯfse jonɯɣinɯ pjɤɕti tɕe	nɯk spanɯ kɯnɤ kɯndza ʑo kɯfse jonɯɣinɯ pjɤɕti tɕe
tɕe ɯmkhɤrmaŋ ra rca ɯrɟit ʑo tunɯste pjɤŋu tɕe tɕendɤre 	tɕe ɯmkhɤrmaŋ ra rca ɯrɟit ʑo tunɯste pjɤŋu tɕetɕendɤre
tɕe nɯ ɕtonɯɴqhu tɕe tɕendɤre	tɕenɯ ɕtonɯɴqhu tɕetɕendɤre
kɯmɯɕtaʁ túwɣndza ɲɯsna túwɣnɯxsɯr ɲɯsna	kɯmɯɕtaʁ túwɣndza ɲɯsna túwɣnɯxsɯr ɲɯsna
mɤt mɤkɯnɤrʑaʁ tɕe nɯ kɤndʑɯxtɤɣ χsɯm joɣinɯ	mɤkɯnɤrʑaʁ tɕenɯ kɤndʑɯxtɤɣ χsɯm joɣinɯ
tɕe nɯra kɯmpɕɤr ŋu nɤ́ma	tɕe nɯra kɯmpɕɤr tunɤma
tɕendɤre yilisha kɯ wuma ʑo pjɤz ɯsni pjɤzdɯɣ	tɕendɤre yilisha ɯkɯwum aʑo pjɤ ɯsni pjɤzdɯɣ
tɕe pjɯχsuj pɯŋu ri maka ɯrgu ɲɯsɯ ma maka ɕɤŋi nɯ nɤki ɯɲɤm kɯkhe nɯ kɯndɯndɯβ zɯmzɯm pjɯ́wɣβzu ʑo pjɯ́wɣrɤkrɯ tɕe	tɕe pjɯχsuj pɯŋu ri maka ɯrkɯ ɯsɯmat maka ɕɤmi nɯnɯkɯ ɯɲɤm ɯkɯnɯ kɯndɯndɯβ ʑo zɯmzɯm pjɯ́wɣβzu pjɯ́wɣrɤkrɯ tɕe
ɕkom ɣɯ ɯʁrɯ ndɤ ɣɤʑu	ɕkom ɯʁzɯɣ ʑu
ma ɯku nɯra nɤkinɯ kɯɲaʁ qhe ɯtaʁ kɯnɤmbju kɯtu ɲɯŋu	ma ɯku nɯra nɤkinɯ kɯɲaʁ qhe ɯtaʁ kɯnɤmbju kɯtu ɲɯŋu
tɕeri ndʑime nɯ kɯre chu kɯnɯdagong ɕti ma	tɕeri ndʑime nɯkɯr chɯkɯtaʁ koŋ ɕti ma
ɯthathor tɕe tɕe nɤkinɯ iɕqha kɯki kɯfse tɕe ɯkɯmpɕɤr	ɯthathor tɕetɕe nɤkinɯ iɕqha kɯki kɯfse tɕe ɯkɯmpɕɤr túwɣtɕɤt
ɯnɯnɯre tʂu kuɣi kuɕe ŋu ma	nɯnɯre tʂu kuɣi kuɕe ŋu ma
qhe nɤkinɯ kɯɤkhra tu	qhe nɤkinɯ kɯɤkhra tu
tɤthu ŋu tɕe ɯmdoʁ kɯmpɕɯmpɕɤr ʑo ŋu tɕe	tɤthu ŋu tɕe ɯmdoʁ kɯmpɕɯmpɕɤr ʑo ŋu tɕe
tɕendɤre ɯkɯkɯki ɕkom ki kɯɕɯŋgɯ tɕe aʑo aβɣo ɣɯ ɯme pɯŋu	tɕendɤre ɯkɯkɯki ɕkom ki kɯɕɯŋɡɯtɕe aʑo aβɣo ɣɯ ɯme pɯŋu
ɯsŋɯro kɯwxti lutɕɤt qhe aʑo mɯ́jchaa aʑo mɤchaa	ɯsŋɯro ra kɯwxti lutɕɤt qhe maka aʑo mɯ́jcha aʑo mɤcha
tɕe nɯ ɣɯ feitan nɯ ɯtaʁ kuonɯmdzɯ tɕe 	tɕe nɯɣɯ ɯf ikha nɯtaʁ kuonɯmdzɯ tɕe
tɕe ɯjwaʁ nɯ pjɯʁndzɤrnɯ tɕe tɯspra tɯspra tuxtɕɤrnɯ tɕe	tɕe ɯjwaʁ nɯ pjɯʁndzɤrnɯ tɕenɯ tɯspra tɯspra kuxtɕɤrnɯ tɕe
nɯnɯ aʑo atshɤt nɤki atɤ atɤnɯsɤfse ɯ́jɤɣ toti ri 	nɯnɯ aʑo tshɤt nɤki atɤnɯtinɯ sɤfse ɯ́jɤɣ toti ri
tɕendɤre kɯki rgɤtpu ki rca wuma ʑo kɯŋɤn ci pjɤŋu tɕe	tɕendɤre kɯki rgɤtpu ki rca wumaʑo kɯŋɤn ci pjɤŋu tɕe
nɯnɯ tɯβli jaɣɯt tɕe tham tham aʁɤndɯndɤt ʑo tu	nɯnɯ tɯβli jaɣɯt tɕetɕe thamthamtɕe aʁɤndɯndɤt totu
tɕe ɯku nɯreri kɯŋgɯŋgɤr ʑo 	tɕe ɯku nɯreri kɯŋgɯŋgɤr ʑo
kɯki tɯχpɯm ɯfsu jamar tuwxti cha	kɯki ɯχpɤ ɯfsu jamar tuwxti cha
tɕeri ɯʑo kɯfse maka mɯpjɤmpɕɤr	tɕeri ɯʑɤɣ kɯfse maka mɯpjɤ mpɕɤr
tɤtʂu kopanɯ qhe konɯrŋgɯnɯ	tɤtʂu kospanɯ qhe konɯrŋgɯnɯ
qarɣe ʑo fse kɯɣɯrnɯrni ʑo ŋu	tɤrɣe ʑo kɯfse kɯɣɯrnɯrni ʑo ŋu
a nɯ tɤŋu tɕe fso tɕe 	nɯɕoŋtɕa fso tɕe
tɕendɤre mɯɲɤstu qhe ɯqom ʑo pjɤɬoʁ	tɕendɤre mɯɲɤstu qhe ɯqaʑo pjɤɬoʁ
ɯxɕɤt ŋotɕu kɯtu ʑo nɯnɯ tɕu iɕqha znde ɯtaʁ nɯ tɕu tolɤt	ɯxɕɤt ŋotɕu kɯtu ʑo nɯnɯtɕu iɕqha znde ɯtaʁ nɯtɕu tolɤt
ɯjwaʁ nɯnɯ kɯmaʁ ra kɯfse 	ɯjwaʁ nɯnɯ kɯmaʁ ra kɯfse
ma ndzɯrnaʁ nɯ ɲaʁ ʑo	ma ndzɯrnaʁ nɯmɲaʁ ʑo
ɯtɯxtɕi ɲɯtɕhom toti	ɯtɯxtɕi ɲɯtɕhom toti
nɯra tuβzunɯ ŋgrɤl	nɯra tuβzunɯ ŋgrɤl
athɯɣinɯ ra ɯkɯti losɯxɕenɯ ri	athɯɣi nɯra ɯkɯti losɯxɕe ɲɯŋu ri
cai kɯɕɤɣ kɤndza pjɤme	shaji ɯʑɤɣ kɤndza pjɤme
ɯstɤt ɯsmɤt ɯŋga ra kɯpɣi ʁɟa ʑo pjɤŋu	nɯstɤt ɯsmɤt tɯŋgar kɯpɣi ʁɟa ʑo pjɤŋu
nɯ ma tsɯʁot kɯfse kɤnɤxɕɤt kɯfse mɤti 	nɯma tsɯʁot kɯkɯfse kɤnɤxɕɤt kɯfse mɤti
ɯʁar nɯ ɲɯqɤt nɤ kuwum ɲɯqɤt nɤ kuwum ŋu ma	ɯʁar nɯ ɲɯqanɯ kuwum ɲɯqɤt ɯkɯwum ma
tsuku kɯ tɕe shaoyaohua tuti ŋu 	tsuku kɯtɕhaʁ yao hua tutinɯ ŋu
tɕendɤre toʁde ʑo nɯnɯ nɯsɤɣzo amɤpɯmtonɯ qhe	tɕendɤre toʁde ʑo ɯnɯnɯ sɤβzu mɯmɤpɯmtoj qhe
iɕqha rgɤtpu nɯ kɯ nɯɕɯmɯma ʑo iɕqha raʁ ɣɯ tɤfkaβ nɯ kɯ iɕqha raʁ ɯphoŋ nɯnɯ chɤsɯfkaβ	iɕqha rgɤtpu nɯkɯ nɯɕɯmɯma ʑo iɕqha raʁ ɣɯt fka nɯnɯiɕqha raʁ phoŋ nɯnɯ chɤ ɯfkaβ
ɯnɯnɯ amɤtɤmŋɤm ɲɯra ma tɕe 	ɯnɯnɯ amɤtɤmŋɤm ɲɯra matɕe
tɕendɤre nɯnɯ ɯŋgɯ nɯtɕu iɕqha ɕnɤto ɯfkɯm ɣɯ ɯŋgɯ nɯtɕu	tɕendɤre nɯnɯ ɯŋgɯ nɯtɕu iɕqha ɕnɤto ɯfkɯm ɯŋgɯ nɯtɕu ɕnɤto pjɤme kɯ
alading ɯrʑaβ ɯtɤɕime nɯ qhe nɯrɟɤlsa nɯ nɯɕɯmɯma ʑo iɕqha zhongguo ɣɯ nɯ ɕɯŋgɯ pɯkɯŋu ɣɯ ɯsɤtɕha nɯtɕu pjɤ́wɣɣɤntaβnɯ	alading ɯrʑaβ nɯtɤɕime nɯphe nɯrɟɤlsa nɯɕɯmɯma ʑo iɕqha zhongguo aɣɯnɯɕɯr pɯkɯŋu ɣɯ ɯsɤtɕha nɯtɕu jówɣsɯɣe jówɣlɤt aβ
tɕeri qajɯ ɯthoʁ qajɯ nɯra nɯkɯsɤpɯpa nɯ ɲɯŋu low 	tɕeri qajɯ ɯthoʁ qajɯ nɯra nɯkɤspa ɯɲɯŋu lowma ɯtamar nɯkɯfse
li ɯzda ra ɯrca nɯ tɕu jojɣɤt pjɤra	nɯzda ra nɯrca nɯtɕu jojɣɤt pjɤra
tɕendɤre nɤkinɯ nɯɕɯmɯma ʑo nɯnɯ hengsheer nɯnɯ nɯ sɤznɤ nɯ chɯ́wɣpu tɕe tundzea ɲɯntshi ɲɤsɯso	tɕendɤrenɤkinɯ nɯɕɯmɯma nɯnɯ hengsheer sɤznɤ chɯ́wɣphɯt tundzea ɲɯntshi ɲɤsɯso
nɯmci kɤrɤwum maka mɯ́jchanɯ tɕe nɯmci tuɣɤrɯβrɯβ ʑo ɲɯŋu	nɯmci kɯɤro maka mɯ́jchanɯ tɕe nɯmci tuɣɤrɯβrɯβ ʑo ɲɯŋu
tɕendɤre nɯtɕu tɕe tɕendɤre pjɤsɯz tɕendɤre 	tɕendɤre nɯtɕu tɕetɕe pjɤsɯz tɕetɕendɤre
tɕe rɟɤlpu ci pjɤtu tɕe rɟɤlpu ɣɯ ɯkha nɯnɯ iɕqha 	tɕendɤre rɟɤlpuci pjɤtu tɕe rɟɤlpu ɣɯ ɯkha nɯnɯiɕqha
tɕe qandzɤjo kɤti ci tu tɕe	tɕe qandzɤjo kɤti ci tutɕ
ci ci tɕe tɕendɤre iɕqha si nɯ kúwɣsɯsphjaʁ 	cici tɕetɕendɤre iɕqha si nɯ kúwɣsɯsphjaʁ
tɕe kɯɣɤrʁaʁ tɯrme nɯ kɯ	kɯɣɤrʁaʁ tɯrme nɯkɯ
qajdo nɯ pj maka mɯpjɤsɯχsɤl	qajdo nɯma a mɯpjɤsɯχsɤl
motuo ɯtaʁ chɯɣindʑi ɲɯŋu	mɤtata chɯɣi ɲɯβdi ɲɯŋu ma
tɕe nɯrme nɯra ɲɯme ɲɯŋu	tɕe nɯrme nɯra ɲɯme ɲɯŋu
jɤɕe ra toti ɲɯŋu	jɤɕe ra toti
tɕe xɕaj nɯnɯ ɯmdoʁ nɯ apɤpɣi kɯfse	tɕe xɕaj nɯnɯ ɯmdoʁ nɯ apɤpɣi kɯfse
tɕendɤre rgɤtpu nɯ dɯxpa ma kha jonɯɕe tɕe	tɕendɤre rgɤtpu ʁdɯxpa macha jonɯɕe tɕe
nɤkinɯ iɕqha nɯ tɕendɤre athi nɤki rɟɤlsa ɯʁɤri kutɕu zɯ nɤkinɯ si mɯndʐamɯχtɕɯɣ χsɯri kɯtʂɤsqi apɯtu	nɤkinɯ iɕqhanɯ tɕendɤre athi nɤki rɟɤlsa ɯʁɤri kutɕu zɯ nɤkinɯ si ɯndʐa maχtɕɯ χsɯri kɯtʂɤsqi apɯtu
tɕendɤre ɯcu kɯtu nɯ pjɤsɯχsɤl	tɕendɤre nɯɯ ɯkɯtu nɯmpja sɯχsɤl
tɕe nɯnɯ χsɤr pɣa nɯ nɤjaʁ ɲɯtɯkho ʑo tɕe tɕendɤre nɤki	tɕe nɯnɯ χsɤrpɣa anɯnɤʁaʁ ɯɲɯkɯkho ʑo tɕetɕendɤre
nɤkinɯ iɕqha jinqiu nɯ toɣɤrɤt	nɤkinɯ iɕqha jinqiu nɯ toɣɤrɤt
ɯɕoŋtɕa stu ʑo kɯmna kɤsɯpa ɕti 	ɕoŋtɕa stu ʑo kɯmna kɤsɯpa ɕti
tɤpɤtso kɯlɤɣ nɯra ɣɯ nɯŋgra nɯnɯ nɤkinɯ pjɯsɯxtɕhaʁ ntsɯ pjɤŋu	tɤpɤtso ɯkɯlɤɣ nɯra ɣɯ nɯŋga nɯnɯ nɤkinɯ pjɯsɯxtɕhaʁ ntsɯ pjɤŋu
iɕqha ɬɤndʐi nɯ kɯ ɯjaʁ nɯtɕu scapa tondo tɕe	iɕqha ɬɤndʐi nɯkɯ ɯjaʁ nɯtɕu scapa tondo tɕe
rgɤm nɯ tocɯ	ɲɯrganɯ
tɕe ɴqiaβ tsa ri tuɬoʁ ɲɯŋu	tɕe ɴqiaβ tsa ri tuɬoʁ ɲɯŋu
nɤmkha zɯ ɲɯnɯqambɯmbjom qhe tɕe 	nɤmkha zɯ ɲɯnɯqambɯmbjom qhetɕe
tɕe nɯnɯ nɤkinɯ ɯthoʁ tukɯnɤŋkɯŋke ɕti ma ɯʁar ra maŋe	tɕen nɯnɯkɯ ɯthoʁ tukɯnɤŋkɯŋke ɕti maʁa ra maŋe
ɯnɯnɯ nɯmbɯt ɯqhu qhe tɕe	ɯnɯnɯ nɯmbɯt ɯqhu qhetɕe
tɤjmɤɣ ci ŋu tɕe nɯnɯ mbraʑɯm nɯnɯ stɤmku ri tuɬoʁ ŋu	tɤjmɤɣ ci ŋu tɕe mbraʑɯm nɯnɯ stɤmku ri tuɬoʁ ŋu
tɯrme nɯsɤŋonɯ kɯnɤ nɯsɯm ɲɯɣɤβdi kɯfse	tɯrme ra nɯsɤŋonɯ kɯnɤ nɯsɯm ɲɤɣɤβdi kɯfse
qartshaz kɤti ci tu	qartshaz kɤti ci tu
lɯlu sɤz tɕe ɲɯwxti khɯna sthɯci tɕe mɯ́jwxti jamar ci ɲɯŋu khi	ɯlu soz tɕekɯ wxti khɯna sthɯci tɕima jɤwi jamar ɲɯŋu khi
kutɕu chɯkɯnɯkhɤlɤmdzɯdzɯ tɕe	kutɕu chɯkɯnɤma ldzɯɣldzɯɣ tɕe
ɯrna nɯra tshɤt ɣɯ ɲɯfse ri	ɯrna nɯra tshɤt ɣɯ ɲɯfse ri
tɕendɤre kɯm lutɯcɯ ʑo tɕe	tɕendɤre kɯmu tɯci ʑo tɕe
tɕetha aɣe thɯɣe tɕe nɯrge ma andi ra ata	tɕetha thɯɣe tɕe nɯrgea ma andi ra
iɕqha si ɣɯ ɯmbro nɯkɤβzu nɯ kɤnɯqambɯmbjom kɯspa 	iɕqha si ɣɯ ɯmbro nɯkɤβzu nɯkɤnɯta mbɯmbe mɤkɯspa
túwɣfkur ʁɟa ʑo ra ma kɯɕɯŋgɯ mkhɯrlu kɯfse ra pɯkɯtu me	túwɣfkur ʁɟa iʑora ma kɯɕɯŋgɯ mkhɯrlu kɯfse ra pɯkɯtu me
ɯrkɯ nɯtɕu si ɯsno ci ata tɕe	ɯrkɯ nɯtɕu si ɯsno ata tɕe
aʑo nɤkinɯ kɤ kɤnɯndʐɯnbu jɤɬoʁa toti ɲɯŋu	aʑo nɤkinɯ kɯnɯndʐɯnbu jɤɬoʁa toti
tɕendɤre tɤrɤŋgatndʑi tɕe tɕendɤre 	tɕendɤre torɤŋgatndʑi tɕetɕendɤre
tɕendɤre ɕɤrpɣa nɯ tɕe jonɯɕe	tɕendɤre ɕɤrpɣa nɯtɕu jonɯɕe
pjɤtɕɤt tɕendɤre tɯthɯ ɯŋgɯ kolɤt tɕendɤre tosɤla	pjɤtɕɤt tɕendɤre tɯthɯ ɯŋgɯ kolɤt tɕendɤre tosɤla
tɕeri nɯ kɯnɤ kɯphɤn pjɤme ma kɤmto mu pjɤme	tɕeri nɯ kɯnɤ kɯphɤn pjɤme ma kɤmto kɯtu mu pjɤme
tɕe ɯmtɕhi ɲɯɲaʁ ma ɯro nɯra ɲɯɣɯrni tɕe mtɕhiɲaʁ mtɕhinaʁ tutinɯ ŋgrɤl 	tɕe ɯmtɕhi ɲɯɲaʁ ɯro nɯra ɲɯɣɯrni tɕe mtɕhɯnaʁ mtɕhɯnaʁ tutinɯ ŋgrɤl
tɕe alading kɯ maka ʑo mɯɲɤnɯsɯmŋɤm qhe 	tɕe alading kɯma aʑo mɯɲɤnɯsɯmŋɤn kɯqh
tɕe nɯ jamar tɕe tɤŋe nɯnɯ kɯɕqhlɤt torɤŋg pjɤɕqhlɤt	tɕenɯ jamar tɕe tɤŋe nɯnɯ kɯɕqhlɤt tɤrpi ɕqhlɤt
mɯɲɯɤlɯlju kɯ nɤki ɲɯfse	mɯɲɤ lɯlu kɯnɤk
tɤmthɯm ʁɟa ʑo ma nɯ ma nɤki	tɤmthɯm ʁɟa ʑo ma nɯma nɤki
nɯnɯ nɤki hengsheer ɣɯ ɯjaʁndzu ɲɯŋu ɲɯsɯsɤm tɕe 	nɯnɯ nɤki hengsheer nɯjaʁndzu ɲɯŋu ɲɯsɯsɤm tɕe
tsuku tɕe tɕe tɯɟom kɯnɤ tuzri mɯ́jcha  tɯʁar jamar 	tsuku tɕetɕe tɯɟom kɯnɤ tuzri mɯ́jcha tɤʁar jamar
tɕendɤre tɕheme nɯ kɯ rɤɣo ɯkɯspa si ɣɯ ɯrtaʁ nɯnɯ  nɯhuayuan ɯŋgɯ nɯtɕu nɯmɯntoʁ ɯsɤji nɯnɯtɕu 	nɯra pamtshɤmnɯ tɕe joɣinɯ
tɕendɤre iɕqha rɟɤmtshu nɯ jopjɤlnɯ tɕe 	tɕendɤre iɕqha rɟɤmtshu nɯ jopjɤlnɯ
iɕqha nɯ kupa ɣɯ nɤki tɕhaŋkha nɯ tɕe fse wo	iɕqhanɯ kupa ɣɯ nɤki tɕhaŋkha nɯsɯso
nɯ kɯnɤ sla me tɕe ɲɯra	nɯ kɯnɤ sla me tɕe ɲɯra
nɯ kɯnɤ nɯkɯsɤmtshi ɣɤʑu	nɯkɯŋɤn kɯsɤmtshi ɣɤʑu
iɕqha kha ɣɯ pɯwɯ nɯnɯ tɕe ɯkɯnɯβdaʁ ɣɤʑu tɕe nɯnɯ kɤndza mɯpjɤnɤz	iɕqha kha ɯpɯwɯ nɯnɯtɕe ɯkɯnɯβdaʁ ɣɤʑu tɕen nɯkɤndza mɯpjɤnɤz
tɕe nɯ hanɯni mɤnaχtɕɯɣ	tɕenɯ hanɯni mɤnaχtɕɯɣ
tutɯ tɤtɯta ŋu tɕe	tɤtɯta ŋu tɕe
tɕendɤre praʁ ra jɤsɯpjɤl tɕe nɤkinɯ	tɕendɤre praʁ ra jɤsɯpjɤl tɕe nɤkinɯ
tɕendɤre nɤkinɯ kɯlɤɣ tɤpɤtso nɯ ɯsɯmpa tɕe masɤrɯrju ɲɯnɤre pjɤŋu	tɕendɤrenɤkinɯ kɯlɤɣ tɤpɤtso nɯsɯmpa masɤrɯrju ɲɯnɤre pjɤŋu
ma nɯnɯ ɟɤwɤt ŋu	ma nɯnɯ ɟɤwɤt ŋu
ɯnɯnɯ tɕe tɕe qambalɯla nɯ fanzheng qajɯ ci ndɤre ɕti	ɯnɯnɯ tɕetɕe qambalɯla nɯŋandza ɯci rɤɕi
tɕe nɯ qapar nɯnɯ li wuma ʑo kɯŋɤn tɕe	tɕenɯ qapar nɯnɯli wumaʑo kɯŋɤn tɕe
ʑɯmkhɤm ɯku sɤtɕha kɯkukɯrɤʑi ra nɯ ɯŋgɯz tɕe stu kɯmɤɕi stu kɯχɕu nɯra ɲɯŋu toti	ʑɯmkhɤm ɯkɯki sɤtɕha kukɯnɯrɤʑi ra nɯŋgɯz tɕestu kɯmɤɕi stu kɯχɕu nɯra ɲɯŋu toti
qhe langfei ɲɯsɯxɕe ɕti ɣɯβde ra ma	qhe nɯrna ge ɲɯsɤxɕe ɕti kɯβde raʁma
tɕe nɯnɯ nɤkinɯ kɯpɤz nɯnɯ nɯnɯ tuste tɕe iʑora	tɕe nɯnɯ nɤkinɯ kɯpɤz nɯnɯ nɯnɯ tuste tɕe iʑora
tɕendɤre iɕqha nɯ nɯ kɤntɕhaʁ ɯŋgɯ tɯrme nɯra kɯ nɤki nɯnɯ pjɤ ɲɯsɤfɕɤranɯ pjɤŋu nɯ wuma ʑo ɲɯmpɕɤr khi nɯra tutinɯ pjɤŋu	tɕendɤre iɕqhanɯ nɯkɤntɕhaʁ ɯŋgɯ tɯrme nɯra kɯɤntɯntɤm rpɤŋgɯ wumaʑo ɲɯmpɕɤr khi nɯra tutinɯ pjɤŋu
tɕe tɯrme khɯkhro kɯ ʑo ɣɯtorɤtshɤtnɯ tɕe	tɕetɯrme khɯkhro ɯʑo ɣɯtorɤtshɤtnɯ tɕe
kɯnɯɕɯʁjɯ manɯtɯnɯɕɯʁjɯ 	kɯnɯɕɯʁjɯ mɤnɯtɯ ɯʁjɯ
tɕendɤre nɯnɯ tɤrpi tɯɣjɤn nɯra ɲɤsɯβzunɯ pjɤ pjɤra khi ma	tɕendɤre nɯnɯ tɤrpi tɯɣjɤn nɯra ɲɤsɯβzunɯ pjɤr pjɤra khi ma
nɯnɯ jla nɯra doŋtsi tutinɯ rɟandzi tutinɯ	nɯnɯ jla nɯra toti tutandza tutinɯ ɲɯŋgɯ
ʑɤni kɯnɤ chɤrɤrɟitndʑi ndʑirɟit nɯra chɤrɤrɟitnɯ	ʑɤni kɯnɤ chɤrɤrɟitndʑi ndʑirɟit nɯra chɤrɤrɟitnɯ
tɕhi xtsɤrtɯm tutinɯ cho naχtɕɯɣ	tɕhi xtsɤrtɯm tutinɯ cho naχtɕɯɣ
kha kɯɕnɤrtsɤɣ kɯrcɤxtsɤɣ jamar kɯmbro tuβze ɲɯcha ri	kha kɯnɤmtshɤr kɯrcɤrtsɤɣ jamar kɯmbro kɯfse tuβze ɲɯcha ri
ma tɕe nɯ kúwɣsɤlɤɣɯ ndɤre mɯpɯ́wɣrɲo	matɕe nɯku kusɤlɤɣia ndɤre mɯpɯ́wɣrɲo
nɯ ra ci nɯ kɯ jɤ́wɣtsɯm ɯkhɯkha rɤɣo ra chɯnɯβze pjɤŋu 	nɯra cinɯ kɯju tɯsɯm ɯkhɯkha rɤɣo ra chɯnɯβzu pjɤŋu
tɕe tɤŋkhɯt jamar kɯtu tu nɯ sthɯci kɯme tu	tɕe tɤŋkhɯt jamar kɯtu tu nɯsthɯci kɯme tu
ɯmdoʁ nɯnɯ kɯɲaʁ tu kɯɤrɯldʑaŋkɯ tu kɯqarŋɯrŋe tu	zdɯmqe nɯ ɯmdoʁ nɯnɯ kɯɲaʁ tukɤrku kɯɤqarŋɯrŋe tu
tɕendɤre tɤwi nɯ kɯ tɕhi kɯfse ʑo nɯ pjɤfɕɤt tɕendɤre	tɕenɯ tɤwi ɯkɯtshi fsɯfse lonɯjɣɤt tɕetɕendɤre
tɕendɤre tɯsla ɲɤɕqhlɤt	tɕendɤre tɯsla ɲɤɕqhlɤt
nɯra kɯ  tɯrme ra kɯ tɕe aʑo armi nɯ stu ʑo kɯmpɕɤr tusɯpanɯ ɲɯŋu	nɯra ɯtɯrme ra kɯɕe aʑo armi nɯnɯ stu ʑo kɯmpɕɤr tusɯpanɯ ɲɯŋu
tɕe nɤki qhe nɯ kɯki nɯ arkɯ ɣzɯ nɯra tɕhi kɯfse ɲɯŋunɯ toti ɲɯŋu ri	tɕe nɤki qhe nɤkinɯ arkɯ ɣɯ nɤki ɣzɯ nɯra tɕhi kɯfse ɲɯŋunɯ toti ɲɯŋu ri
ɯmke stu nɯ ɯpa pjɯɕthɯznɯ	ɯmke ɯstu nɯrpa pɯɕthɯz nɯ
tɕe nɯnɯ ɯjwaʁ nɯnɯ kɯtɕɤr tsa ci li ɯku lukɯɤmtɕoʁ kɯfse ci ŋu tɕe	tɕe nɯnɯ ɯjwaʁ nɯnɯ kɯtɕɤr tsa li ɯku lukɯɤmtɕoʁ kɯfse ci ŋu tɕe
tɕe tonɤmtsɯmtsaʁnɯ	tɕe tonɤmtsɯmtsaʁnɯ
