tʰi˩˥	tʰ i ˩˥  
ə˧tso˧ə˧tso˥	ə ˧ ts o ˧ ə ˧ ts o ˥  
ə˧v̩˧	ə ˧ v̩ ˧  
ə˧v̩˧ki˥	ə ˧ v̩ ˧ k i ˥  
ə˧zɯ˩dʑo˩	ə ˧ z ɯ ˩ dʑ o ˩  
ə˧ɲi˧tsʰi˧ɲi˧	ə ˧ ɲ i ˧ tsʰ i ˧ ɲ i ˧  
ə˧ʑi˧se˥	ə ˧ ʑ i ˧ s e ˥  
ə˧ʑi˧ʈʂʰɯ˥	ə ˧ ʑ i ˧ ʈʂʰ ɯ ˥  
ə˧ʑi˧ʈʂʰɯ˥dʑo˩	ə ˧ ʑ i ˧ ʈʂʰ ɯ ˥ dʑ o ˩  
ə˧ʑi˧ʈʂʰɯ˧dʑo˩	ə ˧ ʑ i ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
ə˧ʝi˧ʂɯ˥ʝi˩bv̩˩	ə ˧ ʝ i ˧ ʂ ɯ ˥ ʝ i ˩ b v̩ ˩  
ə˧˥dʑo˩	ə ˧˥ dʑ o ˩  
ə˩kʰɯ˩	ə ˩ kʰ ɯ ˩  
ə˩ɲi˩˥	ə ˩ ɲ i ˩˥  
ɣɯ˩˥	ɣ ɯ ˩˥  
ɬi˧	ɬ i ˧  
ɬi˧di˩di˩mi˩hĩ˩	ɬ i ˧ d i ˩ d i ˩ m i ˩ h ĩ ˩  
ɬi˧di˩di˩mi˩qo˩dʑo˩	ɬ i ˧ d i ˩ d i ˩ m i ˩ q o ˩ dʑ o ˩  
ɬi˧di˩ɳɯ˩	ɬ i ˧ d i ˩ ɳ ɯ ˩  
ɬi˧hĩ˧	ɬ i ˧ h ĩ ˧  
ɬi˩bi˩ʈʂʰɯ˥	ɬ i ˩ b i ˩ ʈʂʰ ɯ ˥  
ɬi˩bi˩˥	ɬ i ˩ b i ˩˥  
ɬo˧	ɬ o ˧  
ɬo˧kʰv̩˧	ɬ o ˧ kʰ v̩ ˧  
ɬɑ˧sɑ˧ɳɯ˧	ɬ ɑ ˧ s ɑ ˧ ɳ ɯ ˧  
ɬɬɬ	ɬ ɬ ɬ  
ɲi˥pi˩zo˩	ɲ i ˥ p i ˩ z o ˩  
ɲi˧gi˧	ɲ i ˧ g i ˧  
ɲi˧pʰo˧ɳɯ˥	ɲ i ˧ pʰ o ˧ ɳ ɯ ˥  
ɲi˧tsi˧	ɲ i ˧ ts i ˧  
ɲi˧ɬi˧mi˧	ɲ i ˧ ɬ i ˧ m i ˧  
ɲi˧ɲi˧	ɲ i ˧ ɲ i ˧  
ɲi˧ʂɯ˩	ɲ i ˧ ʂ ɯ ˩  
ɲi˧ʈʂæ˧ʑi˧˥	ɲ i ˧ ʈʂ æ ˧ ʑ i ˧˥  
ɲi˩kv̩˩˥	ɲ i ˩ k v̩ ˩˥  
ɲi˩tsɯ˩	ɲ i ˩ ts ɯ ˩  
ɲi˩˥	ɲ i ˩˥  
ɳæ˧˥	ɳ æ ˧˥  
ɳæ˩	ɳ æ ˩  
ɳɯ˥	ɳ ɯ ˥  
ɻwæ˧	ɻ wæ ˧  
ɻwæ˧kv̩˩mæ˩	ɻ wæ ˧ k v̩ ˩ m æ ˩  
ɻæ˩ʈʂʰɯ˥	ɻ æ ˩ ʈʂʰ ɯ ˥  
ʁo˧dɑ˧dʑo˧	ʁ o ˧ d ɑ ˧ dʑ o ˧  
ʁo˧dɑ˧se˥	ʁ o ˧ d ɑ ˧ s e ˥  
ʁo˧ni˥	ʁ o ˧ n i ˥  
ʁo˧qʰwɤ˩	ʁ o ˧ qʰ wɤ ˩  
ʁo˧ʂwæ˧	ʁ o ˧ ʂ wæ ˧  
ʁo˧ʂwæ˧qo˧pv̩˩	ʁ o ˧ ʂ wæ ˧ q o ˧ p v̩ ˩  
ʁæ˧bæ˧	ʁ æ ˧ b æ ˧  
ʁæ˩bæ˩	ʁ æ ˩ b æ ˩  
ʁɑ˧ʂe˩dʑo˩	ʁ ɑ ˧ ʂ e ˩ dʑ o ˩  
ʁɑ˧ʂe˩kv̩˩	ʁ ɑ ˧ ʂ e ˩ k v̩ ˩  
ʁɑ˧ʂe˩kʰi˩	ʁ ɑ ˧ ʂ e ˩ kʰ i ˩  
ʁɑ˩mi˥	ʁ ɑ ˩ m i ˥  
ʁɑ˩ʂɯ˥	ʁ ɑ ˩ ʂ ɯ ˥  
ʂ	ʂ  
ʂe˧dʑo˧	ʂ e ˧ dʑ o ˧  
ʂe˧hĩ˧	ʂ e ˧ h ĩ ˧  
ʂe˧lɑ˩	ʂ e ˧ l ɑ ˩  
ʂe˧ʈʂʰɯ˧	ʂ e ˧ ʈʂʰ ɯ ˧  
ʂe˧ʐe˧ʂe˧sɑ˥	ʂ e ˧ ʐ e ˧ ʂ e ˧ s ɑ ˥  
ʂe˩bv̩˩	ʂ e ˩ b v̩ ˩  
ʂo˧ko˧tʰɑ˩	ʂ o ˧ k o ˧ tʰ ɑ ˩  
ʂv̩˧ɖv̩˧	ʂ v̩ ˧ ɖ v̩ ˧  
ʂv̩˧ɖv̩˧ze˧jɤ	ʂ v̩ ˧ ɖ v̩ ˧ z e ˧ jɤ  
ʂv̩˧ɖv̩˧zo˥	ʂ v̩ ˧ ɖ v̩ ˧ z o ˥  
ʂwæ˧	ʂ wæ ˧  
ʂwæ˧gv̩˧	ʂ wæ ˧ g v̩ ˧  
ʂwæ˧gv̩˧ʈʂʰɯ˧	ʂ wæ ˧ g v̩ ˧ ʈʂʰ ɯ ˧  
ʂæ˧ɲi˥kv̩˩tsɯ˩	ʂ æ ˧ ɲ i ˥ k v̩ ˩ ts ɯ ˩  
ʂɯ˧pi˧	ʂ ɯ ˧ p i ˧  
ʂɯ˧ze˧	ʂ ɯ ˧ z e ˧  
ʂɯ˧ɲi˧ɳɯ˩	ʂ ɯ ˧ ɲ i ˧ ɳ ɯ ˩  
ʈæ˧bɤ˧ɳɯ˧	ʈ æ ˧ b ɤ ˧ ɳ ɯ ˧  
ʈæ˩tsʰo˥	ʈ æ ˩ tsʰ o ˥  
ʈæ˩tsʰo˧	ʈ æ ˩ tsʰ o ˧  
ʈʂe˧nɑ˥	ʈʂ e ˧ n ɑ ˥  
ʈʂo˧kʰɯ˩dʑo˩	ʈʂ o ˧ kʰ ɯ ˩ dʑ o ˩  
ʈʂo˧ɭɯ˧qo˩ɳɯ˩	ʈʂ o ˧ ɭ ɯ ˧ q o ˩ ɳ ɯ ˩  
ʈʂʰo˧do˩	ʈʂʰ o ˧ d o ˩  
ʈʂʰo˧do˩ʁo˩	ʈʂʰ o ˧ d o ˩ ʁ o ˩  
ʈʂʰo˧hɯ˧ʈʂʰo˧ɻ̍˥	ʈʂʰ o ˧ h ɯ ˧ ʈʂʰ o ˧ ɻ̍ ˥  
ʈʂʰwæ˩	ʈʂʰ wæ ˩  
ʈʂʰwæ˩˥	ʈʂʰ wæ ˩˥  
ʈʂʰwɤ˧	ʈʂʰ wɤ ˧  
ʈʂʰwɤ˩mɤ˩ɖɯ˩	ʈʂʰ wɤ ˩ m ɤ ˩ ɖ ɯ ˩  
ʈʂʰæ˩	ʈʂʰ æ ˩  
ʈʂʰɤ˧tsɯ˧ni˩gv̩˩	ʈʂʰ ɤ ˧ ts ɯ ˧ n i ˩ g v̩ ˩  
ʈʂʰɯ˧bv̩˧	ʈʂʰ ɯ ˧ b v̩ ˧  
ʈʂʰɯ˧dzɤ˧	ʈʂʰ ɯ ˧ dz ɤ ˧  
ʈʂʰɯ˧gɤ˧	ʈʂʰ ɯ ˧ g ɤ ˧  
ʈʂʰɯ˧jɤ˩ɳɯ˩	ʈʂʰ ɯ ˧ jɤ ˩ ɳ ɯ ˩  
ʈʂʰɯ˧ki˩	ʈʂʰ ɯ ˧ k i ˩  
ʈʂʰɯ˧mi˧ɳɯ˥	ʈʂʰ ɯ ˧ m i ˧ ɳ ɯ ˥  
ʈʂʰɯ˧v̩˥dʑo˩	ʈʂʰ ɯ ˧ v̩ ˥ dʑ o ˩  
ʈʂʰɯ˧v̩˧dʑo˩	ʈʂʰ ɯ ˧ v̩ ˧ dʑ o ˩  
ʈʂʰɯ˧v̩˧ki˧	ʈʂʰ ɯ ˧ v̩ ˧ k i ˧  
ʈʂʰɯ˧zɯ˩	ʈʂʰ ɯ ˧ z ɯ ˩  
ʈʂʰɯ˧ɖɯ˧ɖɯ˧	ʈʂʰ ɯ ˧ ɖ ɯ ˧ ɖ ɯ ˧  
ʈʂʰɯ˧ɖɯ˧ɖɯ˧zo˥	ʈʂʰ ɯ ˧ ɖ ɯ ˧ ɖ ɯ ˧ z o ˥  
ʈʂʰɯ˧ɲi˥kv̩˩	ʈʂʰ ɯ ˧ ɲ i ˥ k v̩ ˩  
ʈʂʰɯ˧ɲi˥kv̩˩ɳɯ˩	ʈʂʰ ɯ ˧ ɲ i ˥ k v̩ ˩ ɳ ɯ ˩  
ʈʂʰɯ˧ɻ̍˩	ʈʂʰ ɯ ˧ ɻ̍ ˩  
ʈʂʰɯ˧ɻ̍˩ɳɯ˩	ʈʂʰ ɯ ˧ ɻ̍ ˩ ɳ ɯ ˩  
ʈʂʰɯ˧ʂwæ˧ʂwæ˧	ʈʂʰ ɯ ˧ ʂ wæ ˧ ʂ wæ ˧  
ʈʂʰɯ˧ʑi˥ki˩	ʈʂʰ ɯ ˧ ʑ i ˥ k i ˩  
ʈʂʰɯ˧ʑi˧ɻ̍˥	ʈʂʰ ɯ ˧ ʑ i ˧ ɻ̍ ˥  
ʈʂʰɯ˧ʑi˧ɻ̍˧ɳɯ˥	ʈʂʰ ɯ ˧ ʑ i ˧ ɻ̍ ˧ ɳ ɯ ˥  
ʈʂʰɯ˩jɤ˩	ʈʂʰ ɯ ˩ jɤ ˩  
ʈʂʰɯ˩v̩˩	ʈʂʰ ɯ ˩ v̩ ˩  
ʈʰi˩˥	ʈʰ i ˩˥  
ʈʰæ˧˥	ʈʰ æ ˧˥  
ʈʰɯ˩	ʈʰ ɯ ˩  
ʈʰɯ˩gɤ˩	ʈʰ ɯ ˩ g ɤ ˩  
ʈʰɯ˩hõ˩˥	ʈʰ ɯ ˩ h õ ˩˥  
ʐ	ʐ  
ʐe˧ʈæ˥ɬi˩qo˩	ʐ e ˧ ʈ æ ˥ ɬ i ˩ q o ˩  
ʐo˩mɤ˩ɖɯ˩	ʐ o ˩ m ɤ ˩ ɖ ɯ ˩  
ʐv	ʐ v  
ʐv̩˥	ʐ v̩ ˥  
ʐv̩˧tsʰi˩lɑ˩	ʐ v̩ ˧ tsʰ i ˩ l ɑ ˩  
ʐv̩˩kv̩˩ɳɯ˥	ʐ v̩ ˩ k v̩ ˩ ɳ ɯ ˥  
ʐwæ˧ʁo˩	ʐ wæ ˧ ʁ o ˩  
ʐwɤ˥	ʐ wɤ ˥  
ʐwɤ˩dʑɯ˩˥	ʐ wɤ ˩ dʑ ɯ ˩˥  
ʐwɤ˩kv̩˩wɤ˥	ʐ wɤ ˩ k v̩ ˩ wɤ ˥  
ʐwɤ˩mɤ˩hĩ˩hĩ˥ʈʂʰɯ˩dʑo˩	ʐ wɤ ˩ m ɤ ˩ h ĩ ˩ h ĩ ˥ ʈʂʰ ɯ ˩ dʑ o ˩  
ʐwɤ˩mɤ˩kv̩˥hĩ˩	ʐ wɤ ˩ m ɤ ˩ k v̩ ˥ h ĩ ˩  
ʐɯ˩dzi˥	ʐ ɯ ˩ dz i ˥  
ʐɯ˩mo˧tʰv̩˥	ʐ ɯ ˩ m o ˧ tʰ v̩ ˥  
ʑi˧qʰwɤ˧qo˧	ʑ i ˧ qʰ wɤ ˧ q o ˧  
ʝi	ʝ i  
ʝilõʁõlõ	ʝ i l õ ʁ õ l õ  
ʝi˥dʑo˩mæ˩	ʝ i ˥ dʑ o ˩ m æ ˩  
ʝi˥kwɤ˩tɕɯ˩lɑ˩	ʝ i ˥ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
ʝi˥se˩kwɤ˩tɕɯ˩lɑ˩	ʝ i ˥ s e ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
ʝi˥tso˩ɲi˩	ʝ i ˥ ts o ˩ ɲ i ˩  
ʝi˧bi˧di˧	ʝ i ˧ b i ˧ d i ˧  
ʝi˧bi˧ni˥gv̩˩	ʝ i ˧ b i ˧ n i ˥ g v̩ ˩  
ʝi˧hɯ˧zo˥	ʝ i ˧ h ɯ ˧ z o ˥  
ʝi˧kv̩˩	ʝ i ˧ k v̩ ˩  
ʝi˧kʰv̩˥ʝi˩kʰv̩˩	ʝ i ˧ kʰ v̩ ˥ ʝ i ˩ kʰ v̩ ˩  
ʝi˧kʰv̩˧	ʝ i ˧ kʰ v̩ ˧  
ʝi˧ɲi˥tsɯ˩	ʝ i ˧ ɲ i ˥ ts ɯ ˩  
ʝi˧ɻ̍˥	ʝ i ˧ ɻ̍ ˥  
ʝi˧ʁwɤ˩qo˩	ʝ i ˧ ʁ wɤ ˩ q o ˩  
ʝi˩bi˩˥	ʝ i ˩ b i ˩˥  
ʝi˩tsɯ˩	ʝ i ˩ ts ɯ ˩  
bi˧bv̩˥	b i ˧ b v̩ ˥  
bi˧dʑo˥	b i ˧ dʑ o ˥  
bi˧dʑo˩	b i ˧ dʑ o ˩  
bi˧hĩ˩mɤ˩kv̩˩	b i ˧ h ĩ ˩ m ɤ ˩ k v̩ ˩  
bi˧ho˥dʑo˩	b i ˧ h o ˥ dʑ o ˩  
bi˧mɤ˧ʁo˧hĩ˧	b i ˧ m ɤ ˧ ʁ o ˧ h ĩ ˧  
bi˧tɕo˧	b i ˧ tɕ o ˧  
bi˧tɕo˧hĩ˧ki˧	b i ˧ tɕ o ˧ h ĩ ˧ k i ˧  
bi˧tʰɑ˧ʝi˥	b i ˧ tʰ ɑ ˧ ʝ i ˥  
bi˧zo˧kv̩˧˥	b i ˧ z o ˧ k v̩ ˧˥  
bi˧zo˧ʝi˧	b i ˧ z o ˧ ʝ i ˧  
bi˩bi˩	b i ˩ b i ˩  
bi˩bi˩˥	b i ˩ b i ˩˥  
bi˩dʑo˩	b i ˩ dʑ o ˩  
bi˩kv̩˥ze˩	b i ˩ k v̩ ˥ z e ˩  
bi˩kv̩˩ze˩mæ˩	b i ˩ k v̩ ˩ z e ˩ m æ ˩  
bi˩kwɤ˩tɕɯ˩lɑ˩	b i ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
bi˩tso˩ɲi˩	b i ˩ ts o ˩ ɲ i ˩  
bi˩zo˩kv̩˩	b i ˩ z o ˩ k v̩ ˩  
bmæ˩	b m æ ˩  
bo˧zo˩	b o ˧ z o ˩  
bo˩bo˥	b o ˩ b o ˥  
bo˩bv̩˥	b o ˩ b v̩ ˥  
bo˩gv̩˧	b o ˩ g v̩ ˧  
bo˩hɑ˥	b o ˩ h ɑ ˥  
bo˩hɑ˧	b o ˩ h ɑ ˧  
bo˩hɑ˧ki˩hĩ˩bv̩˩	b o ˩ h ɑ ˧ k i ˩ h ĩ ˩ b v̩ ˩  
bo˩lo˧	b o ˩ l o ˧  
bo˩lo˧ʈʂʰɯ˧	b o ˩ l o ˧ ʈʂʰ ɯ ˧  
bo˩mi˧	b o ˩ m i ˧  
bo˩ɬo˧ʈʂʰɯ˩	b o ˩ ɬ o ˧ ʈʂʰ ɯ ˩  
bo˩ʂe˧	b o ˩ ʂ e ˧  
bo˩ʂe˧qo˩dʑo˩	b o ˩ ʂ e ˧ q o ˩ dʑ o ˩  
bo˩ʈʂʰæ˥bi˩	b o ˩ ʈʂʰ æ ˥ b i ˩  
bo˩ʈʂʰæ˥ʁo˩	b o ˩ ʈʂʰ æ ˥ ʁ o ˩  
bo˩ʈʂʰæ˧qo˩dʑo˩	b o ˩ ʈʂʰ æ ˧ q o ˩ dʑ o ˩  
bo˩ʈʂʰæ˧ʈʂʰɯ˩	b o ˩ ʈʂʰ æ ˧ ʈʂʰ ɯ ˩  
bo˩˥	b o ˩˥  
bv	b v  
bv̩˥tso˩ɲi˩	b v̩ ˥ ts o ˩ ɲ i ˩  
bv̩˧nv̩˧dʑo˧	b v̩ ˧ n v̩ ˧ dʑ o ˧  
bv̩˧nv̩˧tsɯ˥	b v̩ ˧ n v̩ ˧ ts ɯ ˥  
bv̩˧ɻ̍˧	b v̩ ˧ ɻ̍ ˧  
bv̩˧ʈʂɯ˥qo˩	b v̩ ˧ ʈʂ ɯ ˥ q o ˩  
bv̩˩bv̩˩	b v̩ ˩ b v̩ ˩  
bv̩˩dzɯ˩ɲi˩pi˩zo˩	b v̩ ˩ dz ɯ ˩ ɲ i ˩ p i ˩ z o ˩  
bv̩˩lv̩˩hĩ˥	b v̩ ˩ l v̩ ˩ h ĩ ˥  
bv̩˩lv̩˩hĩ˥ɳɯ˩	b v̩ ˩ l v̩ ˩ h ĩ ˥ ɳ ɯ ˩  
bv̩˩ʝi˩	b v̩ ˩ ʝ i ˩  
bæ˥kv̩˩hĩ˩	b æ ˥ k v̩ ˩ h ĩ ˩  
bæ˧dʑɯ˩	b æ ˧ dʑ ɯ ˩  
bæ˧ze˩	b æ ˧ z e ˩  
bæ˧ɖæ˧ʈʂʰɯ˧	b æ ˧ ɖ æ ˧ ʈʂʰ ɯ ˧  
bæ˧ɲi˥ho˩mæ˩	b æ ˧ ɲ i ˥ h o ˩ m æ ˩  
bæ˧ɲi˥pi˩tsɯ˩	b æ ˧ ɲ i ˥ p i ˩ ts ɯ ˩  
bæ˩bæ˩	b æ ˩ b æ ˩  
bæ˩bæ˩˥	b æ ˩ b æ ˩˥  
bæ˩dʑɯ˧	b æ ˩ dʑ ɯ ˧  
bæ˩jɤni˩jɤ	b æ ˩ jɤ n i ˩ jɤ  
bæ˩po˩ɳɯ˥	b æ ˩ p o ˩ ɳ ɯ ˥  
bæ˩ɲi˥ho˩	b æ ˩ ɲ i ˥ h o ˩  
bæ˩ɲi˥ho˩ze˩wɤ˩	b æ ˩ ɲ i ˥ h o ˩ z e ˩ wɤ ˩  
bæ˩ʈʂʰɯ˥	b æ ˩ ʈʂʰ ɯ ˥  
bæ˩˥	b æ ˩˥  
bɑ˩lɑ˩sɯ˥	b ɑ ˩ l ɑ ˩ s ɯ ˥  
di˥hĩ˩	d i ˥ h ĩ ˩  
di˥hĩ˩dʑo˩	d i ˥ h ĩ ˩ dʑ o ˩  
di˥kv̩˩	d i ˥ k v̩ ˩  
di˧	d i ˧  
di˧di˥kʰɯ˩kv̩˩mæ˩	d i ˧ d i ˥ kʰ ɯ ˩ k v̩ ˩ m æ ˩  
di˧kʰɯ˥	d i ˧ kʰ ɯ ˥  
di˧qo˧dʑo˧	d i ˧ q o ˧ dʑ o ˧  
di˧qo˧dʑo˩	d i ˧ q o ˧ dʑ o ˩  
di˧qo˧hĩ˧	d i ˧ q o ˧ h ĩ ˧  
di˧qo˧tsʰɯ˩dʑo˩	d i ˧ q o ˧ tsʰ ɯ ˩ dʑ o ˩  
di˧qo˧ʈʂʰɯ˧	d i ˧ q o ˧ ʈʂʰ ɯ ˧  
di˧˥	d i ˧˥  
di˩dʑɤ˥	d i ˩ dʑ ɤ ˥  
di˩hĩ˩dʑo˩	d i ˩ h ĩ ˩ dʑ o ˩  
di˩hĩ˩ʈʂʰɯ˩	d i ˩ h ĩ ˩ ʈʂʰ ɯ ˩  
di˩kv̩˩	d i ˩ k v̩ ˩  
di˩kv̩˩tsɯ˩mv̩˩	d i ˩ k v̩ ˩ ts ɯ ˩ m v̩ ˩  
di˩kv̩˩˥	d i ˩ k v̩ ˩˥  
di˩li˩ʁo˩	d i ˩ l i ˩ ʁ o ˩  
di˩li˩ʁo˩bv̩˥pɤ˩jɤ˩	d i ˩ l i ˩ ʁ o ˩ b v̩ ˥ p ɤ ˩ jɤ ˩  
di˩ɲi˩ze˩	d i ˩ ɲ i ˩ z e ˩  
do˧	d o ˧  
do˧dʑo˥	d o ˧ dʑ o ˥  
do˧mɤ˧dʑɯ˧ɲi˥	d o ˧ m ɤ ˧ dʑ ɯ ˧ ɲ i ˥  
do˧zo˥	d o ˧ z o ˥  
do˩ho˩	d o ˩ h o ˩  
do˩kv̩˩pʰæ˥di˩	d o ˩ k v̩ ˩ pʰ æ ˥ d i ˩  
do˩kwɤ˩tɕɯ˥lɑ˩	d o ˩ k wɤ ˩ tɕ ɯ ˥ l ɑ ˩  
do˩kwɤ˩tɕɯ˩lɑ˩	d o ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
do˩mæ˩˥	d o ˩ m æ ˩˥  
do˩mɤ˥do˩	d o ˩ m ɤ ˥ d o ˩  
do˩tsɯ˩	d o ˩ ts ɯ ˩  
dv̩˥kv̩˩pi˩zo˩	d v̩ ˥ k v̩ ˩ p i ˩ z o ˩  
dv̩˧mɤ˥kv̩˩tsɯ˩mv̩˩	d v̩ ˧ m ɤ ˥ k v̩ ˩ ts ɯ ˩ m v̩ ˩  
dv̩˧tɕo˥	d v̩ ˧ tɕ o ˥  
dv̩˩hĩ˥dʑo˩	d v̩ ˩ h ĩ ˥ dʑ o ˩  
dv̩˩hĩ˧kwɤ˧tɕɯ˥lɑ˩	d v̩ ˩ h ĩ ˧ k wɤ ˧ tɕ ɯ ˥ l ɑ ˩  
dv̩˩kv̩˩tsɯ˥mv̩˩	d v̩ ˩ k v̩ ˩ ts ɯ ˥ m v̩ ˩  
dv̩˩mɤ˩kv̩˥	d v̩ ˩ m ɤ ˩ k v̩ ˥  
dv̩˩mɤ˩kv̩˥mv̩˩	d v̩ ˩ m ɤ ˩ k v̩ ˥ m v̩ ˩  
dv̩˩ɲi˥tsɯ˩mv̩˩	d v̩ ˩ ɲ i ˥ ts ɯ ˩ m v̩ ˩  
dze˧ɭɯ˧hɑ˧ɭɯ˧ʈʂʰɯ˧dʑo˩	dz e ˧ ɭ ɯ ˧ h ɑ ˧ ɭ ɯ ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
dze˧ʈʂɤ˥	dz e ˧ ʈʂ ɤ ˥  
dze˧ʈʂɤ˧pi˥zo˩	dz e ˧ ʈʂ ɤ ˧ p i ˥ z o ˩  
dze˧ʈʂʰɤ˧	dz e ˧ ʈʂʰ ɤ ˧  
dzi˥pi˩hĩ˩ʈʂʰɯ˩dʑo˩	dz i ˥ p i ˩ h ĩ ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
dzi˧dzi˧mo˧˥	dz i ˧ dz i ˧ m o ˧˥  
dzi˧hĩ˥	dz i ˧ h ĩ ˥  
dzi˩bi˩kv̩˩tsɯ˩	dz i ˩ b i ˩ k v̩ ˩ ts ɯ ˩  
dzi˩di˩	dz i ˩ d i ˩  
dzi˩ho˩	dz i ˩ h o ˩  
dzi˩hɯ˩	dz i ˩ h ɯ ˩  
dzi˩kʰv̩˩	dz i ˩ kʰ v̩ ˩  
dzi˩kʰɯ˩tsɯ˩	dz i ˩ kʰ ɯ ˩ ts ɯ ˩  
dzi˩pv̩˩kʰɯ˩dʑo˩	dz i ˩ p v̩ ˩ kʰ ɯ ˩ dʑ o ˩  
dzi˩˥	dz i ˩˥  
dzɑ˧hĩ˧ki˧	dz ɑ ˧ h ĩ ˧ k i ˧  
dzɑ˧hĩ˧pʰæ˧di˥ze˩	dz ɑ ˧ h ĩ ˧ pʰ æ ˧ d i ˥ z e ˩  
dzɑ˧mɤ˧kv̩˩	dz ɑ ˧ m ɤ ˧ k v̩ ˩  
dzɑ˧ʝi˧	dz ɑ ˧ ʝ i ˧  
dzɑ˧ʝi˧ze˩pi˩	dz ɑ ˧ ʝ i ˧ z e ˩ p i ˩  
dzɑ˩qʰwɤ˩	dz ɑ ˩ qʰ wɤ ˩  
dzɑ˩qʰwɤ˩ʈʂʰɯ˥dʑo˩	dz ɑ ˩ qʰ wɤ ˩ ʈʂʰ ɯ ˥ dʑ o ˩  
dzɯ˧bi˧ni˧gv̩˧˥	dz ɯ ˧ b i ˧ n i ˧ g v̩ ˧˥  
dzɯ˧gɤ˥	dz ɯ ˧ g ɤ ˥  
dzɯ˧hĩ˧dʑo˩	dz ɯ ˧ h ĩ ˧ dʑ o ˩  
dzɯ˧ho˥	dz ɯ ˧ h o ˥  
dzɯ˧ho˥ze˩tsɯ˩	dz ɯ ˧ h o ˥ z e ˩ ts ɯ ˩  
dzɯ˧hõ˧	dz ɯ ˧ h õ ˧  
dzɯ˧kv̩˩hĩ˩	dz ɯ ˧ k v̩ ˩ h ĩ ˩  
dzɯ˧kv̩˩mmm…	dz ɯ ˧ k v̩ ˩ mmm…  
dzɯ˧lɑ˩	dz ɯ ˧ l ɑ ˩  
dzɯ˧lɑ˩ɲi˩	dz ɯ ˧ l ɑ ˩ ɲ i ˩  
dzɯ˧mɤ˧gɤ˩	dz ɯ ˧ m ɤ ˧ g ɤ ˩  
dzɯ˧mɤ˧kv̩˩	dz ɯ ˧ m ɤ ˧ k v̩ ˩  
dzɯ˧mɤ˧kv̩˩wɤ˩	dz ɯ ˧ m ɤ ˧ k v̩ ˩ wɤ ˩  
dzɯ˧mɤ˧kv̩˩ze˩mæ˩	dz ɯ ˧ m ɤ ˧ k v̩ ˩ z e ˩ m æ ˩  
dzɯ˧mɤ˧tʰɑ˩	dz ɯ ˧ m ɤ ˧ tʰ ɑ ˩  
dzɯ˧mɤ˧ɖo˧	dz ɯ ˧ m ɤ ˧ ɖ o ˧  
dzɯ˧no˩	dz ɯ ˧ n o ˩  
dzɯ˧pi˩	dz ɯ ˧ p i ˩  
dzɯ˧tso˧	dz ɯ ˧ ts o ˧  
dzɯ˧tsæ˧ɲi˩	dz ɯ ˧ ts æ ˧ ɲ i ˩  
dzɯ˧tʰɑ˥	dz ɯ ˧ tʰ ɑ ˥  
dzɯ˧tʰɑ˧kv̩˩	dz ɯ ˧ tʰ ɑ ˧ k v̩ ˩  
dzɯ˧tʰɑ˧ze˩	dz ɯ ˧ tʰ ɑ ˧ z e ˩  
dzɯ˧tʰɑ˩bi˩	dz ɯ ˧ tʰ ɑ ˩ b i ˩  
dzɯ˧tʰɑ˩hĩ˩	dz ɯ ˧ tʰ ɑ ˩ h ĩ ˩  
dzɯ˧tʰɑ˩kv̩˩ze˩	dz ɯ ˧ tʰ ɑ ˩ k v̩ ˩ z e ˩  
dzɯ˧zo˧kv̩˩	dz ɯ ˧ z o ˧ k v̩ ˩  
dzɯ˩hĩ˥	dz ɯ ˩ h ĩ ˥  
dzɯ˩kv̩˩mæ˩	dz ɯ ˩ k v̩ ˩ m æ ˩  
dzɯ˩kwɤ˩tɕɯ˩lɑ˩	dz ɯ ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
dzɯ˩se˥	dz ɯ ˩ s e ˥  
dzɯ˩ɳɯ˩	dz ɯ ˩ ɳ ɯ ˩  
dɑ˥dʑo˩	d ɑ ˥ dʑ o ˩  
dɑ˥tso˩	d ɑ ˥ ts o ˩  
dɑ˥ɲi˩	d ɑ ˥ ɲ i ˩  
dɑ˥ʈʂʰɯ˩dʑo˩	d ɑ ˥ ʈʂʰ ɯ ˩ dʑ o ˩  
dɑ˧bi˥	d ɑ ˧ b i ˥  
dɑ˧hĩ˧ʈʂʰɯ˧	d ɑ ˧ h ĩ ˧ ʈʂʰ ɯ ˧  
dɑ˧mɤ˧ʁo˧	d ɑ ˧ m ɤ ˧ ʁ o ˧  
dɑ˧pɤ˧ki˧	d ɑ ˧ p ɤ ˧ k i ˧  
dɑ˧pɤ˧pi˧	d ɑ ˧ p ɤ ˧ p i ˧  
dɑ˧tso˧	d ɑ ˧ ts o ˧  
dɑ˧tsɑ˥ɲi˩	d ɑ ˧ ts ɑ ˥ ɲ i ˩  
dɑ˧tʰɑ˥ho˩	d ɑ ˧ tʰ ɑ ˥ h o ˩  
