Reference	Prediction	Ref_char	Pred_char	F_score_char	Precision_char	Recall_char
jiqi pjɯlɤtnɯ ɲɯɕti tɕe	yiqhi pjɯlɤtnɯ ɕti tɕe	['j', 'i', 'q', '*', 'i', 'S', 'p', 'j', 'ɯ', 'l', 'ɤ', 't', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'ɕ', 't', 'i', 'S', 't', 'ɕ', 'e']	['y', 'i', 'q', 'h', 'i', 'S', 'p', 'j', 'ɯ', 'l', 'ɤ', 't', 'n', 'ɯ', 'S', '*', '*', 'ɕ', 't', 'i', 'S', 't', 'ɕ', 'e']	0.717	0.812	0.823
tɕe nɯnɯ chɯnɯtsɯm qhe	tɕe nɯnɯ chɯnɯtsɯm qhe	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'c', 'h', 'ɯ', 'n', 'ɯ', 't', 's', 'ɯ', 'm', 'S', 'q', 'h', 'e']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'c', 'h', 'ɯ', 'n', 'ɯ', 't', 's', 'ɯ', 'm', 'S', 'q', 'h', 'e']	1.0	1.0	1.0
tɕheme kɯpɣi nɯ kɯ nɤkinɯ rɟɤlpu ɣɯ ɯjaʁ nɯ ɲɤ ɯtɕɯ nɯ ɯjaʁ ɲɤsɯɕlɯɣ qhendɤre j	tɕheme ɯkɯpɣi nɯ kɯ nɤkinɯ rɟɤlpu ɣɯ ɯjaʁ nɯ ɤɯtɕɯ nɯ ɯjaʁ ɲɤsɯɕlɯɣ qhendɤre	['t', 'ɕ', 'h', 'e', 'm', 'e', 'S', '*', 'k', 'ɯ', 'p', 'ɣ', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'r', 'ɟ', 'ɤ', 'l', 'p', 'u', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', 'ɲ', 'ɤ', 'S', 'ɯ', 't', 'ɕ', 'ɯ', 'S', 'n', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'ɲ', 'ɤ', 's', 'ɯ', 'ɕ', 'l', 'ɯ', 'ɣ', 'S', 'q', 'h', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'j']	['t', 'ɕ', 'h', 'e', 'm', 'e', 'S', 'ɯ', 'k', 'ɯ', 'p', 'ɣ', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'r', 'ɟ', 'ɤ', 'l', 'p', 'u', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', '*', 'ɤ', '*', 'ɯ', 't', 'ɕ', 'ɯ', 'S', 'n', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'ɲ', 'ɤ', 's', 'ɯ', 'ɕ', 'l', 'ɯ', 'ɣ', 'S', 'q', 'h', 'e', 'n', 'd', 'ɤ', 'r', 'e', '*', '*']	0.934	0.957	0.921
tɕendɤre nɤki tshɤ tshɤnmu nɯ tɤrga kɯ pjɤsɤr	tɕendɤre nɤki tshɯ tshɤtnmu nɯ tɤrga kɯ pjɤsere	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 's', 'h', 'ɤ', 'S', 't', 's', 'h', 'ɤ', '*', 'n', 'm', 'u', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 'r', 'g', 'a', 'S', 'k', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'ɤ', 'r', '*']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 's', 'h', 'ɯ', 'S', 't', 's', 'h', 'ɤ', 't', 'n', 'm', 'u', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 'r', 'g', 'a', 'S', 'k', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'e', 'r', 'e']	0.909	0.948	0.936
tu ɲɯŋgrɤl ŋgrɤl mɤŋgrɤl mɤxs	tu ɲɯŋgrɤl ŋgrɤmɤ ŋgrɤl mɤxsi	['t', 'u', 'S', 'ɲ', 'ɯ', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'm', 'ɤ', '*', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'm', 'ɤ', 'x', 's', '*']	['t', 'u', 'S', 'ɲ', 'ɯ', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'ŋ', 'g', 'r', 'ɤ', '*', '*', 'm', 'ɤ', 'S', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'm', 'ɤ', 'x', 's', 'i']	0.837	0.85	0.894
ma nɯnɯ koŋla sɯŋgɯ ri kurɤʑi ɕti qh	ma nɯnɯ koŋla sɯŋgɯ i kurɤʑi ɕti qhe	['m', 'a', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'o', 'ŋ', 'l', 'a', 'S', 's', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'r', 'i', 'S', 'k', 'u', 'r', 'ɤ', 'ʑ', 'i', 'S', 'ɕ', 't', 'i', 'S', 'q', 'h', '*']	['m', 'a', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'o', 'ŋ', 'l', 'a', 'S', 's', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', '*', 'i', 'S', 'k', 'u', 'r', 'ɤ', 'ʑ', 'i', 'S', 'ɕ', 't', 'i', 'S', 'q', 'h', 'e']	0.894	0.909	0.932
nɯnɯ zgo ɯpa nɯtɕu pjɤsɯxɕe tɕe	nɯnɯ zgo ɯpa nɯ tɕu pjɤsɯxɕe tɕe	['n', 'ɯ', 'n', 'ɯ', 'S', 'z', 'g', 'o', 'S', 'ɯ', 'p', 'a', 'S', 'n', 'ɯ', '*', 't', 'ɕ', 'u', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'x', 'ɕ', 'e', 'S', 't', 'ɕ', 'e']	['n', 'ɯ', 'n', 'ɯ', 'S', 'z', 'g', 'o', 'S', 'ɯ', 'p', 'a', 'S', 'n', 'ɯ', 'S', 't', 'ɕ', 'u', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'x', 'ɕ', 'e', 'S', 't', 'ɕ', 'e']	0.936	0.99	0.941
tɕe nɯ qaʑo nɯnɯ qibashi jin bajiushi jin jamar apɯtu tɕ	tɕe nɯ qaʑo nɯnɯ tɕhipa shi ci  baju shiji nɯ jamar apɯtu tɕe	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'q', 'a', 'ʑ', 'o', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', '*', '*', 'q', 'i', 'b', 'a', '*', 's', 'h', 'i', 'S', 'j', 'i', 'n', 'S', 'b', 'a', 'j', 'i', 'u', 's', 'h', 'i', 'S', 'j', 'i', '*', 'n', '*', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 'a', 'p', 'ɯ', 't', 'u', 'S', 't', 'ɕ', '*']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'q', 'a', 'ʑ', 'o', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɕ', 'h', 'i', 'p', 'a', 'S', 's', 'h', 'i', 'S', 'c', 'i', 'S', 'S', 'b', 'a', 'j', 'u', 'S', 's', 'h', 'i', '*', 'j', 'i', 'S', 'n', 'ɯ', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 'a', 'p', 'ɯ', 't', 'u', 'S', 't', 'ɕ', 'e']	0.76	0.766	0.847
nɤʑo aʑo kɯ tɯtatɯt tɯtɤtɯta nɯ tɤste tɕe tɕendɤr	nɤʑo aʑo kɯ tɯta ta nɯ tɤste tɕe tɕendɤre	['n', 'ɤ', 'ʑ', 'o', 'S', 'a', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 't', 'ɯ', 't', 'a', 't', 'ɯ', 't', 'S', 't', 'ɯ', 't', 'ɤ', 't', 'ɯ', 't', 'a', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 's', 't', 'e', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', '*']	['n', 'ɤ', 'ʑ', 'o', 'S', 'a', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 't', 'ɯ', 't', 'a', '*', '*', '*', 'S', '*', '*', '*', '*', '*', '*', 't', 'a', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 's', 't', 'e', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	0.875	0.917	0.856
tɕendɤre ɯʑo kɯ tshitsuku ɲɤndɯn tɕe khɤndɯn ra ɲɤβzu tɕe tɕendɤre nɤkinɯ iɕqha n	tɕendɤre ɯʑo kɯtshi tsuku ɲɤndɯn tɕe khɤndɯn ra ɲɤβzu tɕe tɕendɤre nɤkinɯ iɕqha nɯ	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 't', 's', 'h', 'i', '*', 't', 's', 'u', 'k', 'u', 'S', 'ɲ', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 't', 'ɕ', 'e', 'S', 'k', 'h', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 'r', 'a', 'S', 'ɲ', 'ɤ', 'β', 'z', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', '*']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', '*', 't', 's', 'h', 'i', 'S', 't', 's', 'u', 'k', 'u', 'S', 'ɲ', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 't', 'ɕ', 'e', 'S', 'k', 'h', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 'r', 'a', 'S', 'ɲ', 'ɤ', 'β', 'z', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ']	0.947	0.943	0.951
kɯmaʁ tɯrme ɯxso tɯrme ra nɯtɕhaʁra pjɤŋ	kɯmaʁ tɯrme ɯxso tɯrme ra nɯtɕhaʁra pjɤŋu	['k', 'ɯ', 'm', 'a', 'ʁ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'ɯ', 'x', 's', 'o', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'r', 'a', 'S', 'n', 'ɯ', 't', 'ɕ', 'h', 'a', 'ʁ', 'r', 'a', 'S', 'p', 'j', 'ɤ', 'ŋ', '*']	['k', 'ɯ', 'm', 'a', 'ʁ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'ɯ', 'x', 's', 'o', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'r', 'a', 'S', 'n', 'ɯ', 't', 'ɕ', 'h', 'a', 'ʁ', 'r', 'a', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u']	0.905	0.952	0.952
tɕe tówɣzrɤŋgat tɕe tɕendɤre nɯnɯ kɯ iɕqha nɯ  tɯci tɯtɤste tork	tɕe tozraŋga tɕe tɕendɤre nɯnɯ kɯ iɕqha nɯ tɯci tɯtɤste toto ti	['t', 'ɕ', 'e', 'S', 't', 'o', '́', 'w', 'ɣ', 'z', 'r', 'ɤ', 'ŋ', 'g', 'a', 't', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'S', 't', 'ɯ', 'c', 'i', 'S', 't', 'ɯ', 't', 'ɤ', 's', 't', 'e', 'S', 't', 'o', '*', '*', '*', 'r', 'k']	['t', 'ɕ', 'e', 'S', 't', 'o', '*', '*', '*', 'z', 'r', 'a', 'ŋ', 'g', 'a', '*', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', '*', 'S', 't', 'ɯ', 'c', 'i', 'S', 't', 'ɯ', 't', 'ɤ', 's', 't', 'e', 'S', 't', 'o', 't', 'o', 'S', 't', 'i']	0.768	0.905	0.777
tɕe nɤki nɯ ɯfso tɕe tɕendɤre li nɯ pjɤfse ɲɯŋu tɕendɤre iɕqha nɯ iɕqha nɯ nɤkin	tɕe nɤki nɯ ɯfso tɕe tɕendɤre li nɯ pjɤfse ɲɯŋu tɕe tɕendɤre iɕqha nɯ iɕqha nɯ nɤkinɯ	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'n', 'ɯ', 'S', 'ɯ', 'f', 's', 'o', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'l', 'i', 'S', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'f', 's', 'e', 'S', 'ɲ', 'ɯ', 'ŋ', 'u', 'S', 't', 'ɕ', 'e', '*', '*', '*', '*', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', '*']	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'n', 'ɯ', 'S', 'ɯ', 'f', 's', 'o', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'l', 'i', 'S', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'f', 's', 'e', 'S', 'ɲ', 'ɯ', 'ŋ', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ']	0.943	0.972	0.958
tɕe nɯ kɯfse tuntɕhoznɯ ɲɯŋ	tɕe nɯ kɯfse tuntɕhoznɯ ɲɯŋu	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 't', 'u', 'n', 't', 'ɕ', 'h', 'o', 'z', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'ŋ', '*']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 't', 'u', 'n', 't', 'ɕ', 'h', 'o', 'z', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	0.917	0.969	0.938
ma sɤznɤrɯre kɯ ʑo jonɯɕe	ma sɤz znɤrɯre kɯ ʑo jonɯɕe	['m', 'a', 'S', 's', 'ɤ', 'z', '*', '*', 'n', 'ɤ', 'r', 'ɯ', 'r', 'e', 'S', 'k', 'ɯ', 'S', 'ʑ', 'o', 'S', 'j', 'o', 'n', 'ɯ', 'ɕ', 'e']	['m', 'a', 'S', 's', 'ɤ', 'z', 'S', 'z', 'n', 'ɤ', 'r', 'ɯ', 'r', 'e', 'S', 'k', 'ɯ', 'S', 'ʑ', 'o', 'S', 'j', 'o', 'n', 'ɯ', 'ɕ', 'e']	0.91	0.956	0.938
aʑo nɤki tɤɕime ci ŋua ri koŋla ʑo tɤɕime ŋua tot	aʑo nɤki tɤɕime ci ŋua ri koŋla ʑo tɤɕime ŋua toti	['a', 'ʑ', 'o', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 'ɤ', 'ɕ', 'i', 'm', 'e', 'S', 'c', 'i', 'S', 'ŋ', 'u', 'a', 'S', 'r', 'i', 'S', 'k', 'o', 'ŋ', 'l', 'a', 'S', 'ʑ', 'o', 'S', 't', 'ɤ', 'ɕ', 'i', 'm', 'e', 'S', 'ŋ', 'u', 'a', 'S', 't', 'o', 't', '*']	['a', 'ʑ', 'o', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 'ɤ', 'ɕ', 'i', 'm', 'e', 'S', 'c', 'i', 'S', 'ŋ', 'u', 'a', 'S', 'r', 'i', 'S', 'k', 'o', 'ŋ', 'l', 'a', 'S', 'ʑ', 'o', 'S', 't', 'ɤ', 'ɕ', 'i', 'm', 'e', 'S', 'ŋ', 'u', 'a', 'S', 't', 'o', 't', 'i']	0.939	0.991	0.944
nɯreri praʁ ɯŋgɯ ri tʂu tukɯɣi ra tɕ	nɯreri praʁ ɯŋgɯ ri tʂu tukɯɣi ra tɕe	['n', 'ɯ', 'r', 'e', 'r', 'i', 'S', 'p', 'r', 'a', 'ʁ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'r', 'i', 'S', 't', 'ʂ', 'u', 'S', 't', 'u', 'k', 'ɯ', 'ɣ', 'i', 'S', 'r', 'a', 'S', 't', 'ɕ', '*']	['n', 'ɯ', 'r', 'e', 'r', 'i', 'S', 'p', 'r', 'a', 'ʁ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'r', 'i', 'S', 't', 'ʂ', 'u', 'S', 't', 'u', 'k', 'ɯ', 'ɣ', 'i', 'S', 'r', 'a', 'S', 't', 'ɕ', 'e']	0.926	0.972	0.944
tɕe tɯrmɯ kɤɣe jamar tɕe tɕendɤr	tɕe tɯrmɯ kɤɣe jamar tɕe tɕendɤre	['t', 'ɕ', 'e', 'S', 't', 'ɯ', 'r', 'm', 'ɯ', 'S', 'k', 'ɤ', 'ɣ', 'e', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', '*']	['t', 'ɕ', 'e', 'S', 't', 'ɯ', 'r', 'm', 'ɯ', 'S', 'k', 'ɤ', 'ɣ', 'e', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	0.926	0.987	0.933
arŋ	arŋi	['a', 'r', 'ŋ', '*']	['a', 'r', 'ŋ', 'i']	0.6	0.8	0.8
tɕe mɯntoʁ mɤʑɯ kɯmpɕɤr ɲɯtɯɤpanɯ ɕti toti ɲɯŋ	tɕe mɯntoʁ mɤʑɯ ʑo kɯmpɕɤr ɲɯtɤpanɯ ɕti toti ɲɯŋu	['t', 'ɕ', 'e', 'S', 'm', 'ɯ', 'n', 't', 'o', 'ʁ', 'S', 'm', 'ɤ', 'ʑ', 'ɯ', 'S', '*', '*', '*', 'k', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ɲ', 'ɯ', 't', 'ɯ', 'ɤ', 'p', 'a', 'n', 'ɯ', 'S', 'ɕ', 't', 'i', 'S', 't', 'o', 't', 'i', 'S', 'ɲ', 'ɯ', 'ŋ', '*']	['t', 'ɕ', 'e', 'S', 'm', 'ɯ', 'n', 't', 'o', 'ʁ', 'S', 'm', 'ɤ', 'ʑ', 'ɯ', 'S', 'ʑ', 'o', 'S', 'k', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ɲ', 'ɯ', 't', '*', 'ɤ', 'p', 'a', 'n', 'ɯ', 'S', 'ɕ', 't', 'i', 'S', 't', 'o', 't', 'i', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	0.866	0.852	0.943
tɕendɤre kɯki tɤtɕɯ ki kɯ nɯnɯ wuma ʑo nɯnɯ pɯkɤnɤtsɯ nɯnɯ nɤkinɯ nɤkinɯ tosɯsaχsɤl ɕti ndɤre	tɕendɤre kɯki tɤtɕɯ kɯ kɯ nɯnɯ wuma ʑo nɯnɯ pɯkɤnɤtsɯ nɯnɯ nɤkinɯ nɤkinɯ tossaχsɤl ɕti ndɤre	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'k', 'ɯ', 'k', 'i', 'S', 't', 'ɤ', 't', 'ɕ', 'ɯ', 'S', 'k', 'i', 'S', 'k', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'p', 'ɯ', 'k', 'ɤ', 'n', 'ɤ', 't', 's', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 't', 'o', 's', 'ɯ', 's', 'a', 'χ', 's', 'ɤ', 'l', 'S', 'ɕ', 't', 'i', 'S', 'n', 'd', 'ɤ', 'r', 'e']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'k', 'ɯ', 'k', 'i', 'S', 't', 'ɤ', 't', 'ɕ', 'ɯ', 'S', 'k', 'ɯ', 'S', 'k', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'p', 'ɯ', 'k', 'ɤ', 'n', 'ɤ', 't', 's', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 't', 'o', 's', '*', 's', 'a', 'χ', 's', 'ɤ', 'l', 'S', 'ɕ', 't', 'i', 'S', 'n', 'd', 'ɤ', 'r', 'e']	0.946	0.951	0.988
ɯzwa ɯʑoz ɯci ɯʑoz kɯfse ɲɯɤrɤmgrɯndɯr ŋ	ɯzwa ɯʑoz ɯci ɯʑoz kɯfse ɲɯɤrɤmgrɯndɯr m	['ɯ', 'z', 'w', 'a', 'S', 'ɯ', 'ʑ', 'o', 'z', 'S', 'ɯ', 'c', 'i', 'S', 'ɯ', 'ʑ', 'o', 'z', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 'ɲ', 'ɯ', 'ɤ', 'r', 'ɤ', 'm', 'g', 'r', 'ɯ', 'n', 'd', 'ɯ', 'r', 'S', 'ŋ']	['ɯ', 'z', 'w', 'a', 'S', 'ɯ', 'ʑ', 'o', 'z', 'S', 'ɯ', 'c', 'i', 'S', 'ɯ', 'ʑ', 'o', 'z', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 'ɲ', 'ɯ', 'ɤ', 'r', 'ɤ', 'm', 'g', 'r', 'ɯ', 'n', 'd', 'ɯ', 'r', 'S', 'm']	0.937	0.976	0.952
kɯki nɯ ma aʑo fɕata me tɕe kɯki aʑo ɕkom tumtshia ki ɣɯ ɯχpi ci pjɯfɕata tot	nɯ ma aʑo fɕata me tɕe kɯki aʑo ɕkom tumtshia kɯ ɣɤχpi ci pjɯfɕata toti	['k', 'ɯ', 'k', 'i', 'S', 'n', 'ɯ', 'S', 'm', 'a', 'S', 'a', 'ʑ', 'o', 'S', 'f', 'ɕ', 'a', 't', 'a', 'S', 'm', 'e', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'k', 'i', 'S', 'a', 'ʑ', 'o', 'S', 'ɕ', 'k', 'o', 'm', 'S', 't', 'u', 'm', 't', 's', 'h', 'i', 'a', 'S', 'k', 'i', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'χ', 'p', 'i', 'S', 'c', 'i', 'S', 'p', 'j', 'ɯ', 'f', 'ɕ', 'a', 't', 'a', 'S', 't', 'o', 't', '*']	['*', '*', '*', '*', '*', 'n', 'ɯ', 'S', 'm', 'a', 'S', 'a', 'ʑ', 'o', 'S', 'f', 'ɕ', 'a', 't', 'a', 'S', 'm', 'e', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'k', 'i', 'S', 'a', 'ʑ', 'o', 'S', 'ɕ', 'k', 'o', 'm', 'S', 't', 'u', 'm', 't', 's', 'h', 'i', 'a', 'S', 'k', 'ɯ', 'S', 'ɣ', '*', '*', 'ɤ', 'χ', 'p', 'i', 'S', 'c', 'i', 'S', 'p', 'j', 'ɯ', 'f', 'ɕ', 'a', 't', 'a', 'S', 't', 'o', 't', 'i']	0.872	0.893	0.9
tɕe nɤkinɯ iɕqh	tɕe nɤkinɯ iɕqha	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', '*']	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a']	0.846	0.923	0.923
qachɣa nɯnɯ qachɣa ɣɯ ɯndʐi nɯnɯ nɤkin	chɣa nɯnɯ qachɣa ɣɯ ɯndʐi nɯnɯ ɤki	['q', 'a', 'c', 'h', 'ɣ', 'a', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'q', 'a', 'c', 'h', 'ɣ', 'a', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'n', 'd', 'ʐ', 'i', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n']	['*', '*', 'c', 'h', 'ɣ', 'a', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'q', 'a', 'c', 'h', 'ɣ', 'a', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'n', 'd', 'ʐ', 'i', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', '*', 'ɤ', 'k', 'i', '*']	0.883	0.929	0.926
mɯpjɤnɯtso tɕe tɕe	mɯpjɤnɯtso tɕe ɕe aie	['m', 'ɯ', 'p', 'j', 'ɤ', 'n', 'ɯ', 't', 's', 'o', 'S', 't', 'ɕ', 'e', 'S', '*', '*', '*', 't', 'ɕ', 'e']	['m', 'ɯ', 'p', 'j', 'ɤ', 'n', 'ɯ', 't', 's', 'o', 'S', 't', 'ɕ', 'e', 'S', 'ɕ', 'e', 'S', 'a', 'i', 'e']	0.727	0.789	0.878
