Reference	Prediction	Ref_char	Pred_char	F_score_char	Precision_char	Recall_char	Lev_dist_char
nɯ ɯŋgɯ pjɯɣinɯ tɕe tɕe 	nɯ ɯŋgɯ pjɯɣinɯ tɕe tɕe	['n', 'ɯ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'p', 'j', 'ɯ', 'ɣ', 'i', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S']	['n', 'ɯ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'p', 'j', 'ɯ', 'ɣ', 'i', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', '*']	0.915	0.923	0.985	0.9782608695652174
jiqi pjɯlɤtnɯ ɲɯɕti tɕe 	yiqhi pjɯlɤtnɯ ɕti tɕe	['j', 'i', 'q', '*', 'i', 'S', 'p', 'j', 'ɯ', 'l', 'ɤ', 't', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'ɕ', 't', 'i', 'S', 't', 'ɕ', 'e', 'S']	['y', 'i', 'q', 'h', 'i', 'S', 'p', 'j', 'ɯ', 'l', 'ɤ', 't', 'n', 'ɯ', 'S', '*', '*', 'ɕ', 't', 'i', 'S', 't', 'ɕ', 'e', '*']	0.708	0.812	0.807	0.8888888888888888
tɕe nɯnɯ chɯnɯtsɯm qhe 	tɕe nɯnɯ chɯnɯtsɯm qhe	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'c', 'h', 'ɯ', 'n', 'ɯ', 't', 's', 'ɯ', 'm', 'S', 'q', 'h', 'e', 'S']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'c', 'h', 'ɯ', 'n', 'ɯ', 't', 's', 'ɯ', 'm', 'S', 'q', 'h', 'e', '*']	0.905	0.917	0.979	0.9772727272727273
khɯna ndɤre 	khɯna mɯpɯfɕɤt tɕi ɯŋu kɯna ndɤre	['k', 'h', 'ɯ', 'n', 'a', 'S', '*', '*', '*', '*', '*', '*', 'n', 'd', 'ɤ', 'r', 'e', 'S', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']	['k', 'h', 'ɯ', 'n', 'a', 'S', 'm', 'ɯ', 'p', 'ɯ', 'f', 'ɕ', 'ɤ', 't', 'S', 't', 'ɕ', 'i', 'S', 'ɯ', 'ŋ', 'u', 'S', 'k', 'ɯ', 'n', 'a', 'S', 'n', 'd', 'ɤ', 'r', 'e', '*']	0.181	0.196	0.687	0.4772727272727273
tɕheme kɯpɣi nɯ kɯ nɤkinɯ rɟɤlpu ɣɯ ɯjaʁ nɯ ɲɤ ɯtɕɯ nɯ ɯjaʁ ɲɤsɯɕlɯɣ qhendɤre jo	tɕheme ɯkɯpɣi nɯ kɯ nɤkinɯ rɟɤlpu ɣɯ ɯjaʁ nɯ ɤɯtɕɯ nɯ ɯjaʁ ɲɤsɯɕlɯɣ qhendɤre	['t', 'ɕ', 'h', 'e', 'm', 'e', 'S', '*', 'k', 'ɯ', 'p', 'ɣ', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'r', 'ɟ', 'ɤ', 'l', 'p', 'u', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', 'ɲ', 'ɤ', 'S', 'ɯ', 't', 'ɕ', 'ɯ', 'S', 'n', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'ɲ', 'ɤ', 's', 'ɯ', 'ɕ', 'l', 'ɯ', 'ɣ', 'S', 'q', 'h', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'j', 'o']	['t', 'ɕ', 'h', 'e', 'm', 'e', 'S', 'ɯ', 'k', 'ɯ', 'p', 'ɣ', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'r', 'ɟ', 'ɤ', 'l', 'p', 'u', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', '*', 'ɤ', '*', 'ɯ', 't', 'ɕ', 'ɯ', 'S', 'n', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'ɲ', 'ɤ', 's', 'ɯ', 'ɕ', 'l', 'ɯ', 'ɣ', 'S', 'q', 'h', 'e', 'n', 'd', 'ɤ', 'r', 'e', '*', '*', '*']	0.898	0.959	0.886	0.9612903225806452
tɕendɤre nɤki tshɤ tshɤnmu nɯ tɤrga kɯ pjɤsɤre	tɕendɤre nɤki tshɯ tshɤtnmu nɯ tɤrga kɯ pjɤsere	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 's', 'h', 'ɤ', 'S', 't', 's', 'h', 'ɤ', '*', 'n', 'm', 'u', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 'r', 'g', 'a', 'S', 'k', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'ɤ', 'r', 'e']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 's', 'h', 'ɯ', 'S', 't', 's', 'h', 'ɤ', 't', 'n', 'm', 'u', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 'r', 'g', 'a', 'S', 'k', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'e', 'r', 'e']	0.919	0.961	0.936	0.967391304347826
tu ɲɯŋgrɤl ŋgrɤl mɤŋgrɤl mɤxsi	tu ɲɯŋgrɤl ŋgrɤmɤ ŋgrɤl mɤxsi	['t', 'u', 'S', 'ɲ', 'ɯ', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'm', 'ɤ', '*', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'm', 'ɤ', 'x', 's', 'i']	['t', 'u', 'S', 'ɲ', 'ɯ', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'ŋ', 'g', 'r', 'ɤ', '*', '*', 'm', 'ɤ', 'S', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'm', 'ɤ', 'x', 's', 'i']	0.903	0.917	0.894	0.9482758620689655
ma nɯnɯ koŋla sɯŋgɯ ri kurɤʑi ɕti qhe	ma nɯnɯ koŋla sɯŋgɯ i kurɤʑi ɕti qhe	['m', 'a', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'o', 'ŋ', 'l', 'a', 'S', 's', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'r', 'i', 'S', 'k', 'u', 'r', 'ɤ', 'ʑ', 'i', 'S', 'ɕ', 't', 'i', 'S', 'q', 'h', 'e']	['m', 'a', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'o', 'ŋ', 'l', 'a', 'S', 's', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', '*', 'i', 'S', 'k', 'u', 'r', 'ɤ', 'ʑ', 'i', 'S', 'ɕ', 't', 'i', 'S', 'q', 'h', 'e']	0.939	0.955	0.977	0.9861111111111112
nɯnɯ zgo ɯpa nɯtɕu pjɤsɯxɕe tɕe 	nɯnɯ zgo ɯpa nɯ tɕu pjɤsɯxɕe tɕe	['n', 'ɯ', 'n', 'ɯ', 'S', 'z', 'g', 'o', 'S', 'ɯ', 'p', 'a', 'S', 'n', 'ɯ', '*', 't', 'ɕ', 'u', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'x', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S']	['n', 'ɯ', 'n', 'ɯ', 'S', 'z', 'g', 'o', 'S', 'ɯ', 'p', 'a', 'S', 'n', 'ɯ', 'S', 't', 'ɕ', 'u', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'x', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', '*']	0.931	0.931	0.931	0.9682539682539683
tɕe nɯ qaʑo nɯnɯ qibashi jin bajiushi jin jamar apɯtu tɕe	tɕe nɯ qaʑo nɯnɯ tɕhipa shi ci  baju shiji nɯ jamar apɯtu tɕe	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'q', 'a', 'ʑ', 'o', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', '*', '*', 'q', 'i', 'b', 'a', '*', 's', 'h', 'i', 'S', 'j', 'i', 'n', 'S', 'b', 'a', 'j', 'i', 'u', 's', 'h', 'i', 'S', 'j', 'i', '*', 'n', '*', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 'a', 'p', 'ɯ', 't', 'u', 'S', 't', 'ɕ', 'e']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'q', 'a', 'ʑ', 'o', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɕ', 'h', 'i', 'p', 'a', 'S', 's', 'h', 'i', 'S', 'c', 'i', 'S', 'S', 'b', 'a', 'j', 'u', 'S', 's', 'h', 'i', '*', 'j', 'i', 'S', 'n', 'ɯ', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 'a', 'p', 'ɯ', 't', 'u', 'S', 't', 'ɕ', 'e']	0.775	0.789	0.847	0.8974358974358975
nɤʑo aʑo kɯ tɯtatɯt tɯtɤtɯta nɯ tɤste tɕe tɕendɤre	nɤʑo aʑo kɯ tɯta ta nɯ tɤste tɕe tɕendɤre	['n', 'ɤ', 'ʑ', 'o', 'S', 'a', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 't', 'ɯ', 't', 'a', 't', 'ɯ', 't', 'S', 't', 'ɯ', 't', 'ɤ', 't', 'ɯ', 't', 'a', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 's', 't', 'e', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	['n', 'ɤ', 'ʑ', 'o', 'S', 'a', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 't', 'ɯ', 't', 'a', '*', '*', '*', 'S', '*', '*', '*', '*', '*', '*', 't', 'a', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 's', 't', 'e', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	0.884	0.933	0.922	0.9
tɕendɤre ɯʑo kɯ tshitsuku ɲɤndɯn tɕe khɤndɯn ra ɲɤβzu tɕe tɕendɤre nɤkinɯ iɕqha nɯ	tɕendɤre ɯʑo kɯtshi tsuku ɲɤndɯn tɕe khɤndɯn ra ɲɤβzu tɕe tɕendɤre nɤkinɯ iɕqha nɯ	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 't', 's', 'h', 'i', '*', 't', 's', 'u', 'k', 'u', 'S', 'ɲ', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 't', 'ɕ', 'e', 'S', 'k', 'h', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 'r', 'a', 'S', 'ɲ', 'ɤ', 'β', 'z', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', '*', 't', 's', 'h', 'i', 'S', 't', 's', 'u', 'k', 'u', 'S', 'ɲ', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 't', 'ɕ', 'e', 'S', 'k', 'h', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 'r', 'a', 'S', 'ɲ', 'ɤ', 'β', 'z', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ']	0.951	0.951	0.951	0.9877300613496932
kɯmaʁ tɯrme ɯxso tɯrme ra nɯtɕhaʁra pjɤŋu	kɯmaʁ tɯrme ɯxso tɯrme ra nɯtɕhaʁra pjɤŋu	['k', 'ɯ', 'm', 'a', 'ʁ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'ɯ', 'x', 's', 'o', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'r', 'a', 'S', 'n', 'ɯ', 't', 'ɕ', 'h', 'a', 'ʁ', 'r', 'a', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u']	['k', 'ɯ', 'm', 'a', 'ʁ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'ɯ', 'x', 's', 'o', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'r', 'a', 'S', 'n', 'ɯ', 't', 'ɕ', 'h', 'a', 'ʁ', 'r', 'a', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u']	1.0	1.0	1.0	1.0
tɕe tówɣzrɤŋgat tɕe tɕendɤre nɯnɯ kɯ iɕqha nɯ  tɯci tɯtɤste torku	tɕe tozraŋga tɕe tɕendɤre nɯnɯ kɯ iɕqha nɯ tɯci tɯtɤste toto ti	['t', 'ɕ', 'e', 'S', 't', 'o', '́', 'w', 'ɣ', 'z', 'r', 'ɤ', 'ŋ', 'g', 'a', 't', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'S', 't', 'ɯ', 'c', 'i', 'S', 't', 'ɯ', 't', 'ɤ', 's', 't', 'e', 'S', '*', '*', 't', 'o', 'r', 'k', 'u']	['t', 'ɕ', 'e', 'S', 't', 'o', '*', '*', '*', 'z', 'r', 'a', 'ŋ', 'g', 'a', '*', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', '*', 'S', 't', 'ɯ', 'c', 'i', 'S', 't', 'ɯ', 't', 'ɤ', 's', 't', 'e', 'S', 't', 'o', 't', 'o', 'S', 't', 'i']	0.737	0.909	0.746	0.9140625
tɕe nɤki nɯ ɯfso tɕe tɕendɤre li nɯ pjɤfse ɲɯŋu tɕendɤre iɕqha nɯ iɕqha nɯ nɤkinɯ	tɕe nɤki nɯ ɯfso tɕe tɕendɤre li nɯ pjɤfse ɲɯŋu tɕe tɕendɤre iɕqha nɯ iɕqha nɯ nɤkinɯ	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'n', 'ɯ', 'S', 'ɯ', 'f', 's', 'o', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'l', 'i', 'S', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'f', 's', 'e', 'S', 'ɲ', 'ɯ', 'ŋ', 'u', 'S', 't', 'ɕ', 'e', '*', '*', '*', '*', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ']	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'n', 'ɯ', 'S', 'ɯ', 'f', 's', 'o', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'l', 'i', 'S', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'f', 's', 'e', 'S', 'ɲ', 'ɯ', 'ŋ', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ']	0.946	0.978	0.958	0.9757575757575757
tɕe nɯ kɯfse tuntɕhoznɯ ɲɯŋu	tɕe nɯ kɯfse tuntɕhoznɯ ɲɯŋu	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 't', 'u', 'n', 't', 'ɕ', 'h', 'o', 'z', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 't', 'u', 'n', 't', 'ɕ', 'h', 'o', 'z', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	1.0	1.0	1.0	1.0
ma sɤznɤrɯre kɯ ʑo jonɯɕe 	ma sɤz znɤrɯre kɯ ʑo jonɯɕe	['m', 'a', 'S', 's', 'ɤ', 'z', '*', '*', 'n', 'ɤ', 'r', 'ɯ', 'r', 'e', 'S', 'k', 'ɯ', 'S', 'ʑ', 'o', 'S', 'j', 'o', 'n', 'ɯ', 'ɕ', 'e', 'S']	['m', 'a', 'S', 's', 'ɤ', 'z', 'S', 'z', 'n', 'ɤ', 'r', 'ɯ', 'r', 'e', 'S', 'k', 'ɯ', 'S', 'ʑ', 'o', 'S', 'j', 'o', 'n', 'ɯ', 'ɕ', 'e', '*']	0.904	0.894	0.925	0.9423076923076923
kɯnɯsuwa tɕe kɯnɯzhangang 站岗	kɯnɯsoa tɕe kɯnɯtʂan kɯaŋ fangshaodi	['k', 'ɯ', 'n', 'ɯ', 's', 'u', 'w', 'a', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'n', 'ɯ', 'z', 'h', 'a', 'n', '*', '*', '*', '*', '*', '*', 'g', 'a', 'n', 'g', 'S', '站', '岗', '*', '*', '*']	['k', 'ɯ', 'n', 'ɯ', 's', '*', 'o', 'a', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'n', 'ɯ', 't', 'ʂ', 'a', 'n', 'S', 'k', 'ɯ', 'a', 'ŋ', 'S', 'f', 'a', 'n', 'g', 's', 'h', 'a', 'o', 'd', 'i']	0.348	0.546	0.659	0.746031746031746
aʑo nɤki tɤɕime ci ŋua ri koŋla ʑo tɤɕime ŋua toti	aʑo nɤki tɤɕime ci ŋua ri koŋla ʑo tɤɕime ŋua toti	['a', 'ʑ', 'o', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 'ɤ', 'ɕ', 'i', 'm', 'e', 'S', 'c', 'i', 'S', 'ŋ', 'u', 'a', 'S', 'r', 'i', 'S', 'k', 'o', 'ŋ', 'l', 'a', 'S', 'ʑ', 'o', 'S', 't', 'ɤ', 'ɕ', 'i', 'm', 'e', 'S', 'ŋ', 'u', 'a', 'S', 't', 'o', 't', 'i']	['a', 'ʑ', 'o', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 'ɤ', 'ɕ', 'i', 'm', 'e', 'S', 'c', 'i', 'S', 'ŋ', 'u', 'a', 'S', 'r', 'i', 'S', 'k', 'o', 'ŋ', 'l', 'a', 'S', 'ʑ', 'o', 'S', 't', 'ɤ', 'ɕ', 'i', 'm', 'e', 'S', 'ŋ', 'u', 'a', 'S', 't', 'o', 't', 'i']	1.0	1.0	1.0	1.0
nɯreri praʁ ɯŋgɯ ri tʂu tukɯɣi ra tɕe	nɯreri praʁ ɯŋgɯ ri tʂu tukɯɣi ra tɕe	['n', 'ɯ', 'r', 'e', 'r', 'i', 'S', 'p', 'r', 'a', 'ʁ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'r', 'i', 'S', 't', 'ʂ', 'u', 'S', 't', 'u', 'k', 'ɯ', 'ɣ', 'i', 'S', 'r', 'a', 'S', 't', 'ɕ', 'e']	['n', 'ɯ', 'r', 'e', 'r', 'i', 'S', 'p', 'r', 'a', 'ʁ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'r', 'i', 'S', 't', 'ʂ', 'u', 'S', 't', 'u', 'k', 'ɯ', 'ɣ', 'i', 'S', 'r', 'a', 'S', 't', 'ɕ', 'e']	1.0	1.0	1.0	1.0
tɕe tɯrmɯ kɤɣe jamar tɕe tɕendɤre	tɕe tɯrmɯ kɤɣe jamar tɕe tɕendɤre	['t', 'ɕ', 'e', 'S', 't', 'ɯ', 'r', 'm', 'ɯ', 'S', 'k', 'ɤ', 'ɣ', 'e', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	['t', 'ɕ', 'e', 'S', 't', 'ɯ', 'r', 'm', 'ɯ', 'S', 'k', 'ɤ', 'ɣ', 'e', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	1.0	1.0	1.0	1.0
arŋi	arŋi	['a', 'r', 'ŋ', 'i']	['a', 'r', 'ŋ', 'i']	1.0	1.0	1.0	1.0
tɕe mɯntoʁ mɤʑɯ kɯmpɕɤr ɲɯtɯɤpanɯ ɕti toti ɲɯŋu	tɕe mɯntoʁ mɤʑɯ ʑo kɯmpɕɤr ɲɯtɤpanɯ ɕti toti ɲɯŋu	['t', 'ɕ', 'e', 'S', 'm', 'ɯ', 'n', 't', 'o', 'ʁ', 'S', 'm', 'ɤ', 'ʑ', 'ɯ', 'S', '*', '*', '*', 'k', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ɲ', 'ɯ', 't', 'ɯ', 'ɤ', 'p', 'a', 'n', 'ɯ', 'S', 'ɕ', 't', 'i', 'S', 't', 'o', 't', 'i', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	['t', 'ɕ', 'e', 'S', 'm', 'ɯ', 'n', 't', 'o', 'ʁ', 'S', 'm', 'ɤ', 'ʑ', 'ɯ', 'S', 'ʑ', 'o', 'S', 'k', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ɲ', 'ɯ', 't', '*', 'ɤ', 'p', 'a', 'n', 'ɯ', 'S', 'ɕ', 't', 'i', 'S', 't', 'o', 't', 'i', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	0.916	0.902	0.943	0.9578947368421052
tɕendɤre kɯki tɤtɕɯ ki kɯ nɯnɯ wuma ʑo nɯnɯ pɯkɤnɤtsɯ nɯnɯ nɤkinɯ nɤkinɯ tosɯsaχsɤl ɕti ndɤre 	tɕendɤre kɯki tɤtɕɯ kɯ kɯ nɯnɯ wuma ʑo nɯnɯ pɯkɤnɤtsɯ nɯnɯ nɤkinɯ nɤkinɯ tossaχsɤl ɕti ndɤre	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'k', 'ɯ', 'k', 'i', 'S', 't', 'ɤ', 't', 'ɕ', 'ɯ', 'S', 'k', 'i', 'S', 'k', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'p', 'ɯ', 'k', 'ɤ', 'n', 'ɤ', 't', 's', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 't', 'o', 's', 'ɯ', 's', 'a', 'χ', 's', 'ɤ', 'l', 'S', 'ɕ', 't', 'i', 'S', 'n', 'd', 'ɤ', 'r', 'e', 'S']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'k', 'ɯ', 'k', 'i', 'S', 't', 'ɤ', 't', 'ɕ', 'ɯ', 'S', 'k', 'ɯ', 'S', 'k', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'p', 'ɯ', 'k', 'ɤ', 'n', 'ɤ', 't', 's', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 't', 'o', 's', '*', 's', 'a', 'χ', 's', 'ɤ', 'l', 'S', 'ɕ', 't', 'i', 'S', 'n', 'd', 'ɤ', 'r', 'e', '*']	0.945	0.951	0.985	0.9837837837837838
ɯzwa ɯʑoz ɯci ɯʑoz kɯfse ɲɯɤrɤmgrɯndɯr ŋu	ɯzwa ɯʑoz ɯci ɯʑoz kɯfse ɲɯɤrɤmgrɯndɯr m	['ɯ', 'z', 'w', 'a', 'S', 'ɯ', 'ʑ', 'o', 'z', 'S', 'ɯ', 'c', 'i', 'S', 'ɯ', 'ʑ', 'o', 'z', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 'ɲ', 'ɯ', 'ɤ', 'r', 'ɤ', 'm', 'g', 'r', 'ɯ', 'n', 'd', 'ɯ', 'r', 'S', 'ŋ', 'u']	['ɯ', 'z', 'w', 'a', 'S', 'ɯ', 'ʑ', 'o', 'z', 'S', 'ɯ', 'c', 'i', 'S', 'ɯ', 'ʑ', 'o', 'z', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 'ɲ', 'ɯ', 'ɤ', 'r', 'ɤ', 'm', 'g', 'r', 'ɯ', 'n', 'd', 'ɯ', 'r', 'S', '*', 'm']	0.855	0.935	0.913	0.975
