Reference	Prediction
tɯrgi nɯ koŋla kɯpe ŋu tɕe	tɯrgi nɯ koŋla kɯpe ŋu tɕe i ɯ
tɕe qro kɯfse kɯdɯdɤn ʑo jɤɣenɯ tɕe lozonɯ tɕe qha	tɕe qro kɯfse kɯdɯdɤn ʑo jɤɣe nɯ lɤzonɯ tɕe tɕe iɕqha
tɕendɤre kɯki rcanɯ maka nɯra kɤsthɯt kɯsɤcha nɯ pjɤmaʁ	tɕendɤre kɯki rcanɯ maka nɯra kɤsthɯt kɯsɤcha nɯ pjɤmaʁ
nɯ kɯfse nɯnɯ liangcai kɯfse low	nɯ kɯfse nɯnɯ liangsai kɯfse  low
ɯpa nɯ rdɤstaʁ kɤntɤm nɯ tɕu pjɯ́wɣta 	ɯpa nɯ rdɤstaʁ kɯnɤ tɤm ɲpjɯ́wɣta
tɕendɤre kɯsɤscit ci ɲɤɕarnɯ tɕe nɯ tɕu tonɯnanɯ	tɕendɤre kɯsɤscɯt ci ɲɤɕarnɯ tɕe nɯtɕu tonɯnɤn
tɕe nɯnɯ li ɯfkaβ me ma ɯχcɤl nɯreri 	tɕe nɯnɯ li ɯfkaβ me ma ɯχcɤl nɯreri
tɕe ɲɯmpɕɤr	tɕe ɲɯmpɕɤr
tɕe nɯnɯ grɯβgrɯβ ŋu tɕe 	tɕe nɯnɯ grɯβgrɯβ ŋu tɕe
tɕendɤre tshɯtho stu kɯxtɕi nɯ iɕqha tɯtshot ɯrgɤm nɯ ɯŋgɯ toɕe	tɕendɤre tshɯtho stu kɯxtɕi nɯ iɕqha tɯtshot tɯrgɤm nɯ ɯŋgɯ toɕe
wuma ʑo ɲɯdɤn tɕe ɲɯrʑi tɕe	wuma ʑo ɲɯdɤn tɕe ɲɯrʑi tɕe
tɯrqo ʑmbraʁ mɤɕe tutinɯ 	tɯrqo ʑmbraʁ mɤɕe tutinɯ ɲɯŋ
kuɣɯta nɯsɯsota ri ɲɤnɯjmɯta ma	kɯɣɯta sɤta ri ɲɤnɯjmɯta ma
stoʁ nɯnɯ nɤkinɯ tɤrɤku ŋu 	stoʁ nɯnɯ nɤkinɯ tɤrɤku ŋu
tsuku tɕe kɯwxtɯwxti ʑo kɯβde jamar kɯmŋu jamar ma kɯme ɣɤʑu	tsuku tɕe kɯwxtɯwxti ʑo kɯβde jamar kɯmŋu jamar ma kɯme ɣɤʑu
tɕeri ɯkɯm nɤki sɤcɯ pjɤkɤlɤtci ɕti qhe kɤcɯ mɯpjɤkhɯ	tɕeri kɯmnɤki sɤcɤ  pjɤkɤlɤt ci ɕti qhe kɤcɯ mɯpjɤkhɯ
sɲikuku ʑo nɤʑo ntsɯ maʁ 	sɲikuku ʑo nɤʑo ntɕu ma
tɕendɤre pha aphoŋbu ʑo maka tusɤrŋi ʑo ɲɯɕti tɕe 	tɕendɤre apha phombu ʑo maka tɯsɤrŋi ʑo ɲɯɕti tɕe
tukɯɤɕqhe tɕe ci tumŋɤm	tokɤɕqhe tɕe ci tumŋɤm
tɤmu kɤtsa ci pjɤtundʑi tɕe	tɤmɯ kɤtsa ci pjɤtu tʑɕe tɕe
tɕe nɯnɯ prɤschɯ ŋu tɕe prɤschɯ ɯŋgɯ nɯtɕu nɤkinɯ	tɕe nɯnɯ prɤschɯ ŋu tɕe prɤschɯ ɯŋgɯ nɯtɕu nɤkinɯ
nɤki χɕitka jɤɣe ri qhe pjɯkhrɯ ɕti	nɤkstonka jɤɣe ri qhe tɕe pjɯkhrɯ ɕti
nɯ thaphɯtnɯ	nɯ ɯqhu tɕe thaphɯt nɯ
tɕeri ɯŋgɯ ɯsi nɯnɯ tɕe tɕe mbraj nɯ ʑru tɕe 	tɕeri ɯŋgɯ ɯsi nɯnɯ tɕe tɕe mbraj nɯ ʑru tɕe
tɕendɤre nɯnɯ tunɯrʁɯrʁa tɕe sakaβ ɣɯ ɯrkɯ nɯtɕu tunɯrʁɯrʁa tɕe tunɯɬoʁa chaa ɲɤsɯso ri	tɕendɤre nɯnɯ tunɯrʁɯrʁa tɕe sakaβ ɣɯ ɯrkɯ nɯtɕu tunɯrʁɯrʁa tɕe tunɯɬoʁa cha ɲɤsɯso ri
tɕe nɯ kɯfse ɲɯβze qhe tɕe ʑɯrɯʑɤri tɕe li kɯpɤz ɲɯβze ɲɯŋu	tɕe nɯ kɯfse ɲɯβze qhe tɕe ʑɯrɯʑɤri qhe li kɯpɤz ɲɯβze ɯu
tɕe rdɤstaʁ ɯtaʁ nɯra rcanɯ nɤki	tɕe rdɤstaʁ ɯtaʁ nɯra rcanɯ nɤki
kɤspa nɯ kɯnɤ kɯndziaʁ ʑo kɯfse jonɯɣinɯ pjɤɕti tɕe	kaspa nɯ kɯnɤ kɯndzaʁ ʑo kɯfse jonɯɣinɯ pjɤɕti tɕe
tɕe ɯmkhɤrmaŋ ra rca ɯrɟit ʑo tunɯste pjɤŋu tɕe tɕendɤre 	tɕe ɯmkhɤrmaŋ ra rca ɯrɟit ʑo tunɯste pjɤŋu tɕe tɕendɤre
tɕe nɯ ɕtonɯɴqhu tɕe tɕendɤre	tɕe nɯ ɕtonɯɴqhu tɕe tɕendɤre
kɯmɯɕtaʁ túwɣndza ɲɯsna túwɣnɯxsɯr ɲɯsna	kɯmɯɕtaʁ túwɣndza ɲɯsna túwɣnɯxsɯr ɲɯsna
mɤt mɤkɯnɤrʑaʁ tɕe nɯ kɤndʑɯxtɤɣ χsɯm joɣinɯ	mɤkɯnɤrʑaʁ tɕe nɯ kɤndʑɯxtɤɣ χsɯm joɣinɯ
tɕe nɯra kɯmpɕɤr ŋu nɤ́ma	tɕe nɯra kɯmpɕɤr ŋu nɤ ma
tɕendɤre yilisha kɯ wuma ʑo pjɤz ɯsni pjɤzdɯɣ	tɕendɤre yilisha kɯ wuma ʑo pjɤɯsni pjɤzdɯɣ
tɕe pjɯχsuj pɯŋu ri maka ɯrgu ɲɯsɯ ma maka ɕɤŋi nɯ nɤki ɯɲɤm kɯkhe nɯ kɯndɯndɯβ zɯmzɯm pjɯ́wɣβzu ʑo pjɯ́wɣrɤkrɯ tɕe	tɕe pjɯχsu pɯŋu ri maka ɯrgɯ ɲɯsɯma maka ɕɤŋi nɤ nɤki ɯɲɤm kɯkhe nɯ kɯndɯndɯβ ʑo ɯzɯmbzɯm pjɯ́wɣβzu pjɯ́wɣrɤkrɯ tɕe
ɕkom ɣɯ ɯʁrɯ ndɤ ɣɤʑu	ɕkom ɯŋgɯ ɯʁrɯndot ɣɤʑu
ma ɯku nɯra nɤkinɯ kɯɲaʁ qhe ɯtaʁ kɯnɤmbju kɯtu ɲɯŋu	ma ɯku nɯra nɤkinɯ kɯɲaʁ qhe ɯtaʁ kɯnɤmbju kɯtu ɲɯŋu
tɕeri ndʑime nɯ kɯre chu kɯnɯdagong ɕti ma	tɕeri ndʑime nɯ kɯrɤchɯ kunɯtaʁ koŋ ɕti ma
ɯthathor tɕe tɕe nɤkinɯ iɕqha kɯki kɯfse tɕe ɯkɯmpɕɤr	ɯthathor tɕe tɕe nɤkɯnɯ iɕqha kɯki kɯfse tɕe ɯkɯmpɕɤr ku tɕe tɕe
ɯnɯnɯre tʂu kuɣi kuɕe ŋu ma	nɯndɤre tʂu koɣi kuɕe ŋu ma
qhe nɤkinɯ kɯɤkhra tu	qhe nɤkinɯ kɯɤkhra tu
tɤthu ŋu tɕe ɯmdoʁ kɯmpɕɯmpɕɤr ʑo ŋu tɕe	tɤthɯu ŋu tɕe ɯmdoʁ kɯmpɕɯmpɕɤr ʑo ŋu tɕe
tɕendɤre ɯkɯkɯki ɕkom ki kɯɕɯŋgɯ tɕe aʑo aβɣo ɣɯ ɯme pɯŋu	tɕendɤre ɯkɯkɯki ɕkom ki kɯɕɯŋgɯ tɕe aʑo aβɣu ɣɯ ɯme pɯŋu
ɯsŋɯro kɯwxti lutɕɤt qhe aʑo mɯ́jchaa aʑo mɤchaa	ɯsŋɯro ra kɯwxti lutɕɤt qhe maka aʑo mɯ́jcha aʑo mɤcha
tɕe nɯ ɣɯ feitan nɯ ɯtaʁ kuonɯmdzɯ tɕe 	tɕe nɯ ɣɯ ɯfeitha nɯ ɯtaʁ konɯmdzɯ tɕe
tɕe ɯjwaʁ nɯ pjɯʁndzɤrnɯ tɕe tɯspra tɯspra tuxtɕɤrnɯ tɕe	tɕe ɯjwaʁ nɯ pjɯʁndzɤrnɯ tɕe nɯ tɯspra tɯspra túwxtɕɤrnɯ tɕe
nɯnɯ aʑo atshɤt nɤki atɤ atɤnɯsɤfse ɯ́jɤɣ toti ri 	nɯnɯ aʑo atshɤt nɤki atɤnɯsa atɤnɯsɤfse ɯjɤɣ toti ri
tɕendɤre kɯki rgɤtpu ki rca wuma ʑo kɯŋɤn ci pjɤŋu tɕe	tɕendɤre kɯki rgɤtpu ki rca wuma ʑo kɯŋɤn ci pjɤŋu tɕe
nɯnɯ tɯβli jaɣɯt tɕe tham tham aʁɤndɯndɤt ʑo tu	nɯnɯ tɯβli jaɣɯt tɕe tthamtham tɕe aʁɤndɯndɤt ʑo tu
tɕe ɯku nɯreri kɯŋgɯŋgɤr ʑo 	tɕe ɯku nɯreri kɯŋgɯŋgɤr ʑo
kɯki tɯχpɯm ɯfsu jamar tuwxti cha	kɯki tɯχpɤm su jamar tuwxti cha
tɕeri ɯʑo kɯfse maka mɯpjɤmpɕɤr	tɕeri ɯʑo kɯfse maka mɯpjɤmpɕɤr
tɤtʂu kopanɯ qhe konɯrŋgɯnɯ	tɤtʂu koɯpa nɯ qhe konɯrŋgɯ nɯ
qarɣe ʑo fse kɯɣɯrnɯrni ʑo ŋu	tɤrɣe ʑo kɯfse kɯɣɯrnɯrni ʑo ŋu
a nɯ tɤŋu tɕe fso tɕe 	wa nɯ doŋlun tɕe fso tɕe
tɕendɤre mɯɲɤstu qhe ɯqom ʑo pjɤɬoʁ	tɕendɤre mɯɲɤstu qhe ɯqom ʑo pjɤɬoʁ
ɯxɕɤt ŋotɕu kɯtu ʑo nɯnɯ tɕu iɕqha znde ɯtaʁ nɯ tɕu tolɤt	ɯxɕɤ ŋotɕu kɯtu ʑo nɯnɯ tɕu iɕqha znde ɯtaʁ nɯtɕu tolɤt
ɯjwaʁ nɯnɯ kɯmaʁ ra kɯfse 	ɯjwaʁ nɯnɯ kɯmaʁ ra kɯfse
ma ndzɯrnaʁ nɯ ɲaʁ ʑo	ma ndzɯrnaʁ nɯ ɲaʁ ʑo
ɯtɯxtɕi ɲɯtɕhom toti	ɯtɯxtɕi ɲɯtɕhom toti
nɯra tuβzunɯ ŋgrɤl	nɯra tuβzunɯ ŋgrɤl
athɯɣinɯ ra ɯkɯti losɯxɕenɯ ri	athɯɣinɯ ra ɯkɯti losɯxɕenŋ ri
cai kɯɕɤɣ kɤndza pjɤme	shɤi kɯɕɤɣ kɤndza pjɤme
ɯstɤt ɯsmɤt ɯŋga ra kɯpɣi ʁɟa ʑo pjɤŋu	ɯstɤt ɯsmɤt ɯŋga ra kɯpɣi ʁɟa ʑo pjɤŋu
nɯ ma tsɯʁot kɯfse kɤnɤxɕɤt kɯfse mɤti 	ɯma tsɯʁot kɯ kɯfse kɤnɤxɕɤt kɯfse mɤti
ɯʁar nɯ ɲɯqɤt nɤ kuwum ɲɯqɤt nɤ kuwum ŋu ma	ɯʁar nɯ ɲɯqarnɯ kɯwum ɲɯqarnɯ kɯwu mŋu ma
tsuku kɯ tɕe shaoyaohua tuti ŋu 	tsuku kɯ tɕe shaia hua tutinɯ ɲŋu
tɕendɤre toʁde ʑo nɯnɯ nɯsɤɣzo amɤpɯmtonɯ qhe	tɕendɤre toʁde ʑo nɯnɯ nɯsɤβzu amɯ pɯmtonɯ qhe
iɕqha rgɤtpu nɯ kɯ nɯɕɯmɯma ʑo iɕqha raʁ ɣɯ tɤfkaβ nɯ kɯ iɕqha raʁ ɯphoŋ nɯnɯ chɤsɯfkaβ	iɕqha rgɤtpu nɯ kɯ nɯɕɯmɯma ʑo iɕqha raʁ ɣɯ tɤfkaβ nɯ kɯ iɕqha raʁ phoŋ nɯnɯ chɤsɯfkaβ
ɯnɯnɯ amɤtɤmŋɤm ɲɯra ma tɕe 	ɯnɯnɯ amatɤmŋɤm ɲɯra ma tɕe
tɕendɤre nɯnɯ ɯŋgɯ nɯtɕu iɕqha ɕnɤto ɯfkɯm ɣɯ ɯŋgɯ nɯtɕu	tɕendɤre nɯnɯ ɯŋgɯ nɯtɕu iɕqha ɕnɤtofkɯm ɯŋgɯ nɯtɕu ɕnɤto pjɤme kɯ
alading ɯrʑaβ ɯtɤɕime nɯ qhe nɯrɟɤlsa nɯ nɯɕɯmɯma ʑo iɕqha zhongguo ɣɯ nɯ ɕɯŋgɯ pɯkɯŋu ɣɯ ɯsɤtɕha nɯtɕu pjɤ́wɣɣɤntaβnɯ	alading ɯrʑaβ nɯ ɯtɤɕime nɯ qhe nɯrɟɤl sa nɯ nɯɕɯmɯma ʑo iɕqha tʂongguo ɣɯ nɯɕɯŋgɯ pɯkɯŋu ɣɯ ɯsɤtɕha nɯtɕu jós pjɤ́wɣɣɤntaβ
tɕeri qajɯ ɯthoʁ qajɯ nɯra nɯkɯsɤpɯpa nɯ ɲɯŋu low 	tɕeri qajɯ ɯthoʁ qajɯ nɯra nɯkɯsɤ pɯpa nɯ ɲɯŋu low amba lɯlakɯfse
li ɯzda ra ɯrca nɯ tɕu jojɣɤt pjɤra	nɯzda ra nɯrcanɯ tɕu jojɣɤt pjɤra
tɕendɤre nɤkinɯ nɯɕɯmɯma ʑo nɯnɯ hengsheer nɯnɯ nɯ sɤznɤ nɯ chɯ́wɣpu tɕe tundzea ɲɯntshi ɲɤsɯso	tɕendɤre nɤkinɯ nɯɕɯmɯma ʑo nɯnɯ hengshal nɯ sɤzndɤnɯ chɯ́wɣpu tɕe tundzea ɲɯntshi ɲɤsɯso
nɯmci kɤrɤwum maka mɯ́jchanɯ tɕe nɯmci tuɣɤrɯβrɯβ ʑo ɲɯŋu	nɯmci kɤrɤwu maka me ci mɯ́jchanɯ tɕe nɯ mci tuɣɯɤrɯβrɯβ ʑo ɲɯŋu
tɕendɤre nɯtɕu tɕe tɕendɤre pjɤsɯz tɕendɤre 	tɕendɤre nɯtɕu tɕe tɕe pjɤsɯz tɕendɤre
tɕe rɟɤlpu ci pjɤtu tɕe rɟɤlpu ɣɯ ɯkha nɯnɯ iɕqha 	tɕendɤre rɟɤlpu ci pjɤtu tɕe rɟɤlpu ɣɯ ɯkha nɯnɯ iɕqha
tɕe qandzɤjo kɤti ci tu tɕe	tɕe qandzɤjo kɤti ci tu tɕe
ci ci tɕe tɕendɤre iɕqha si nɯ kúwɣsɯsphjaʁ 	ci ci tɕe tɕendɤre iɕqha si nɯ kúwɣsɯsphjaʁ
tɕe kɯɣɤrʁaʁ tɯrme nɯ kɯ	kɯɣɤrʁaʁ tɯrme nɯ kɯ
qajdo nɯ pj maka mɯpjɤsɯχsɤl	qajdo nɯ  maka mɯpjɤsɯχsɤl
motuo ɯtaʁ chɯɣindʑi ɲɯŋu	mɤto taʁ chɯɣi ɲɯβndʑi ɲɯŋu ma
tɕe nɯrme nɯra ɲɯme ɲɯŋu	tɕe nɯrme nɯra ɲɯme ɲɯŋu
jɤɕe ra toti ɲɯŋu	jɤɕe ra toti
tɕe xɕaj nɯnɯ ɯmdoʁ nɯ apɤpɣi kɯfse	tɕe xɕaj nɯnɯ ɯmdoʁ nɯ apɤpɣi kɯfse
tɕendɤre rgɤtpu nɯ dɯxpa ma kha jonɯɕe tɕe	tɕendɤre rgɤtpu nɯ dɯxpa makha jonɯɕe tɕe
nɤkinɯ iɕqha nɯ tɕendɤre athi nɤki rɟɤlsa ɯʁɤri kutɕu zɯ nɤkinɯ si mɯndʐamɯχtɕɯɣ χsɯri kɯtʂɤsqi apɯtu	nɤkinɯ iɕqha nɯ tɕendɤre athi nɤ rɟalsa ɯʁɤri kutɕu zɯ nɤkinɯ si mɯndʐa maχtɕɯɣ χsɯri kɯtʂɤsqi
tɕendɤre ɯcu kɯtu nɯ pjɤsɯχsɤl	tɕendɤre nɯ ɯcɯ kɯtu nɯ pjɤsɯχsɤl
tɕe nɯnɯ χsɤr pɣa nɯ nɤjaʁ ɲɯtɯkho ʑo tɕe tɕendɤre nɤki	tɕe nɯnɯ χsɤr pɣa nɯ nɤjaʁ ɲɯtɯkho ʑo tɕe tɕendɤre
nɤkinɯ iɕqha jinqiu nɯ toɣɤrɤt	nɤkinɯ iɕqha cichɯu nɯ toɣɤrɤt
ɯɕoŋtɕa stu ʑo kɯmna kɤsɯpa ɕti 	jiɕoŋtɕa stu ʑo kɯmna kɤsɯpa ɕti
tɤpɤtso kɯlɤɣ nɯra ɣɯ nɯŋgra nɯnɯ nɤkinɯ pjɯsɯxtɕhaʁ ntsɯ pjɤŋu	tɤpɤtso kɯlɤɣ nɯra ɣɯ nɯŋgra nɯnɯ nɤkinɯ ɣɯ pjɯsɯxtɕhaʁ ntsɯ pjɤŋu
iɕqha ɬɤndʐi nɯ kɯ ɯjaʁ nɯtɕu scapa tondo tɕe	iɕqha ɬɤndʐi nɯ kɯ ɯjaʁ nɯ tɕu scapa tondo tɕe
rgɤm nɯ tocɯ	nɤki rgɤm nɯ mpoti
tɕe ɴqiaβ tsa ri tuɬoʁ ɲɯŋu	tɕe ɴqiaβ tsa ri tuɬoʁ ɲɯŋu
nɤmkha zɯ ɲɯnɯqambɯmbjom qhe tɕe 	nɤmkha zɯ ɲɯnɯqambɯmbjom qhe tɕe
tɕe nɯnɯ nɤkinɯ ɯthoʁ tukɯnɤŋkɯŋke ɕti ma ɯʁar ra maŋe	tɕe nɯnɯ nɤkinɯ ɯthoʁ tukɯnɤŋkɯŋke ɕti ma aʁar ra maŋe
ɯnɯnɯ nɯmbɯt ɯqhu qhe tɕe	ɯnɯnɯnɯmbɯt ɯqhu qhe tɕe
tɤjmɤɣ ci ŋu tɕe nɯnɯ mbraʑɯm nɯnɯ stɤmku ri tuɬoʁ ŋu	tɤjmɤɣ ci ŋu tɕe mbraʑɯm nɯnɯ stɤmku ri tuɬoʁ ŋu
tɯrme nɯsɤŋonɯ kɯnɤ nɯsɯm ɲɯɣɤβdi kɯfse	tɯrme ra nɯsɤŋonɯ kɯnɤ nɯsɯm ɲɯɣɤβdi kɯfse
qartshaz kɤti ci tu	qartshɤz kɤti ci tu
lɯlu sɤz tɕe ɲɯwxti khɯna sthɯci tɕe mɯ́jwxti jamar ci ɲɯŋu khi	nɯlu sɤz tɕe ɲɯwxti khɯna sthɯci ʑo mɯ́jwxti jamar ci ɲɯŋuki
kutɕu chɯkɯnɯkhɤlɤmdzɯdzɯ tɕe	kutɕu chɯkɯnɤkhɤlɤmdzɯmdzɯ tɕe
ɯrna nɯra tshɤt ɣɯ ɲɯfse ri	ɯrna nɯra tshɤt ɣɯ ɲɯfse ri
tɕendɤre kɯm lutɯcɯ ʑo tɕe	tɕendɤre ɯkɯm lutɯci ʑo tɕe
tɕetha aɣe thɯɣe tɕe nɯrge ma andi ra ata	tɕe tha aɣe thɯɣe tɕe nɯrge ma andi ra ata
iɕqha si ɣɯ ɯmbro nɯkɤβzu nɯ kɤnɯqambɯmbjom kɯspa 	iɕqha si ɣɯ ɯmbro nɯkɤβzu nɯ kɤnɯqambɯmbjom kɯspa
túwɣfkur ʁɟa ʑo ra ma kɯɕɯŋgɯ mkhɯrlu kɯfse ra pɯkɯtu me	túwɣfkur ʁɟa ʑo ra ma kɯɕɯŋgɯ mkhrɯlu kɯfse ra pɯkɯtu me
ɯrkɯ nɯtɕu si ɯsno ci ata tɕe	ɯrkɯ nɯ tɕu si ɯsno ciata tɕe
aʑo nɤkinɯ kɤ kɤnɯndʐɯnbu jɤɬoʁa toti ɲɯŋu	aʑo nɤkinɯ kɯnɯndʐɯnmbu jɤɬoʁa toti
tɕendɤre tɤrɤŋgatndʑi tɕe tɕendɤre 	tɕendɤre torɤŋgandʑi tɕe tɕendɤre
tɕendɤre ɕɤrpɣa nɯ tɕe jonɯɕe	tɕendɤre ɕɤrpɣa nɯ tɕe jonɯɕe
pjɤtɕɤt tɕendɤre tɯthɯ ɯŋgɯ kolɤt tɕendɤre tosɤla	pjɤtɕɤt tɕendɤre tɯthɯ ɯŋgɯ kolɤt tɕendɤre tosɤla
tɕeri nɯ kɯnɤ kɯphɤn pjɤme ma kɤmto mu pjɤme	tɕeri nɯ kɯnɤ kɯphɤn pjɤme maka fto kɯtu rmu pjɤme
tɕe ɯmtɕhi ɲɯɲaʁ ma ɯro nɯra ɲɯɣɯrni tɕe mtɕhiɲaʁ mtɕhinaʁ tutinɯ ŋgrɤl 	tɕe ɯmtɕhi ɲɯɲaʁ ma ɯro nɯra ɲɯɣɯrni tɕe mtɕhɯɲaʁ mtɕhɯnaʁ tutinɯ ŋgrɤl
tɕe alading kɯ maka ʑo mɯɲɤnɯsɯmŋɤm qhe 	tɕe alading kɯ maka ʑo mɯɲɤnɯsɯmŋɤn kɯ qhe
tɕe nɯ jamar tɕe tɤŋe nɯnɯ kɯɕqhlɤt torɤŋg pjɤɕqhlɤt	tɕe nɯ jamar tɕe tɤŋe nɯnɯ kɯɕqhlɤt torɤŋ wo pjɤɕqhlɤt
mɯɲɯɤlɯlju kɯ nɤki ɲɯfse	mɯɲɤlɯlju kɯ nɤki ɲɯfse
tɤmthɯm ʁɟa ʑo ma nɯ ma nɤki	tɤmthɯm ʁɟa ʑo ma nɯ ma nɤki
nɯnɯ nɤki hengsheer ɣɯ ɯjaʁndzu ɲɯŋu ɲɯsɯsɤm tɕe 	nɯnɯ nɤki χengsho ɣɯ ɯjaʁndzu ɲɯŋu ɲɯsɯsɤm tɕe
tsuku tɕe tɕe tɯɟom kɯnɤ tuzri mɯ́jcha  tɯʁar jamar 	tsuku tɕe tɕe tɯɟom kɯnɤ tuzri mɯ́jcha taʁar jamar
tɕendɤre tɕheme nɯ kɯ rɤɣo ɯkɯspa si ɣɯ ɯrtaʁ nɯnɯ  nɯhuayuan ɯŋgɯ nɯtɕu nɯmɯntoʁ ɯsɤji nɯnɯtɕu 	nɯra pamtshɤmnɯ tɕu joɣinɯ
tɕendɤre iɕqha rɟɤmtshu nɯ jopjɤlnɯ tɕe 	tɕendɤre iɕqha rɟɤmtshu nɯ jopjɤl nɯ
iɕqha nɯ kupa ɣɯ nɤki tɕhaŋkha nɯ tɕe fse wo	iɕqha nɯ kupa ɣɯ nɤki tɕhoŋkha nɯ tse ɯfse wo
nɯ kɯnɤ sla me tɕe ɲɯra	nɯ kɯnɤ sla me tɕe ɲɯra
nɯ kɯnɤ nɯkɯsɤmtshi ɣɤʑu	nɯ kɯnɤ nɯkɯsɤmtshi ɣɤʑu
iɕqha kha ɣɯ pɯwɯ nɯnɯ tɕe ɯkɯnɯβdaʁ ɣɤʑu tɕe nɯnɯ kɤndza mɯpjɤnɤz	iɕqha kha ɣɯ pɯwɯ nɯnɯ tɕe ɯkɯnɯβdaʁ ɣɤʑu tɕe nɯnɯ kɤndza mɯpjɤnɤz
tɕe nɯ hanɯni mɤnaχtɕɯɣ	tɕe nɯ hanɯni mɤnaχtɕɯɣ
tutɯ tɤtɯta ŋu tɕe	tɤtɯta ŋu tɕe
tɕendɤre praʁ ra jɤsɯpjɤl tɕe nɤkinɯ	tɕendɤre praʁ ra jɤsɯpjɤl tɕe nɤkinɯ
tɕendɤre nɤkinɯ kɯlɤɣ tɤpɤtso nɯ ɯsɯmpa tɕe masɤrɯrju ɲɯnɤre pjɤŋu	tɕendɤre nɤkinɯ kɯlɤɣ tɤpɤtso nɯ ɯsɯmpa tɕe masɤrɯrju ɲɯnɤre pjɤŋu
ma nɯnɯ ɟɤwɤt ŋu	ma nɯnɯ ɟɤwɤtn ŋu
ɯnɯnɯ tɕe tɕe qambalɯla nɯ fanzheng qajɯ ci ndɤre ɕti	ɯnɯnɯ tɕe tɕe qambalɯla nɯ fa ntsɯ qajɯ ci ndɤre ɕti
tɕe nɯ qapar nɯnɯ li wuma ʑo kɯŋɤn tɕe	tɕe nɯ qapar nɯnɯ li wuma ʑo kɯŋɤn tɕe
ʑɯmkhɤm ɯku sɤtɕha kɯkukɯrɤʑi ra nɯ ɯŋgɯz tɕe stu kɯmɤɕi stu kɯχɕu nɯra ɲɯŋu toti	ʁʑɯŋkhɤm k kɯki sɤtɕha ɯkɯ kukɯrɤʑiɯ ra nɯ ɯŋgɯɯ tɕe stu kɯmɤɕi stu kɯχɕu nɯra ɲɯŋu toti
qhe langfei ɲɯsɯxɕe ɕti ɣɯβde ra ma	qhe nɯ langfei ɲɯsɯxɕe ɕti ɣɯβde ra ma
tɕe nɯnɯ nɤkinɯ kɯpɤz nɯnɯ nɯnɯ tuste tɕe iʑora	tɕe nɯnɯ nɤkinɯ kɯpɤz nɯnɯ nɯnɯ tuste tɕe iʑora
tɕendɤre iɕqha nɯ nɯ kɤntɕhaʁ ɯŋgɯ tɯrme nɯra kɯ nɤki nɯnɯ pjɤ ɲɯsɤfɕɤranɯ pjɤŋu nɯ wuma ʑo ɲɯmpɕɤr khi nɯra tutinɯ pjɤŋu	tɕendɤre iɕqha nɯ nɯnɯ kɤtɕhaʁ ɯŋgɯ tɯrme nɯra kɯ nɤki nɯnɯ ɲɯsɤfɕaranɯ pjɤŋu nɯ wuma ʑo ɲɯmpɕɤrkhi nɯra tutinɯ pjɤŋu
tɕe tɯrme khɯkhro kɯ ʑo ɣɯtorɤtshɤtnɯ tɕe	tɕe tɯrme khɯkhro kɯ ʑo ɣɯtorɤtshɤtnɯ tɕe
kɯnɯɕɯʁjɯ manɯtɯnɯɕɯʁjɯ 	tɕekɯnɯɕɯʁjɯ mɤnɯtɯnɯɕɯʁjɯ
tɕendɤre nɯnɯ tɤrpi tɯɣjɤn nɯra ɲɤsɯβzunɯ pjɤ pjɤra khi ma	tɕendɤre nɯnɯ tɤrpi tɯɣjɤn nɯra ɲɤsɯβzunɯ pjɤpjɤra khi ma
nɯnɯ jla nɯra doŋtsi tutinɯ rɟandzi tutinɯ	nɯnɯ jla nɯra mdoŋtsi trɟandzi tutinɯ ŋɯ
ʑɤni kɯnɤ chɤrɤrɟitndʑi ndʑirɟit nɯra chɤrɤrɟitnɯ	ʑɤni kɯnɤ chɤrɤrɟɯtndʑindʑirɟit nɯra chɤrɤrɟitnɯ
tɕhi xtsɤrtɯm tutinɯ cho naχtɕɯɣ	tɕhe xtsɤrtɯm tutiɯ nɤ chonaχtɕɯɣ
kha kɯɕnɤrtsɤɣ kɯrcɤxtsɤɣ jamar kɯmbro tuβze ɲɯcha ri	kha kɯɕnɤrtsɤɣ kɯscɤxtsɤɣ jamar kɯmbro kɯfse tuβze ɲɯcha ri
ma tɕe nɯ kúwɣsɤlɤɣɯ ndɤre mɯpɯ́wɣrɲo	matɕe nɯkɯ skuwɣsɤlɤɣɯt ndɤre mɯpúwɣrɲo
nɯ ra ci nɯ kɯ jɤ́wɣtsɯm ɯkhɯkha rɤɣo ra chɯnɯβze pjɤŋu 	nɯra ci nɯ kɯ jɤ́wɣtsɯm ɯkhɯkha rɤɣo ra chɯnɯβze pjɤŋu
tɕe tɤŋkhɯt jamar kɯtu tu nɯ sthɯci kɯme tu	tɕe tɤŋkhɯt jamar kɯtu tu nɯsthɯci kɯme tu
ɯmdoʁ nɯnɯ kɯɲaʁ tu kɯɤrɯldʑaŋkɯ tu kɯqarŋɯrŋe tu	zdɯmqe nɯ ɯmdoʁ nɯnɯ kɯɲaʁ tu kɯɤrɯldʑɤmkɯ tu kɯɤqarŋɯrŋe tu
