tɕe	t ɕ e
jɤ́wɣsɯɣɯta	j ɤ ́ w ɣ s ɯ ɣ ɯ t a
jɤβɟi	j ɤ β ɟ i
jɯfɕɯɕɤr	j ɯ f ɕ ɯ ɕ ɤ r
jɯjɤkɯɣe	j ɯ j ɤ k ɯ ɣ e
kanaʁ	k a n a ʁ
kando	k a n d o
kanɤzda	k a n ɤ z d a
kaspa	k a s p a
kaβzjoz	k a β z j o z
keting	k e t i n g
kexue	k e x u e
khimɤɕom	k h i m ɤ ɕ o m
khipatsɯt	k h i p a t s ɯ t
khrakhra	k h r a k h r a
khrambaχtɯχtɤm	k h r a m b a χ t ɯ χ t ɤ m
khɤjlɤn	k h ɤ j l ɤ n
khɤpɤte	k h ɤ p ɤ t e
khɤpɯ	k h ɤ p ɯ
khɤwɯ	k h ɤ w ɯ
khɯsloŋ	k h ɯ s l o ŋ
kokɤmdzɯ	k o k ɤ m d z ɯ
kokɤnɯmdzɯci	k o k ɤ n ɯ m d z ɯ c i
komtɕɯr	k o m t ɕ ɯ r
konaχto	k o n a χ t o
kondondʑi	k o n d o n d ʑ i
konɤkharnɯ	k o n ɤ k h a r n ɯ
konɯmdar	k o n ɯ m d a r
konɯmɲɯɣ	k o n ɯ m ɲ ɯ ɣ
konɯtso	k o n ɯ t s o
konɯɕe	k o n ɯ ɕ e
konɯʑɯβnɯ	k o n ɯ ʑ ɯ β n ɯ
kopandʑi	k o p a n d ʑ i
korɟɯrɟɯɣ	k o r ɟ ɯ r ɟ ɯ ɣ
korɟɯɣ	k o r ɟ ɯ ɣ
korɤɕinɯ	k o r ɤ ɕ i n ɯ
kosɤnbaʁ	k o s ɤ n b a ʁ
kosɤwij	k o s ɤ w i j
kosɤŋo	k o s ɤ ŋ o
kosɯβzu	k o s ɯ β z u
kosɯβzunɯ	k o s ɯ β z u n ɯ
kotsondʑi	k o t s o n d ʑ i
koutibing	k o u t i b i n g
kowa	k o w a
kozrɯru	k o z r ɯ r u
koŋ	k o ŋ
koŋtaʁ	k o ŋ t a ʁ
koɣɯtnɯ	k o ɣ ɯ t n ɯ
kówɣndʑɯ	k o ́ w ɣ n d ʑ ɯ
kówɣβɟi	k o ́ w ɣ β ɟ i
koβraʁnɯ	k o β r a ʁ n ɯ
krɤɕircit	k r ɤ ɕ i r c i t
kufskɤrnɯ	k u f s k ɤ r n ɯ
kukukuku	k u k u k u k u
kukɤnɯχsu	k u k ɤ n ɯ χ s u
kukɯndo	k u k ɯ n d o
kukɯtshi	k u k ɯ t s h i
kukɯtshoʁ	k u k ɯ t s h o ʁ
kukɯɕe	k u k ɯ ɕ e
kukɯɤnɯmdzɯ	k u k ɯ ɤ n ɯ m d z ɯ
kume	k u m e
kumphɯr	k u m p h ɯ r
kumphɯrnɯ	k u m p h ɯ r n ɯ
kumpɣɤŋgɯm	k u m p ɣ ɤ ŋ g ɯ m
kumtsaʁ	k u m t s a ʁ
kunaχthɤβnɯ	k u n a χ t h ɤ β n ɯ
kunaχtɤm	k u n a χ t ɤ m
kundoj	k u n d o j
kuntɕhɤr	k u n t ɕ h ɤ r
kunɤmɲɤm	k u n ɤ m ɲ ɤ m
kunɯlɤtnɯ	k u n ɯ l ɤ t n ɯ
kunɯmganɯ	k u n ɯ m g a n ɯ
kunɯmge	k u n ɯ m g e
kunɯni	k u n ɯ n i
kunɯqambɯmbjom	k u n ɯ q a m b ɯ m b j o m
kunɯrŋgɯa	k u n ɯ r ŋ g ɯ a
kunɯsqanɯ	k u n ɯ s q a n ɯ
kunɯʑɯβa	k u n ɯ ʑ ɯ β a
kuomdzɯnɯ	k u o m d z ɯ n ɯ
kuonbaʁa	k u o n b a ʁ a
kuonɯmdzɯnɯ	k u o n ɯ m d z ɯ n ɯ
kuortɯrtɤβ	k u o r t ɯ r t ɤ β
kuoʑɯrja	k u o ʑ ɯ r j a
kupandʑi	k u p a n d ʑ i
kuphɯtnɯ	k u p h ɯ t n ɯ
kuria	k u r i a
kurma	k u r m a
kurtoʁanɯ	k u r t o ʁ a n ɯ
kurtɤβ	k u r t ɤ β
kurŋgɯa	k u r ŋ g ɯ a
kurɤloʁndʑi	k u r ɤ l o ʁ n d ʑ i
kurɤʑij	k u r ɤ ʑ i j
kurɤʑiti	k u r ɤ ʑ i t i
kurɤʑitɕi	k u r ɤ ʑ i t ɕ i
kusmi	k u s m i
kusphjaʁ	k u s p h j a ʁ
kusɤjtɯnɯ	k u s ɤ j t ɯ n ɯ
kusɤŋama	k u s ɤ ŋ a m a
kusɤɕkenɯ	k u s ɤ ɕ k e n ɯ
kusɯlata	k u s ɯ l a t a
kusɯsama	k u s ɯ s a m a
kusɯxtsama	k u s ɯ x t s a m a
kutsɯm	k u t s ɯ m
kutɯndɤm	k u t ɯ n d ɤ m
kutɯɤmdzɯ	k u t ɯ ɤ m d z ɯ
kutʂɯβ	k u t ʂ ɯ β
kuxtɕɤri	k u x t ɕ ɤ r i
kuznɤmɲɤm	k u z n ɤ m ɲ ɤ m
kuzɣɯta	k u z ɣ ɯ t a
kuŋgɤɣ	k u ŋ g ɤ ɣ
kuɕkɯt	k u ɕ k ɯ t
kuɕqhlɤt	k u ɕ q h l ɤ t
kuɣinɯ	k u ɣ i n ɯ
kuɣle	k u ɣ l e
kuʑe	k u ʑ e
kúwɣfstɯn	k u ́ w ɣ f s t ɯ n
kúwɣnɤmɯma	k u ́ w ɣ n ɤ m ɯ m a
kúwɣnɯnɯ	k u ́ w ɣ n ɯ n ɯ
kúwɣnɯtshi	k u ́ w ɣ n ɯ t s h i
kúwɣtʂɯβ	k u ́ w ɣ t ʂ ɯ β
kúwɣɲɟoʁ	k u ́ w ɣ ɲ ɟ o ʁ
kuχpjɤtnɯ	k u χ p j ɤ t n ɯ
kuχse	k u χ s e
kɤarmbata	k ɤ a r m b a t a
kɤazɣɯtndʑi	k ɤ a z ɣ ɯ t n d ʑ i
kɤcu	k ɤ c u
kɤfsɯɣ	k ɤ f s ɯ ɣ
kɤja	k ɤ j a
kɤkho	k ɤ k h o
kɤkhra	k ɤ k h r a
kɤkɤxtɕɤr	k ɤ k ɤ x t ɕ ɤ r
kɤkɤβzu	k ɤ k ɤ β z u
kɤkɯndzoʁ	k ɤ k ɯ n d z o ʁ
kɤkɯnɯʑɯβ	k ɤ k ɯ n ɯ ʑ ɯ β
kɤkɯsmi	k ɤ k ɯ s m i
kɤkɯspoʁ	k ɤ k ɯ s p o ʁ
kɤkɯtso	k ɤ k ɯ t s o
kɤkɯɣe	k ɤ k ɯ ɣ e
kɤmqlaʁ	k ɤ m q l a ʁ
kɤmtsɯɣ	k ɤ m t s ɯ ɣ
kɤmtɕɯr	k ɤ m t ɕ ɯ r
kɤmŋɤm	k ɤ m ŋ ɤ m
kɤmɯnmu	k ɤ m ɯ n m u
kɤmɯrkɯ	k ɤ m ɯ r k ɯ
kɤndɯn	k ɤ n d ɯ n
kɤndʑɯmɤtsa	k ɤ n d ʑ ɯ m ɤ t s a
kɤndʑɯtɕhemɤχti	k ɤ n d ʑ ɯ t ɕ h e m ɤ χ t i
kɤntshi	k ɤ n t s h i
kɤntɕhɯrzɯɣ	k ɤ n t ɕ h ɯ r z ɯ ɣ
kɤntɕhɯtɯphɯ	k ɤ n t ɕ h ɯ t ɯ p h ɯ
kɤnɤjoʁjoʁ	k ɤ n ɤ j o ʁ j o ʁ
kɤnɤmɲo	k ɤ n ɤ m ɲ o
kɤnɤndɯt	k ɤ n ɤ n d ɯ t
kɤnɤqhɤwɯr	k ɤ n ɤ q h ɤ w ɯ r
kɤnɤxɕɤt	k ɤ n ɤ x ɕ ɤ t
kɤnɤŋkɯŋke	k ɤ n ɤ ŋ k ɯ ŋ k e
kɤnɤɕqa	k ɤ n ɤ ɕ q a
kɤnɤʑɤmŋɤn	k ɤ n ɤ ʑ ɤ m ŋ ɤ n
kɤnɯkhamu	k ɤ n ɯ k h a m u
kɤnɯmɟa	k ɤ n ɯ m ɟ a
kɤnɯntsɣe	k ɤ n ɯ n t s ɣ e
kɤnɯpa	k ɤ n ɯ p a
kɤnɯrga	k ɤ n ɯ r g a
kɤnɯskhrɯta	k ɤ n ɯ s k h r ɯ t a
kɤnɯsmɤn	k ɤ n ɯ s m ɤ n
kɤnɯta	k ɤ n ɯ t a
kɤnɯtsɯ	k ɤ n ɯ t s ɯ
kɤnɯtɕɤt	k ɤ n ɯ t ɕ ɤ t
kɤnɯɕɤmɯɣdɯ	k ɤ n ɯ ɕ ɤ m ɯ ɣ d ɯ
kɤnɯɣea	k ɤ n ɯ ɣ e a
kɤphaʁ	k ɤ p h a ʁ
kɤrqoʁ	k ɤ r q o ʁ
kɤrtoʁnɯ	k ɤ r t o ʁ n ɯ
kɤrɤntɕha	k ɤ r ɤ n t ɕ h a
kɤrɤβraʁ	k ɤ r ɤ β r a ʁ
kɤrɯndzɤtshi	k ɤ r ɯ n d z ɤ t s h i
kɤrɲɟi	k ɤ r ɲ ɟ i
kɤsthɯt	k ɤ s t h ɯ t
kɤsɤjtɯ	k ɤ s ɤ j t ɯ
kɤsɤtʂoʁloʁ	k ɤ s ɤ t ʂ o ʁ l o ʁ
kɤsɤβzu	k ɤ s ɤ β z u
kɤsɯphɯt	k ɤ s ɯ p h ɯ t
kɤsɯta	k ɤ s ɯ t a
kɤsɯtɕɤt	k ɤ s ɯ t ɕ ɤ t
kɤsɯɣe	k ɤ s ɯ ɣ e
kɤsɯχsɤl	k ɤ s ɯ χ s ɤ l
kɤthɯɣ	k ɤ t h ɯ ɣ
kɤtshita	k ɤ t s h i t a
kɤtsoa	k ɤ t s o a
kɤtsɯm	k ɤ t s ɯ m
kɤtɤβ	k ɤ t ɤ β
kɤtɯɣ	k ɤ t ɯ ɣ
kɤznɯkhrɯm	k ɤ z n ɯ k h r ɯ m
kɤznɯsmɤn	k ɤ z n ɯ s m ɤ n
kɤzo	k ɤ z o
kɤzrɯɕmi	k ɤ z r ɯ ɕ m i
kɤzɣɯt	k ɤ z ɣ ɯ t
kɤŋgɤxtsa	k ɤ ŋ g ɤ x t s a
kɤɕkɯt	k ɤ ɕ k ɯ t
kɤɕtʂo	k ɤ ɕ t ʂ o
kɤɕɯftaʁ	k ɤ ɕ ɯ f t a ʁ
kɤɕɯnŋo	k ɤ ɕ ɯ n ŋ o
kɤɣɤjqaʁ	k ɤ ɣ ɤ j q a ʁ
kɤɣɯjru	k ɤ ɣ ɯ j r u
kɤɤnbaʁ	k ɤ ɤ n b a ʁ
kɤɴqoʁnɯ	k ɤ ɴ q o ʁ n ɯ
kɤʁdɯɣ	k ɤ ʁ d ɯ ɣ
kɤ́rmɯrme	k ɤ ́ r m ɯ r m e
kɤ́rɟɯrɟit	k ɤ ́ r ɟ ɯ r ɟ i t
kɤ́rɯri	k ɤ ́ r ɯ r i
kɤ́wɣnɯrpu	k ɤ ́ w ɣ n ɯ r p u
kɤ́wɣnɯsqa	k ɤ ́ w ɣ n ɯ s q a
kɤβlɯ	k ɤ β l ɯ
kɤβraʁ	k ɤ β r a ʁ
kɤχɕoʁ	k ɤ χ ɕ o ʁ
kɯarqhi	k ɯ a r q h i
kɯchu	k ɯ c h u
kɯfka	k ɯ f k a
kɯfkrɯz	k ɯ f k r ɯ z
kɯju	k ɯ j u
kɯkaβ	k ɯ k a β
kɯkɯfse	k ɯ k ɯ f s e
kɯkɯmaʁ	k ɯ k ɯ m a ʁ
kɯkɯmpɕɤr	k ɯ k ɯ m p ɕ ɤ r
kɯkɯmɯm	k ɯ k ɯ m ɯ m
kɯkɯpe	k ɯ k ɯ p e
kɯkɯreri	k ɯ k ɯ r e r i
kɯmaŋlo	k ɯ m a ŋ l o
kɯmbrɤt	k ɯ m b r ɤ t
kɯmbɯmbat	k ɯ m b ɯ m b a t
kɯmbɯmbe	k ɯ m b ɯ m b e
kɯmdoʁmdi	k ɯ m d o ʁ m d i
kɯmdzɤz	k ɯ m d z ɤ z
kɯmdʑɤl	k ɯ m d ʑ ɤ l
kɯmkɕi	k ɯ m k ɕ i
kɯmnɤm	k ɯ m n ɤ m
kɯmpɯmnu	k ɯ m p ɯ m n u
kɯmtshɯmtshɤt	k ɯ m t s h ɯ m t s h ɤ t
kɯmŋuri	k ɯ m ŋ u r i
kɯmŋurtsɤɣ	k ɯ m ŋ u r t s ɤ ɣ
kɯmŋuspra	k ɯ m ŋ u s p r a
kɯmŋusŋi	k ɯ m ŋ u s ŋ i
kɯmŋuxpa	k ɯ m ŋ u x p a
kɯmŋɤrtsɤɣ	k ɯ m ŋ ɤ r t s ɤ ɣ
kɯmɤrʑaβ	k ɯ m ɤ r ʑ a β
kɯndo	k ɯ n d o
kɯnga	k ɯ n g a
kɯngɯpɤrme	k ɯ n g ɯ p ɤ r m e
kɯngɯsla	k ɯ n g ɯ s l a
kɯnŋo	k ɯ n ŋ o
kɯnɤme	k ɯ n ɤ m e
kɯnɤmqe	k ɯ n ɤ m q e
kɯnɤmɲole	k ɯ n ɤ m ɲ o l e
kɯnɤrkɯrko	k ɯ n ɤ r k ɯ r k o
kɯnɤsɤɣdɯɣ	k ɯ n ɤ s ɤ ɣ d ɯ ɣ
kɯnɯkho	k ɯ n ɯ k h o
kɯnɯphɯ	k ɯ n ɯ p h ɯ
kɯnɯrlɤn	k ɯ n ɯ r l ɤ n
kɯnɯsɯmɯzdɯɣ	k ɯ n ɯ s ɯ m ɯ z d ɯ ɣ
kɯnɯzdɯɣa	k ɯ n ɯ z d ɯ ɣ a
kɯnɯɬoʁ	k ɯ n ɯ ɬ o ʁ
kɯrcɤpɤrme	k ɯ r c ɤ p ɤ r m e
kɯrkaŋ	k ɯ r k a ŋ
kɯrkɯrkɯn	k ɯ r k ɯ r k ɯ n
kɯru	k ɯ r u
kɯrɟɯrɟum	k ɯ r ɟ ɯ r ɟ u m
kɯrɤfcɤr	k ɯ r ɤ f c ɤ r
kɯrɤntɕha	k ɯ r ɤ n t ɕ h a
kɯrɤɕtʂat	k ɯ r ɤ ɕ t ʂ a t
kɯrɯpjɤβlaʁ	k ɯ r ɯ p j ɤ β l a ʁ
kɯrɯɕmi	k ɯ r ɯ ɕ m i
kɯrɯɣ	k ɯ r ɯ ɣ
kɯrɲɯɣrɲɟi	k ɯ r ɲ ɯ ɣ r ɲ ɟ i
kɯrʁɯrʁom	k ɯ r ʁ ɯ r ʁ o m
kɯsata	k ɯ s a t a
kɯsaʁre	k ɯ s a ʁ r e
kɯsaχaʁ	k ɯ s a χ a ʁ
kɯschi	k ɯ s c h i
kɯscɯscit	k ɯ s c ɯ s c i t
kɯsnɯsna	k ɯ s n ɯ s n a
kɯsɤmtsɯɣ	k ɯ s ɤ m t s ɯ ɣ
kɯsɤndza	k ɯ s ɤ n d z a
kɯsɤnɯβlu	k ɯ s ɤ n ɯ β l u
kɯsɤre	k ɯ s ɤ r e
kɯsɤrga	k ɯ s ɤ r g a
kɯsɤzdɯxpa	k ɯ s ɤ z d ɯ x p a
kɯsɤzdɯɣpa	k ɯ s ɤ z d ɯ ɣ p a
kɯsɤŋo	k ɯ s ɤ ŋ o
kɯsɯɣe	k ɯ s ɯ ɣ e
kɯti	k ɯ t i
kɯtshi	k ɯ t s h i
kɯtɕɯmke	k ɯ t ɕ ɯ m k e
kɯtɕɯtɕɤr	k ɯ t ɕ ɯ t ɕ ɤ r
kɯtɯtaʁ	k ɯ t ɯ t a ʁ
kɯtʂɤsŋi	k ɯ t ʂ ɤ s ŋ i
kɯxtɕhɯt	k ɯ x t ɕ h ɯ t
kɯŋɯŋɤn	k ɯ ŋ ɯ ŋ ɤ n
kɯɕnom	k ɯ ɕ n o m
kɯɕqhlɤt	k ɯ ɕ q h l ɤ t
kɯɕte	k ɯ ɕ t e
kɯɕɯŋgɯŋgɯ	k ɯ ɕ ɯ ŋ g ɯ ŋ g ɯ
kɯɕɯŋɡɯ	k ɯ ɕ ɯ ŋ ɡ ɯ
kɯɣɤmna	k ɯ ɣ ɤ m n a
kɯɣɤndʐɯndʐo	k ɯ ɣ ɤ n d ʐ ɯ n d ʐ o
kɯɣɤrʁe	k ɯ ɣ ɤ r ʁ e
kɯɣɤɕqali	k ɯ ɣ ɤ ɕ q a l i
kɯɣɤʁraʁ	k ɯ ɣ ɤ ʁ r a ʁ
kɯɣɯrnɯɕɯr	k ɯ ɣ ɯ r n ɯ ɕ ɯ r
kɯɤfsɯjɯja	k ɯ ɤ f s ɯ j ɯ j a
kɯɤmgri	k ɯ ɤ m g r i
kɯɤmɯrqhɯrqhi	k ɯ ɤ m ɯ r q h ɯ r q h i
kɯɤntɤm	k ɯ ɤ n t ɤ m
kɯɤntɯntɤm	k ɯ ɤ n t ɯ n t ɤ m
kɯɤrku	k ɯ ɤ r k u
kɯɤrɯjɤrɯrɤβ	k ɯ ɤ r ɯ j ɤ r ɯ r ɤ β
kɯɤscaʁa	k ɯ ɤ s c a ʁ a
kɯɤskɯ	k ɯ ɤ s k ɯ
kɯɤsɯndo	k ɯ ɤ s ɯ n d o
kɯɤsɯɣ	k ɯ ɤ s ɯ ɣ
kɯɤɣɯnɯɕɯr	k ɯ ɤ ɣ ɯ n ɯ ɕ ɯ r
kɯɤɣɯŋgɯŋgɯ	k ɯ ɤ ɣ ɯ ŋ g ɯ ŋ g ɯ
kɯɤχsɯko	k ɯ ɤ χ s ɯ k o
kɯɲidi	k ɯ ɲ i d i
kɯɴqɯɴqa	k ɯ ɴ q ɯ ɴ q a
kɯʁjɤr	k ɯ ʁ j ɤ r
kɯʁndɯ	k ɯ ʁ n d ɯ
kɯʑɣɤmgɯ	k ɯ ʑ ɣ ɤ m g ɯ
kɯʑɣɤpa	k ɯ ʑ ɣ ɤ p a
kɯβderzɯɣ	k ɯ β d e r z ɯ ɣ
kɯβdesqaptɯɣ	k ɯ β d e s q a p t ɯ ɣ
kɯβdetɯrpa	k ɯ β d e t ɯ r p a
kɯβdɤɣjɤn	k ɯ β d ɤ ɣ j ɤ n
kɯχsɤl	k ɯ χ s ɤ l
lalɣanɯ	l a l ɣ a n ɯ
laoer	l a o e r
laʁdʐɯɣ	l a ʁ d ʐ ɯ ɣ
laʁnɯxpa	l a ʁ n ɯ x p a
laβzu	l a β z u
laχdɯn	l a χ d ɯ n
liangceng	l i a n g c e n g
liangjin	l i a n g j i n
liangqian	l i a n g q i a n
liuyue	l i u y u e
liuyuefen	l i u y u e f e n
locɯ	l o c ɯ
lomaŋlo	l o m a ŋ l o
lomɯrkɯ	l o m ɯ r k ɯ
lontɕhɤr	l o n t ɕ h ɤ r
lonɯtɕɤtndʑi	l o n ɯ t ɕ ɤ t n d ʑ i
lonɯɕe	l o n ɯ ɕ e
lorŋgɯ	l o r ŋ g ɯ
losthoʁ	l o s t h o ʁ
losɯxɕe	l o s ɯ x ɕ e
lotɕi	l o t ɕ i
lotɕɤtndʑi	l o t ɕ ɤ t n d ʑ i
lowtɕi	l o w t ɕ i
loz	l o z
loŋrta	l o ŋ r t a
loɕqhlɤtnɯ	l o ɕ q h l ɤ t n ɯ
loɣindʑi	l o ɣ i n d ʑ i
loʑa	l o ʑ a
lówɣβde	l o ́ w ɣ β d e
lucɯ	l u c ɯ
luerjiu	l u e r j i u
lukɤmtɕoʁ	l u k ɤ m t ɕ o ʁ
lukɯnɯɬoʁ	l u k ɯ n ɯ ɬ o ʁ
lumaŋlo	l u m a ŋ l o
lumnɤt	l u m n ɤ t
lunɯphaʁɲɤlnɯ	l u n ɯ p h a ʁ ɲ ɤ l n ɯ
lunɯpɣonɯ	l u n ɯ p ɣ o n ɯ
lunɯrtɕhɯɴɢɯɴɢaʁ	l u n ɯ r t ɕ h ɯ ɴ ɢ ɯ ɴ ɢ a ʁ
lunɯtɕɤt	l u n ɯ t ɕ ɤ t
luomtɕoʁ	l u o m t ɕ o ʁ
luorɕo	l u o r ɕ o
luoɣɯrʑɯrʑɯɣ	l u o ɣ ɯ r ʑ ɯ r ʑ ɯ ɣ
lurɲɟi	l u r ɲ ɟ i
lusɯɕqhlɤt	l u s ɯ ɕ q h l ɤ t
lutɯɕe	l u t ɯ ɕ e
luzonɯ	l u z o n ɯ
luɕendʑi	l u ɕ e n d ʑ i
luɣinɯ	l u ɣ i n ɯ
luɬoʁ	l u ɬ o ʁ
lúwɣphɯt	l u ́ w ɣ p h ɯ t
lúwɣrku	l u ́ w ɣ r k u
lúwɣsaʁlɤt	l u ́ w ɣ s a ʁ l ɤ t
lúwɣsɤʑɯrja	l u ́ w ɣ s ɤ ʑ ɯ r j a
lúwɣsɯprɤm	l u ́ w ɣ s ɯ p r ɤ m
lúwɣtsɯm	l u ́ w ɣ t s ɯ m
lúwɣtɕɤt	l u ́ w ɣ t ɕ ɤ t
lúwɣɕlu	l u ́ w ɣ ɕ l u
lvdian	l v d i a n
lɤ	l ɤ
lɤari	l ɤ a r i
lɤaria	l ɤ a r i a
lɤcitnɯ	l ɤ c i t n ɯ
lɤcu	l ɤ c u
lɤkɤnɯta	l ɤ k ɤ n ɯ t a
lɤlɤsɯɕkho	l ɤ l ɤ s ɯ ɕ k h o
lɤnɯɬoʁ	l ɤ n ɯ ɬ o ʁ
lɤsɯɣe	l ɤ s ɯ ɣ e
lɤtɕhom	l ɤ t ɕ h o m
lɤɣenɯ	l ɤ ɣ e n ɯ
lɤɣi	l ɤ ɣ i
lɤ́wɣlɤt	l ɤ ́ w ɣ l ɤ t
lɤβdelɤŋuldʑa	l ɤ β d e l ɤ ŋ u l d ʑ a
lɯla	l ɯ l a
lʁɯba	l ʁ ɯ b a
macha	m a c h a
makɤtɯtshi	m a k ɤ t ɯ t s h i
malache	m a l a c h e
manyi	m a n y i
manɯtɯnɯzdɯɣ	m a n ɯ t ɯ n ɯ z d ɯ ɣ
manɯtɯte	m a n ɯ t ɯ t e
mathɯtɯlɤt	m a t h ɯ t ɯ l ɤ t
mathɯtɯɕe	m a t h ɯ t ɯ ɕ e
matɤkɯndzaa	m a t ɤ k ɯ n d z a a
matɤtɯste	m a t ɤ t ɯ s t e
matɤ́wɣndza	m a t ɤ ́ w ɣ n d z a
mayi	m a y i
maʁtɕɯ	m a ʁ t ɕ ɯ
mbrɤsɤm	m b r ɤ s ɤ m
mbuz	m b u z
mbɣɯrloʁ	m b ɣ ɯ r l o ʁ
mchɯnrɤβ	m c h ɯ n r ɤ β
mdzukɤr	m d z u k ɤ r
mdzɯt	m d z ɯ t
mdʐɯɕɯɣ	m d ʐ ɯ ɕ ɯ ɣ
menɯ	m e n ɯ
mgara	m g a r a
minban	m i n b a n
mphrɯli	m p h r ɯ l i
mphɯli	m p h ɯ l i
mtama	m t a m a
mthɯxtɕɤr	m t h ɯ x t ɕ ɤ r
mtɤm	m t ɤ m
mushi	m u s h i
muwa	m u w a
mɤarŋi	m ɤ a r ŋ i
mɤarɤt	m ɤ a r ɤ t
mɤaɣɯxɕɤt	m ɤ a ɣ ɯ x ɕ ɤ t
mɤchanɯ	m ɤ c h a n ɯ
mɤkhama	m ɤ k h a m a
mɤkhea	m ɤ k h e a
mɤkɤti	m ɤ k ɤ t i
mɤkɯ	m ɤ k ɯ
mɤkɯchi	m ɤ k ɯ c h i
mɤkɯftshi	m ɤ k ɯ f t s h i
mɤkɯmto	m ɤ k ɯ m t o
mɤkɯngɯt	m ɤ k ɯ n g ɯ t
mɤkɯnɤmbrɯm	m ɤ k ɯ n ɤ m b r ɯ m
mɤkɯnɯpɤɴqi	m ɤ k ɯ n ɯ p ɤ ɴ q i
mɤkɯnɯxtɕhɤz	m ɤ k ɯ n ɯ x t ɕ h ɤ z
mɤkɯrtaʁ	m ɤ k ɯ r t a ʁ
mɤkɯsaχɕin	m ɤ k ɯ s a χ ɕ i n
mɤkɯsɤɣa	m ɤ k ɯ s ɤ ɣ a
mɤkɯtɯt	m ɤ k ɯ t ɯ t
mɤkɯzɣɯt	m ɤ k ɯ z ɣ ɯ t
mɤkɯɕe	m ɤ k ɯ ɕ e
mɤkɯɤrqhi	m ɤ k ɯ ɤ r q h i
mɤkɯʁdɯɣ	m ɤ k ɯ ʁ d ɯ ɣ
mɤkɯʁnɤt	m ɤ k ɯ ʁ n ɤ t
mɤkɯβzu	m ɤ k ɯ β z u
mɤkɯβɟɤt	m ɤ k ɯ β ɟ ɤ t
mɤkɯχsɤl	m ɤ k ɯ χ s ɤ l
mɤmda	m ɤ m d a
mɤmdzɯt	m ɤ m d z ɯ t
mɤmpɕu	m ɤ m p ɕ u
mɤmtshama	m ɤ m t s h a m a
mɤmŋɤm	m ɤ m ŋ ɤ m
mɤmɤnji	m ɤ m ɤ n j i
mɤnɯfse	m ɤ n ɯ f s e
mɤnɯɣɯmto	m ɤ n ɯ ɣ ɯ m t o
mɤpaχcɤl	m ɤ p a χ c ɤ l
mɤrdom	m ɤ r d o m
mɤrɯndzaŋspanɯ	m ɤ r ɯ n d z a ŋ s p a n ɯ
mɤsaχsɤl	m ɤ s a χ s ɤ l
mɤsaχɕin	m ɤ s a χ ɕ i n
mɤsnaa	m ɤ s n a a
mɤspea	m ɤ s p e a
mɤstua	m ɤ s t u a
mɤsɤpe	m ɤ s ɤ p e
mɤsɤrgɯrga	m ɤ s ɤ r g ɯ r g a
mɤsɤrɯrju	m ɤ s ɤ r ɯ r j u
mɤsɤscit	m ɤ s ɤ s c i t
mɤsɤɣɯɣi	m ɤ s ɤ ɣ ɯ ɣ i
mɤsɯznɯ	m ɤ s ɯ z n ɯ
mɤtanɯsnɯɲaʁ	m ɤ t a n ɯ s n ɯ ɲ a ʁ
mɤtasɯmto	m ɤ t a s ɯ m t o
mɤtata	m ɤ t a t a
mɤti	m ɤ t i
mɤtɯsi	m ɤ t ɯ s i
mɤŋgrɯ	m ɤ ŋ g r ɯ
mɤŋi	m ɤ ŋ i
mɤʑi	m ɤ ʑ i
mɤʑru	m ɤ ʑ r u
mɤ́wɣmto	m ɤ ́ w ɣ m t o
mɤ́wɣrɲo	m ɤ ́ w ɣ r ɲ o
mɤβze	m ɤ β z e
mɯjotɯzmɤkut	m ɯ j o t ɯ z m ɤ k u t
mɯkotso	m ɯ k o t s o
mɯkunɯphɤn	m ɯ k u n ɯ p h ɤ n
mɯkɤqanɯ	m ɯ k ɤ q a n ɯ
mɯlonɤtsoʁndʑi	m ɯ l o n ɤ t s o ʁ n d ʑ i
mɯmɤpɯcha	m ɯ m ɤ p ɯ c h a
mɯmɤpɯchaj	m ɯ m ɤ p ɯ c h a j
mɯmɤɲɯcha	m ɯ m ɤ ɲ ɯ c h a
mɯnɯatɯɣtɕi	m ɯ n ɯ a t ɯ ɣ t ɕ i
mɯnɯɬoʁ	m ɯ n ɯ ɬ o ʁ
mɯnɯʁaʁ	m ɯ n ɯ ʁ a ʁ
mɯpjɤjɣɤt	m ɯ p j ɤ j ɣ ɤ t
mɯpjɤnaχtɕɯɣ	m ɯ p j ɤ n a χ t ɕ ɯ ɣ
mɯpjɤnɤpe	m ɯ p j ɤ n ɤ p e
mɯpjɤnɯβdaʁ	m ɯ p j ɤ n ɯ β d a ʁ
mɯpjɤrɯɕmi	m ɯ p j ɤ r ɯ ɕ m i
mɯpjɤrɯɕmindʑi	m ɯ p j ɤ r ɯ ɕ m i n d ʑ i
mɯpjɤsi	m ɯ p j ɤ s i
mɯpjɤsɯso	m ɯ p j ɤ s ɯ s o
mɯpjɤsɯznɯ	m ɯ p j ɤ s ɯ z n ɯ
mɯpjɤtɕhom	m ɯ p j ɤ t ɕ h o m
mɯpjɤɕaβ	m ɯ p j ɤ ɕ a β
mɯpjɤ́wɣsɯχsɤl	m ɯ p j ɤ ́ w ɣ s ɯ χ s ɤ l
mɯpjɤβzu	m ɯ p j ɤ β z u
mɯpɯkɯcha	m ɯ p ɯ k ɯ c h a
mɯpɯpe	m ɯ p ɯ p e
