Reference,Prediction
ʁwɤ˧qo˧hĩ˧|ɖɯ˧tɑ˧˥|le˧ʁɑ˥ʂe˩|ʂe˧hɯ˧dʑo˧|hæ̃˧qʰv̩˥dʑo˩|tʰi˩˥|njɤ˧|ə˧v̩˧˥|le˧tsʰɯ˩ɲi˩tsɯ˩|mv̩˩|,ʁwɤ˧qo˧ hĩ˧ ɖɯ˧tɑ˧˥ le˧ʁɑ˥ʂe˩ se˧hɯ˩dʑo˩ hæ̃˧qʰv̩˥dʑo˩ tʰi˩˥ njɤ˧ ə˧v̩˧˥ le˥tsʰɯ˩ɲi˩zɤ˩
ĩ˧|næ˩qʰæ˥ʈʂʰe˩,ĩ˧ le˩qʰæ˥ʈʂʰe˩
tʰi˩˥|ə˧ʑi˧ki˥ti˩kv̩˩ze˩mæ˩|tʰi˩˥|ə˧ʑi˧ɳɯ˥|ŋv̩˧|tʰi˧ki˧|,tʰi˩˥ ə˧si˧ki˥tvi˩kv̩˩ze˩mæ˩ tʰi˩˥ ə˧ʑi˧ɳɯ˥ ŋv̩˧ tʰi˧ki˧
õ˧˥|tʰv̩˧qo˧dʑo˧|kʰwɤ˧pʰv̩˧qo˧gɤ˧|pi˧hĩ˧|ʈʂʰɯ˧ne˧ʝi˥|tʰi˧di˩kv̩˩tsɯ˩|ʈʂʰɯ˧ne˧ʝi˥zo˩|gɤ˩ʑi˥|tʰi˧di˩kv̩˩tsɯ˩|,õ tʰv̩˧qo˧dʑo˧ kʰwɤ˧pv̩˧qo˥gɤ˩pi˧ ʈʂʰɯ˧ne˧ʝi˥ tʰi˧di˩kv̩˩tsɯ˩ ʈʂʰɯ˧ne˧ʝi˥zo˩ gɤ˩ʑi˥ tʰi˧di˩kv̩˩tsɯ˩
njæ˧ɻ̍˩|ə˧ʝi˧ʂɯ˥ʝi˩|mo˧ɖʐɤ˥bi˩dʑo˩|mo˧kɤ˩dzi˩ʈʰæ˩ko˩pi˩zo˩|no˧|mo˧kɤ˩si˩dzi˩|ə˧sɯ˥|,njɤ˧ɻæ˩ ə˧ʝi˧ʂɯ˥ʝi˩ mo˧ɖʐɤ˥bi˩dʑo˩ mo˧kɤ˩dʑɯ˩ʈʰæ˩qo˩pi˩zo˩ õ˧mo˧kɤ˩se˩ dzɤ˩ ə˧sɯ˥
tʰi˧tɕɤ˩dʑo˩|tʰi˩˥|ɖɯ˧pʰo˧hĩ˧bv̩˧|ʝi˧qv̩˥|ɖɯ˧ɭɯ˧|mɤ˧dʑo˧zo˧|,tʰi˧tɕɤ˩dʑo˩ tʰi˩˥ ɖɯ˧pʰo˧hĩ˧bv̩˧ ʝi˧qv̩˥ ɖɯ˧ɭɯ˧ mɤ˧dʑo˧zo˩
njæ˧sɯ˩kv̩˩|ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|zo˩no˥|njæ˧sɯ˩kv̩˩|tʰi˧dzi˩hĩ˩tʰv̩˩ʁwɤ˩dʑo˩|zo˩no˥|ɖæ˩mi˧ə˧lɑ˧ʁwɤ˧|pi˧kv̩˩tsɯ˩|mv̩˩|ə˧ʝi˧ʂɯ˥ʝi˩|,njæ˧sɯ˩kv̩˩ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ zo˩no˥ njæ˧sɯ˩kv̩˩ tʰi˩dzi˩hĩ˩tʰv̩˧ʁo˧ dʑo˩ zo˩no˥ ɖæ˩mi˧ ə˧lɑ˧ʁwɤ˧ pi˧kv̩˩tsɯ˩ mv̩˩ ə˧ʝi˧ʂɯ˥ʝi˩
tʰi˩˥|mɤ˧ɖwæ˩|mɤ˧ɖwæ˩|njɤ˧|ə˧v̩˧˥|ɖɯ˩hĩ˩ɳɯ˥|wɤ˩˥|ə˧tso˧ɖwæ˩tso˩dʑo˩|njɤ˧ɳɯ˧|wɤ˩˥|hwæ˧bi˧|pi˧|,tʰi˩˥ mɤ˧ ɖwæ˩mɑ˥ɖwæ˩ njɤ˧ ə˧v̩˧˥ ɖɯ˩ʝi˩ɳɯ˥ wɤ˩˥ ˧tso˧ɖwæ˩so˩dʑo˩ njɤ˧ɳɯ˧ wɤ˩˥ hwæ˧bi˧pi˧
jɤ˧ŋɤ˧ɳɯ˧dʑo˥|əəə…ho˧di˧po˧hɯ˥|,jɤ˧ŋɤ˧ɳɯ˧dʑo˥ əəho˧di˧po˧hɯ˥
əəə…zo˩no˥|si˧kʰɯ˧ɭɯ˧bv̩˥pi˩zo˩|zo˩no˧dʑo˥|tsʰo˧jo˩mv̩˩ʈʂæ˩ɲi˩mæ˩|ə˩gi˩|,əə…zo˩no˥ si˧kʰɯ˧ɭɯ˧bv̩˥ pi˩zo˩ zo˩no˧dʑo˥ tsʰo˧ʝi˩mv̩˩ʈʂæ˩ɲi˩ze˩mæ˩ ə˩gi˩
tʰi˩˥|gi˩˥|dʑo˩|mɤ˧ɲi˩ze˩|õ˧˥|hɤ˩ʈʂɤ˩tso˥|mɤ˧ɲi˩|,tʰi˩˥ gi˩˥ dʑo˩ mɤ˧ɲi˩ze˩ õ˧˥ hɤ˩ʈʂɤ˩tso˥mɤ˧ɲi˩
tʰi˩˥|tʰv̩˧ɲi˧ʑ|ɲi˧ʑi˩ɲi˩tsɯ˩|mv̩˩|ɖɯ˧ʑi˩ɻ̍˩dʑo˩|zo˧ɖɯ˧v̩˧tɕʰi˧|pi˧zo˩|,tʰi˩˥ ʈʂsʰɯ˧ɲi˧ʑi˩ ɲi˧ʑi˩ɲi˩tsɯ˩ mv̩˩ ɖɯ˧ʑi˩ɻ̍˩dʑo˩ zo˧ ɖɯ˧v̩˧tɕʰi˧bi˩ pi˧zo˩
tʰi˩˥|tsʰi˧qʰæ˧˥|dʑo˩|wɤ˩˥|ʈʂo˩bo˩ti˥|mmm…ʈʂwæ˧ʑi˧qʰwɤ˧gv̩˩ɲi˩pi˩|ŋwɤ˧ʈʂwæ˧ʑi˧qʰwɤ˧gv̩˩|,tʰi˩˥ tsʰi˧ʰæ˧˥ dʑo˩ wɤ˩˥ ʈʂo˩bo˩ti˥ mm…ʈʂwæ˧ ʑi˧qʰwɤ˧gv̩˩ɲi˩pi˩ ŋwɤ˧ʈʂwæ˧ ʑi˧qʰwɤ˧gv̩˩˥
njæ˧sɯ˩kv̩˩|qo˩qɑ˩˥|ɑ˩ʁo˧dʑo˩|pi˧dʑo˩|ɖʐɯ˧qo˩ni˩hĩ˩ɳɯ˩dʑo˩|əəə…ʐwæ˧|tʰi˧se˥|le˧mv̩˥kv̩˩ze˩|,njæ˧sɯ˩kv̩˩ qo˩qɑ˩˥ ɑ˩ʁo˧ɖdʑo˩ pi˩dʑo˩ ɖʐɯ˧qo˩ni˩hĩ˩ɳɯ˩dʑo˩ əə…ʐwæ˧ tʰi˧se˥ le˧mv̩˥kv̩˩ze˩
tʰi˩˥|hĩ˧|ʈʂʰɯ˧ʂæ˧ʂæ˧hĩ˧qo˩|le˧tsʰɯ˩ɲi˩mæ˩|,tʰi˩˥ hĩ˧ ʈʂʰɯ˧ʂæ˧ʂæ˧hĩ˧qo˩ le˧tsʰɯ˧ɲi˩mæ˩
hĩ˧|gi˩˥|wɤ˩˥dzɑ˧hĩ˧ki˧|ʂe˧bi˧v̩˩tʰv̩˩hĩ˩ʈʂʰɯ˩dʑo˩|mɤ˧tsɤ˧ze˧|pi˧zo˩|tʰi˩˥|le˧wo˧tʰo˥tɕo˩|le˧tsʰɯ˩zo˩|,hĩ˧ gi˧v˥dzɑ˧hĩ˧ki˧ ʂe˧bi˧v̩˧tsʰvo˩hĩ˩ ʈʂʰɯ˧dʑo˩ mɤ˧tsɤ˧ze˧ pi˧zo˩ tʰi˩˥ le˧wo˧tʰo˥tɕo˩ le˧tsʰɯ˩zo˩
ə˧mv̩˧ki˥|ʈʂʰɯ˧ne˧ʝi˥|ʝi˧lo˧mɤ˧dʑɤ˩ɲi˩ze˩mæ˩|,ə˧mv̩˧ki˥ ʈʂʰɯ˧ne˧ʝi˥ ʝi˧lo˧ mɤ˧dʑɤ˩ɲi˩ze˩mæ˩
ni˧mi˧ʈʂʰɯ˧|zo˩no˥|go˧mi˧ʈʂʰɯ˧|hĩ˧ki˧ki˩|pi˧dʑo˩|ni˧mi˧ɲi˥ze˩mæ˩|ə˩gi˩|,ni˧mi˧ʈʂʰɯ˧ zo˩no˥ go˧mi˧ʈʂʰɯ˧ hĩ˧ki˧ki˩ pi˧dʑo˩ ni˧mi˧ɲi˥ze˩mæ˩ ə˩gi˩
dʑɯ˧ʈʂʰwæ˧,dze˧ʈʂʰɤ˥
ə˧zɯ˩|sɯ˧sɯ˧pi˧dʑo˩|ə˧zɯ˩|ɖʐv̩˧ɲi˩pi˩|ɖʐv̩˧ɖʐv̩˧|no˧ɳɯ˧njɤ˩mv̩˩|njɤ˧ɳɯ˧no˩mv̩˩|ɖɯ˧pæ˥|le˧tɕʰo˥tɕʰo˩hɯ˩|,ə˧zɯ˩ sɯ˧sɯ˧pi˩dʑo˩ ə˧zɯ˩ ɖʐv̩˧ɲi˩pi˩ ɖʐo̩˧ɖʐv̩˧no˧ɻ̍˧ njɤ˩mv̩˩njɤ˧ɳɯ˧ no˩mv̩˩ ɖɯ˧pæ˧˥ le˧ʈʂʰo˧tɕo˥hɯ˩
tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥|tʰi˧dzi˩dʑo˩|tʰi˩˥|əəə…gv̩˧mɑ˧tsʰɯ˩ɻ̍˩pi˩|tsʰɯ˧ɻ̍˧ɬɑ˩mv̩˩pi˩|əəə…ɖɯ˩mɑ˧ɬɑ˩tsʰo˩pi˩|ʈʂʰɯ˧sɯ˩kv̩˩|so˩kv̩˩˥|njɤ˧|ə˧ʑi˧˥|ɖɯ˩mɑ˧pv̩˩ʈʰɯ˩|ʈʂʰɯ˧sɯ˩kv̩˩|ʐv̩˩kv̩˩ɲi˥tsɯ˩|mv̩˩,tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥ tʰi˧dzi˩dʑo˩ tʰi˩˥ əə…gv̩˧mɤ˧tsʰɯ˩ɻ̍˩pi˩ tsʰɯ˧ɻ̍˧lɑ˩mv̩˩pi˩ əə…ɖɯ˩mɑ˧lɑ˩tsʰo˩pi˩ ʈʂʰɯ˧sɯ˩kv̩˩ so˩kv̩˩˥ njɤ˧ ə˧ʑi˧˥ ɖɯ˩mɤ˥pv̩˩ʈʰɯ˩ ʈʂʰæ˧sɯ˩kv̩˩ ʐv̩˩kv̩˩ɲi˥tsɯ˩ mv̩˩
njɤ˧|ə˧si˧ɳɯ˧|zo˩no˥|ə˧sɯ˩kv̩˩|no˧sɯ˩kv̩˩|zo˩no˥|le˧ʐwɤ˩pi˩dʑo˩|,njɤ˧ ə˧ɕi˧z zo˩no˥ ə˧sɯ˩kv̩˩ no˧sɯ˩kv̩˩ zo˩no˥ le˧ʐwɤ˩pi˩dʑo˩
ʈʂʰɯ˧ne˧ʝi˥|le˧tɕɯ˧ɭɯ˧|le˧tɕɯ˧ɭɯ˧|ʈʂʰɯ˧ne˧ʝi˥|le˧gv̩˩|,ʈʂʰɯ˧ne˧ʝi˥ le˧tɕɯ˧˥ le˧tɕɯ˧˥ ʈʂʰɯ˧ne˧ʝi˥ le˧gv̩˩
mv̩˧dze˧ki˧ɲi˥tsɯ˩|mv̩˩|qʰɑ˧dze˧ki˧ɲi˥tsɯ˩|mv̩˩|ɕi˧ɭɯ˧ki˧ɲi˥tsɯ˩|mv̩˩|,mv̩˧dze˧ki˧ɲi˥tsɯ˩ mv̩˩ qʰɑ˧dze˧ki˧ɲi˥tsɯ˩ mv̩˩ si˧ɭɯ˧ki˧ɲi˥tsɯ˩ mv̩˩
njɤ˧|tnjɤ˧|le˧ʂv̩˧ɖv̩˧zo˥|no˧ki˧|ʂe˧tsʰɯ˩ɲi˩|,njɤ˧ ə˧tʰi˧ njɤ˧ le˧ʂv̩˧ɖv̩˧zo˥ no˧ ki˧ʂe˧tsʰɯ˧ɲi˥
tʰi˩˥|ʈʂʰæ˧ɣɯ˧ki˩hĩ˩|dʑɤ˩˥|mɤ˧dʑo˩|,tʰi˩˥ ʈʂʰæ˧ɣɯ˧ki˩hĩ˩ dʑɤ˩˥ mɤ˧dʑo˩
wɤ˩˥|le˧tɕɯ˩tɕɯ˩|le˧po˧tsʰɯ˧˥|wɤ˩˥|ɬi˧di˩|tɕʰi˧kv̩˥mæ˩|,wɤ˩˥ le˧tɕɯ˩tɕɯ˩ le˧po˧tsʰɯ˧˥ wɤ˩˥ ɬi˧di˩ tɕʰi˧kv̩˧˥ mæ˩
kʰvkʰv̩˩mi˩ʈʂʰɯ˥dʑo˩|njɤ˧le˧gv̩˧|ʐo˩˥|ɖɯ˧mɤ˧kv̩˧tsɯ˥|mv̩˩,kʰv̩˩˥ no˩ kʰv̩˩mi˩ʈʂʰɯ˥dʑo˩ njɤ˧le˧gv̩˥ ʐo˩˥ ɖɯ˧mɤ˧kv̩˧tsɯ˥ mv̩˩
wɤ˩˥|kɯ˧ʈʂʰwɤ˩|ɖɯ˧tɕʰi˧gv̩˩|dʑɤ˩tsʰo˧hĩ˧ɻæ˧ki˥|,wɤ˩˥ kɯ˧ʈʂʰwɤ˩ ɖɯ˧tɕʰi˩gv̩˩ dʑɤ˩tsʰo˥hĩ˧ki˧
zo˩no˥|ʈʈæ˧bɤ˧ʈʂʰɯ˧dʑo˩|ʈʂʰæ˧ɣɯ˧mɤ˧dʑo˧ɲi˥|ʈʂʰo˧lɑ˧kv̩˥|,zo˩no˥ ʈʈæ˧bɤ˧ʈʂʰɯ˧dʑo˩ ʈʂʰæ˧ɣɯ˧ mɤ˧dʑo˧ɲi˥ ʈʂʰo˧lɑ˧kv̩˥
tʰi˩˥|le˧tɕɤ˧se˥|wɤ˩˥|le˧bv̩˩|,tʰi˩˥ le˧tɕɤ˧se˥ wɤ˩˥ le˧bv̩˩
õ˧ʈʂʰɯ˧ne˧ʝi˥dʑo˩|tʰi˩˥|ə˧ʝi˧ʂɯ˥ʝi˩|mo˧ɳɯ˥|tsʰi˧ʝi˧|mo˧ɳɯ˥|tʰv̩˧ʁo˥|tʰv̩˧qo˧|mo˧ɳɯ˥|dv̩˩ze˥|tʰv̩˧qo˧|mo˧ɳɯ˥|dv̩˩pi˧|gɯ˩ʝi˥|dzɯ˧mɤ˧kv̩˩ze˩|õ,õ˧ʈʂʰɯ˧ne˧ʝi˥dʑo˩ tʰi˩˥ ə˧ʝi˧ʂɯ˥ʝi˩ mo˧ɳɯ˥ tɕʰo˧hĩ˧ɻ̍˩ mo˩ɳɯ˥ tʰv̩˧v̩˧tsʰo˧qo˧ mo˧ɳɯ˥ dv̩˩ɲizo˥ tʰv̩˧qo˧ mo˧ɳɯ˥ d˩pi˩ gi˩˥ mɤ˧dzɯ˧mɤ˧kv̩˩ze˩ õ
tʰi˩˥|ə˧mi˧le˧ʂɯ˧ɲi˥ho˩ze˩wɤ˩|æ˧ʂæ˧tɑ˩mv̩˩dʑo˩|,tʰi˩˥ ə˧mi˧ le˧ʂɯ˧ɲi˥ho˩ze˩wɤ˧˥ æ˧ʂæ˧tɑ˩mv̩˩dʑo˩
əəə…ʐv̩˧tsʰi˩gv̩˩hɑ̃˩ɖɯ˩kʰv̩˩mmm…lv̩˩kʰɯ˩zo˩kv̩˥pi˩|,əə…ʐv̩˧tsʰi˧gv̩˩hɑ̃˩ ɖɯ˧kʰv̩˩nlv̩˧kʰɯ˧zo˧kv̩˩pi˩
hæ̃˧pɤ˧tʰi˧mv̩˧kʰɯ˧se˥|dʑo˩|tʰi˩˥|dʑɯ˧ki˥|tʰi˧ki˩kʰɯ˩|,hæ̃˧pɤ˧tʰi˧mv̩˧kʰɯ˧se˥dʑo˩ tʰi˩˥ dʑɯ˧ki˥ tʰi˩ki˩kʰɯ˩
le˧qʰwɤ˧|ʈʂʰɯ˧gi˧˥|ɖɯ˧ʈʂæ˧gv̩˧dʑo˩|tʰi˩˥|ɖɯ˧ɲi˥|ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|hɑ˧ʈʂʰɯ˧|zo˩no˧ni˩|ə˧tso˧fv̩˧ɻ̍˧|mɤ˧dʑo˧ɲi˥mæ˩|ə˩gi˩|,le˧qʰwɤ˧ ʈʂʰɯ˧dʑo˥ ɖɯ˧ʈʂæ˧gv̩˧dʑo˩ tʰi˩˥ ɖɯ˧ɲi˥ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ hɑ˧ʈʂɯ˧ zo˩no˧ni˩ ə˧tso˧fv̩˧ mɤ˧dʑo˧ɲi˥mæ˩ ə˩gi˩
kv̩˧tsʰɑ˧ɻ̍˧pi˥|kv̩˧tsʰɑ˥|ki˧zo˧pi˧zo˥|,kv̩˧tsʰɑ˧ɻ̍pi˥ kv̩˧tsʰɑ˥ki˩zo˧pi˧zo˥
tʰi˩˥|tʰi˩˥|hĩ˧bæ˧ʈʂʰɯ˧|qʰɑ˩jɤ˩le˩tsʰɯ˩bi˥|qo˩ho˧˥|le˧pɤ˥pɤ˩|jo˧kv̩˧˥|mæ˩|,tʰi˩˥ tʰi˩˥ hĩ˧bæ˧ʈʂʰɯ˧ qʰɑ˩jɤ˩le˩tsʰɯ˩bi˥ qo˩ho˧˥ le˧pɤ˥ po˧jo˧kv̩˧˥ mæ˩
ʈæ˧bɤ˧ʁɑ˧ʂe˩|dɑ˧pɤ˧ʁɑ˧ʂe˩|ʐɯ˧hwɤ˩kv̩˩mæ˩|,ʈæ˧bɤ˧ʁɑ˧ʂe˩ dɑ˧pɤ˧ʁɑ˧ʂe˩ ʐɯ˧hwɤ˩kv̩˩mæ˩
ə˧tso˧go˩,ə˧tso˧ wkv̩˩
tʰi˩˥|sɯ˧pʰi˧|ɖɯ˧ʑi˩ɲi˩tsɯ˩|mv̩˩|tʰi˩˥|kv̩˧tsʰɑ˥ki˩dzi˩hɯ˩ɲi˩tsɯ˩|mv̩˩,tʰi˩˥ sɯ˧pʰi˧ ɖɯ˧ʑi˩hɲĩ˩tsɯ˩ mv̩˩ tʰi˩˥ kv̩˧tsʰɑ˥pv̩˩ki˩ dzɯ˩hɯ˩ɲi˩tsɯ˩ mv̩˩
nɑ˩ʈʂʰɯ˥|ɖɯ˩lo˧ʈʂʰɯ˧|,nɑ˩ʈʂʰɯ˥ ɖɯ˩lo˧ʈʂʰɯ˧
ə˧ɲi˧tsʰi˧ɲi˧|ɖɯ˧sɑ˥|mɤ˧ʝi˧ɲi˥ze˩mæ˩|lv̩˧|ʈʂʰɯ˧ne˧ʝi˥|tʰi˧ɬi˧kʰɯ˥|,ə˧ɲi˧tsʰi˧ɲi˧ ɖɯ˧sɑ˥ mɤ˧ɲi˧ze˩mæ˩ lv̩˧ ʈʂʰɯ˧ne˧ʝi˥ tʰi˧ɬi˧kʰɯ˧˥
ʂɯ˧hĩ˧ʈʂʰɯ˧|ɖɯ˧kʰɤ˧pɤ˧pɤ˥hĩ˩lɑ˩|əəə…le˧pv̩˧hĩ˧tʰv̩˧|ɲi˧ɲi˧dzɯ˧di˧˥|pɤ˧pɤ˥hĩ˩tʰv̩˩|ʂɯ˧hĩ˧bv̩˧|ɖɯ˧tci˩pɤ˩pɤ˩hĩ˩|ʐɯ˧|ʐwæ˩ɲi˥ze˩wɤ˩|,ʂɯ˧hĩ˧ʈʂʰɯ˧ ɖɯ˧kʰɤ˧pɤ˧pɤ˥hĩ˩lɑ˩ əə…le˧pv̩˧hĩ˧tʰv̩˧ ɲi˧ɲi˧dzɯ˧di˧˥ pɤ˧pɤ˥hĩ˩tʰv̩˩ ʂɯ˧hĩ˧bv̩˥ ɖɯ˧tɕʰi˩pɤ˩po˩hĩ˩ ʐɯ˧ ʐwæ˩ɲi˥ze˩wɤ˩
ə˧ʝi˧ʂɯ˥ʝi˩|ɖɯ˧ʑi˩ɻ̍˩ʈʂʰɯ˩dʑo˩|əəə…qv̩˧ɻ̍˧|pi˧hĩ˧|ɖɯ˧ʝi˧dzi˩ɲi˩tsɯ˩|mv̩˩|qv̩˧ɻ̍˧ʁo˧qʰwɤ˥,ə˧ʝi˧ʂɯ˥ʝi˩ ɖɯ˧ʑi˩ɻ̍˩ʈʂʰɯ˩dʑo˩ əə…qv̩˧ɻ̍˧pi˧hĩ˧ɖɯ˩ʝi˩dzi˩ɲi˩tsɯ˩ mv̩˩ qv̩˧ɻ̍˧ʁo˧qʰwɤ˥
ɳɯ˩dʑɯ˥lɑ˩|v̩˩tsʰɤ˧lɑ˥ɲi˩wɤ˩|v̩˩tsʰɤ˧tæ˧pv̩˥lɑ˩ɲi˩|ə˧ji˧ʂɯ˥ʝi˩|,ɳɯ˩dʑɯ˥lɑ˩ v̩˩tsʰɤ˧lɑ˥ɲi˩ v̩˩tsʰɤ˧tæ˧pv̩˥lɑ˩ɲi˩ ə˧ʝi˧ʂɯ˥ʝi˩
hɑ˧|ŋwɤ˩bæ˩hĩ˥ʈʂʰɯ˩|ʈʂʰɯ˧qʰwɤ˧pɤ˥|ʈʂʰɯ˧ɖɯ˧ɖɯ˧|ʈʂʰɯ˧ɖɯ˧ɖɯ˧hĩ˧ʈʂʰɯ˧bæ˧|ŋwɤ˧qʰwɤ˩|,hɑ˧ ŋwɤ˩bæ˩hĩ˥ʈʂʰɯ˩ ʈʂʰɯ˧ qʰwɤ˩pɤ˧˥ ʈʂʰɯ˧ ɖɯ˧ɖɯ˧ʂɯ˧ɖɯ˧ɭɯɖɯ˧hĩ˧ ʂʰɯ˧bæ˧˥ ŋwɤ˧qʰwɤ˩
tʰi˩˥|go˧mi˧|tʰv̩˧v̩˧ɳɯ˩dʑo˩|gɤ˩ʈʂʰv̩˩˥|tʰi˧ʈʂʰv̩˧˥|dʑo˩,tʰi˩˥ go˧mi˧ ʈʂʰv̩˧v̩˧ɳɯ˩dʑo˩ gɤ˩ʈʂʰv̩˧˥ tʰi˧ʈʂʰɻ̍˧˥ dʑo˩
tʰi˩˥|zo˩no˥|əəə…zo˧mv̩˥lɑ˩|le˧ʐɤ˧tʰv̩˧|ʑi˧qʰwɤ˧lɑ˧|le˧tsʰi˧tʰv̩˧|əəə…mv̩˧di˧lɑ˥|le˧pæ˧˥|tʰv̩˩|ɖʐe˧lɑ˧|dʑo˧tsɯ˧˥|mv̩˩,tʰi˩˥ zo˩no˥ ə…zo˧mv̩˥lɑ˩ le˧ʐɤ˩tʰv̩˩˧ ʑi˧qʰwɤ˧lɑ˧ le˧tsʰi˧tʰv̩˧ əə…mv̩˧di˧lɑ˥ le˧pæ˧˥tʰv̩˧ ɖʐe˧lɑ˧ dʑo˩tsɯ˧˥ mv̩˩
ə˧mi˧ʈʂʰɯ˧|tʰi˩˥|mmm…ʐv̩˧di˧dʑo˧˥|ɖɯ˧ʝi˧ɲi˩ze˩mæ˩|ə˩gi˩|dʑɯ˩ʁo˩ʁo˩to˥|ɖɯ˩tɕo˧fæ˧hĩ˧|ɖɯ˧ʝi˧qo˧|dʑo˩ɲi˩ho˥ze˩mæ˩|,ə˧mi˧ʈʂʰɯ˧ tʰi˩˥ mm… ʐv̩˧di˧ɖʑo˩v̩˥ ɖɯ˧ʝi˧ɲi˩ze˩mæ˩ ə˩go˩ dʑɯ˩ʁo˩ʁo˩to˥ ɖɯ˧tɕo˧˥ fsæ˧hĩ˩ ɖɯ˧ʝi˧qo˥ dʑo˧ɲi˩˧ho˩ze˩mæ˩
mv̩˧ɖɯ˩qo˩qɑ˩mæ˩no˩|kɤ˧sɑ˥ɕi˩ʁwɤ˩bi˩mæ˩no˩|pi˧|õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩|kʰi˧mi˧ʈʂʰɯ˧|wɤ˩˥|tʰi˧mæ˩|tʰi˩˥|wɤ˩˥|dʑɤ˩hĩ˥qo˩mæ˩zo˩kv̩˩pi˩|,mv̩˧ɖɯ˩qo˩qɑ˩mæ˩ no˩ kɤ˧sɑ˥ ɕi˧ʁwɤ˧bi˩mæ˩no˩ pi˧ õ˧ʈʂʰɯ˧ne˧ʝi˥ zo˩ kʰi˧mi˧ʈʂʰɯ˧v̩˧ tʰi˧mæ˩tʰv̩˩v̩˩˥ dʑɤ˩hĩ˧qo˩mæ˩zo˩kv̩˩ pi˩
ĩ˧|gv̩˧wo˥hĩ˩ʈʂʰɯ˩dʑo˩|tʰi˩˥|tsʰe˩hõ˩pʰo˥ɲi˩ze˩mæ˩|,m…gv̩˧wo˥hĩ˩ ʈʂʰɯ˧dʑo˩ tʰi˩˥ tsʰe˩hõ˩pʰo˥ɲi˩ze˩mæ˩
tʰi˩˥|wɤ˩˥|sɑ˧bo˧|ʈʂʰɯ˧ne˧ʝi˥|le˧bo˧|le˧bo˧|le˧bo˧|le˧bo˧|,tʰi˩˥ wɤ˩˥ sɑ˧bo˧ ʈʂʰɯ˧ne˧ʝi˥ le˧bo˧ le˧bo˧ le˧bo˧ le˧bo˧
kʰv̩˩mi˩˥|le˧ʂɯ˧bi˧bi˧bi˧pi˧|zo˩no˥|njæ˧sɯ˩kv̩˩|kʰv̩˩mi˩˥|kʰv̩˩mi˩˥|ɑ˩ʁo˥|le˧ʐɤ˧|le˧ʂɯ˧bi˧bi˧|le˧ʂɯ˧ɖɯ˧ɲi˧|ɑ˩pʰo˩˥|si˧dzi˩ʈʰæ˩ʈʰæ˩qo˩|nv̩˧kʰi˩dʑo˩|ʂe˧|ɖɯ˧pʰæ˧ʑi˧˥|qwæ˩ʈʂæ˩qo˥|tʰi˧ʈʰæ˧kʰɯ˥|,kʰv̩˩mi˩˥ le˧ʂɯ˧bi˧bi˧pi˧bi˧ zo˩no˥ njæ˧sɯ˩kv̩˩ kʰv̩˩mi˩˥ kʰv̩˩mi˩˥ ɑ˩ʁo˧ le˧ʐɤ˧ le˧ʂɯ˧bi˧bi˧ le˧ʂɯ˧ ɖɯ˧njɤ˧ ɑ˩pʰo˩˥ si˧ ʈʰæ˧ɻæ˧ ʈʰɯ˧ɻæqɑ˩ nv̩˧kʰi˧dʑo˩ ʂe˧ ɖɯ˧pʰæ˧ʑi˧˥ qɑ˩ʈʂæ˩qo˥ tʰi˧ʈʰæ˧kʰɯ˥
zo˩no˥|ʈʂʰæ˧ɣɯ˧ɲi˥pi˩hĩ˩tʰv̩˩kʰwɤ˩|,zo˩n ʈʂʰæ˧ɣɯ˧ɲi˥pi˩hĩ˩ tʰ̩˧kv̩˧
mmm…dzi˧dzi˧ʈʰæ˧qo˩di˩hĩ˩dʑo˩|mo˩kv̩˥dʑo˩|zo˩no˥|dʑɯ˩si˩bi˥di˩ɲi˩mæ˩|,mm…dʑɯ˧dzi˧ʈʰæ˧qo˩di˩hĩ˩dʑo˩ mo˩kv̩˧dʑo˩ zo˩no˥ dʑɯ˩si˩bi˥di˩ɲi˩mæ˩
ə˧ʝi˧tsʰi˧ʝi˧ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|hɑ˧ɭɯ˧ʈʂʰɯ˧|le˧pʰv̩˧˥|le˧tɕɤ˧˥|le˧tɕɤ˧˥|le˧pʰv̩˧pi˥kv̩˩mæ˩|njæ˧sɯ˩kv̩˩dʑo˩|,ə˧ʝi˧tsʰi˧ʝi˧ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ hɑ˧ɭɯ˧ʈʂʰɯ˧ le˧pʰv̩˧˥ le˧tɕɤ˧˥ le˧tɕɤ˧˥ le˧pʰv̩˧˥ pi˧kv̩˩z˩mæ˩ njæ˧sɯ˩kv̩˩dʑo˩
hɑ˧|ɖɯ˧kʰv̩˧˥|ɖɯ˧ʂɯ˩lɑ˩gɤ˩ʂo˩ɲi˩mæ˩|,hɑ˧ ɖɯ˧kʰv̩˧˥ ɖɯ˧ʂɯ˩lɑ˩gɤ˩ʂo˩ɲi˩mæ˩
