Reference	Prediction	Ref_noTones	Pred_noTones	Ref_words_noTones	Pred_words_noTones	Diff_num_words	Lev_distance_noTones	Lev_distance_words_notones	Average_lev_dist_notones
tʰi˩˥ le˧tɕɤ˧se˥ wɤ˩˥ le˧bv̩˩	tʰi˩˥ le˧tɕɤ˧se˥ wɤ˩˥ le˧bv̩˩	tʰi letɕɤse wɤ lebv̩	tʰi letɕɤse wɤ lebv̩	['tʰi', 'letɕɤse', 'wɤ', 'lebv̩']	['tʰi', 'letɕɤse', 'wɤ', 'lebv̩']	0	1.0	[1.0, 1.0, 1.0, 1.0]	1.0
õ˧ʈʂʰɯ˧ne˧ʝi˥dʑo˩ tʰi˩˥ ə˧ʝi˧ʂɯ˥ʝi˩ mo˧ɳɯ˥ tsʰi˧ʝi˧ mo˧ɳɯ˥ tʰv̩˧ʁo˥ tʰv̩˧qo˧ mo˧ɳɯ˥ dv̩˩ze˥ tʰv̩˧qo˧ mo˧ɳɯ˥ dv̩˩pi˧ gɯ˩ʝi˥ dzɯ˧mɤ˧kv̩˩ze˩ o	õ˧ʈʂʰɯ˧ne˧ʝi˥dʑo˩ tʰi˩˥ ə˧ʝi˧ʂɯ˥ʝi˩ mo˧ɳɯ˥ tɕʰo˧hĩ˧ɻ̍˩ mo˩ɳɯ˥ tʰv̩˧v̩˧tsʰo˧qo˧ mo˧ɳɯ˥ dv̩˩ɲizo˥ tʰv̩˧qo˧ mo˧ɳɯ˥ d˩pi˩ gi˩˥ mɤ˧dzɯ˧mɤ˧kv̩˩ze˩ õ	õʈʂʰɯneʝidʑo tʰi əʝiʂɯʝi moɳɯ tsʰiʝi moɳɯ tʰv̩ʁo tʰv̩qo moɳɯ dv̩ze tʰv̩qo moɳɯ dv̩pi gɯʝi dzɯmɤkv̩ze o	õʈʂʰɯneʝidʑo tʰi əʝiʂɯʝi moɳɯ tɕʰohĩɻ̍ moɳɯ tʰv̩v̩tsʰoqo moɳɯ dv̩ɲizo tʰv̩qo moɳɯ dpi gi mɤdzɯmɤkv̩ze õ	['õʈʂʰɯneʝidʑo', 'tʰi', 'əʝiʂɯʝi', 'moɳɯ', 'tsʰiʝi', 'moɳɯ', 'tʰv̩ʁo', 'tʰv̩qo', 'moɳɯ', 'dv̩ze', 'tʰv̩qo', 'moɳɯ', 'dv̩pi', 'gɯʝi', 'dzɯmɤkv̩ze', 'o']	['õʈʂʰɯneʝidʑo', 'tʰi', 'əʝiʂɯʝi', 'moɳɯ', 'tɕʰohĩɻ̍', 'moɳɯ', 'tʰv̩v̩tsʰoqo', 'moɳɯ', 'dv̩ɲizo', 'tʰv̩qo', 'moɳɯ', 'dpi', 'gi', 'mɤdzɯmɤkv̩ze', 'õ']	-1	0.861244019138756	[1.0, 1.0, 1.0, 1.0, 0.4, 1.0, 0.5555555555555556, 0.2, 0.18181818181818182, 0.36363636363636365, 0.2, 0.0, 0.2857142857142857, 0.125, 0.0, 0.0]	0.45698277417027416
tʰi˩˥ ə˧mi˧le˧ʂɯ˧ɲi˥ho˩ze˩wɤ˩ æ˧ʂæ˧tɑ˩mv̩˩dʑo˩	tʰi˩˥ ə˧mi˧ le˧ʂɯ˧ɲi˥ho˩ze˩wɤ˧˥ æ˧ʂæ˧tɑ˩mv̩˩dʑo˩	tʰi əmileʂɯɲihozewɤ æʂætɑmv̩dʑo	tʰi əmi leʂɯɲihozewɤ æʂætɑmv̩dʑo	['tʰi', 'əmileʂɯɲihozewɤ', 'æʂætɑmv̩dʑo']	['tʰi', 'əmi', 'leʂɯɲihozewɤ', 'æʂætɑmv̩dʑo']	1	0.9841269841269841	[1.0, 0.3333333333333333, 0.17391304347826086]	0.5024154589371981
əəə…ʐv̩˧tsʰi˩gv̩˩hɑ̃˩ɖɯ˩kʰv̩˩mmm…lv̩˩kʰɯ˩zo˩kv̩˥pi˩	əə…ʐv̩˧tsʰi˧gv̩˩hɑ̃˩ ɖɯ˧kʰv̩˩nlv̩˧kʰɯ˧zo˧kv̩˩pi˩	əəə…ʐv̩tsʰigv̩hɑ̃ɖɯkʰv̩mmm…lv̩kʰɯzokv̩pi	əə…ʐv̩tsʰigv̩hɑ̃ ɖɯkʰv̩nlv̩kʰɯzokv̩pi	['əəə…ʐv̩tsʰigv̩hɑ̃ɖɯkʰv̩mmm…lv̩kʰɯzokv̩pi']	['əə…ʐv̩tsʰigv̩hɑ̃', 'ɖɯkʰv̩nlv̩kʰɯzokv̩pi']	1	0.9090909090909091	[0.5714285714285714]	0.5714285714285714
hæ̃˧pɤ˧tʰi˧mv̩˧kʰɯ˧se˥ dʑo˩ tʰi˩˥ dʑɯ˧ki˥ tʰi˧ki˩kʰɯ˩	hæ̃˧pɤ˧tʰi˧mv̩˧kʰɯ˧se˥dʑo˩ tʰi˩˥ dʑɯ˧ki˥ tʰi˩ki˩kʰɯ˩	hæ̃pɤtʰimv̩kʰɯse dʑo tʰi dʑɯki tʰikikʰɯ	hæ̃pɤtʰimv̩kʰɯsedʑo tʰi dʑɯki tʰikikʰɯ	['hæ̃pɤtʰimv̩kʰɯse', 'dʑo', 'tʰi', 'dʑɯki', 'tʰikikʰɯ']	['hæ̃pɤtʰimv̩kʰɯsedʑo', 'tʰi', 'dʑɯki', 'tʰikikʰɯ']	-1	0.987012987012987	[0.9142857142857143, 0.0, 0.25, 0.3076923076923077, 0.0]	0.2943956043956044
le˧qʰwɤ˧ ʈʂʰɯ˧gi˧˥ ɖɯ˧ʈʂæ˧gv̩˧dʑo˩ tʰi˩˥ ɖɯ˧ɲi˥ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ hɑ˧ʈʂʰɯ˧ zo˩no˧ni˩ ə˧tso˧fv̩˧ɻ̍˧ mɤ˧dʑo˧ɲi˥mæ˩ ə˩gi˩	le˧qʰwɤ˧ ʈʂʰɯ˧dʑo˥ ɖɯ˧ʈʂæ˧gv̩˧dʑo˩ tʰi˩˥ ɖɯ˧ɲi˥ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ hɑ˧ʈʂɯ˧ zo˩no˧ni˩ ə˧tso˧fv̩˧ mɤ˧dʑo˧ɲi˥mæ˩ ə˩gi˩	leqʰwɤ ʈʂʰɯgi ɖɯʈʂægv̩dʑo tʰi ɖɯɲi əʝiʂɯʝidʑo hɑʈʂʰɯ zononi ətsofv̩ɻ̍ mɤdʑoɲimæ əgi	leqʰwɤ ʈʂʰɯdʑo ɖɯʈʂægv̩dʑo tʰi ɖɯɲi əʝiʂɯʝidʑo hɑʈʂɯ zononi ətsofv̩ mɤdʑoɲimæ əgi	['leqʰwɤ', 'ʈʂʰɯgi', 'ɖɯʈʂægv̩dʑo', 'tʰi', 'ɖɯɲi', 'əʝiʂɯʝidʑo', 'hɑʈʂʰɯ', 'zononi', 'ətsofv̩ɻ̍', 'mɤdʑoɲimæ', 'əgi']	['leqʰwɤ', 'ʈʂʰɯdʑo', 'ɖɯʈʂægv̩dʑo', 'tʰi', 'ɖɯɲi', 'əʝiʂɯʝidʑo', 'hɑʈʂɯ', 'zononi', 'ətsofv̩', 'mɤdʑoɲimæ', 'əgi']	0	0.9512195121951219	[1.0, 0.6153846153846154, 1.0, 1.0, 1.0, 1.0, 0.9090909090909091, 1.0, 0.875, 1.0, 1.0]	0.9454068658614113
kv̩˧tsʰɑ˧ɻ̍˧pi˥ kv̩˧tsʰɑ˥ ki˧zo˧pi˧zo˥	kv̩˧tsʰɑ˧ɻ̍pi˥ kv̩˧tsʰɑ˥ki˩zo˧pi˧zo˥	kv̩tsʰɑɻ̍pi kv̩tsʰɑ kizopizo	kv̩tsʰɑɻ̍pi kv̩tsʰɑkizopizo	['kv̩tsʰɑɻ̍pi', 'kv̩tsʰɑ', 'kizopizo']	['kv̩tsʰɑɻ̍pi', 'kv̩tsʰɑkizopizo']	-1	0.9818181818181818	[1.0, 0.6363636363636364, 0.0]	0.5454545454545454
tʰi˩˥ tʰi˩˥ hĩ˧bæ˧ʈʂʰɯ˧ qʰɑ˩jɤ˩le˩tsʰɯ˩bi˥ qo˩ho˧˥ le˧pɤ˥pɤ˩ jo˧kv̩˧˥ mæ˩	tʰi˩˥ tʰi˩˥ hĩ˧bæ˧ʈʂʰɯ˧ qʰɑ˩jɤ˩le˩tsʰɯ˩bi˥ qo˩ho˧˥ le˧pɤ˥ po˧jo˧kv̩˧˥ mæ˩	tʰi tʰi hĩbæʈʂʰɯ qʰɑjɤletsʰɯbi qoho lepɤpɤ jokv̩ mæ	tʰi tʰi hĩbæʈʂʰɯ qʰɑjɤletsʰɯbi qoho lepɤ pojokv̩ mæ	['tʰi', 'tʰi', 'hĩbæʈʂʰɯ', 'qʰɑjɤletsʰɯbi', 'qoho', 'lepɤpɤ', 'jokv̩', 'mæ']	['tʰi', 'tʰi', 'hĩbæʈʂʰɯ', 'qʰɑjɤletsʰɯbi', 'qoho', 'lepɤ', 'pojokv̩', 'mæ']	0	0.9615384615384616	[1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.8333333333333334, 1.0]	0.9541666666666667
ʈæ˧bɤ˧ʁɑ˧ʂe˩ dɑ˧pɤ˧ʁɑ˧ʂe˩ ʐɯ˧hwɤ˩kv̩˩mæ˩	ʈæ˧bɤ˧ʁɑ˧ʂe˩ dɑ˧pɤ˧ʁɑ˧ʂe˩ ʐɯ˧hwɤ˩kv̩˩mæ˩	ʈæbɤʁɑʂe dɑpɤʁɑʂe ʐɯhwɤkv̩mæ	ʈæbɤʁɑʂe dɑpɤʁɑʂe ʐɯhwɤkv̩mæ	['ʈæbɤʁɑʂe', 'dɑpɤʁɑʂe', 'ʐɯhwɤkv̩mæ']	['ʈæbɤʁɑʂe', 'dɑpɤʁɑʂe', 'ʐɯhwɤkv̩mæ']	0	1.0	[1.0, 1.0, 1.0]	1.0
ə˧tso˧go	ə˧tso˧ wkv̩˩	ətsogo	ətso wkv̩	['ətsogo']	['ətso', 'wkv̩']	1	0.5333333333333333	[0.8]	0.8
tʰi˩˥ sɯ˧pʰi˧ ɖɯ˧ʑi˩ɲi˩tsɯ˩ mv̩˩ tʰi˩˥ kv̩˧tsʰɑ˥ki˩dzi˩hɯ˩ɲi˩tsɯ˩ mv̩	tʰi˩˥ sɯ˧pʰi˧ ɖɯ˧ʑi˩hɲĩ˩tsɯ˩ mv̩˩ tʰi˩˥ kv̩˧tsʰɑ˥pv̩˩ki˩ dzɯ˩hɯ˩ɲi˩tsɯ˩ mv̩˩	tʰi sɯpʰi ɖɯʑiɲitsɯ mv̩ tʰi kv̩tsʰɑkidzihɯɲitsɯ mv̩	tʰi sɯpʰi ɖɯʑihɲĩtsɯ mv̩ tʰi kv̩tsʰɑpv̩ki dzɯhɯɲitsɯ mv̩	['tʰi', 'sɯpʰi', 'ɖɯʑiɲitsɯ', 'mv̩', 'tʰi', 'kv̩tsʰɑkidzihɯɲitsɯ', 'mv̩']	['tʰi', 'sɯpʰi', 'ɖɯʑihɲĩtsɯ', 'mv̩', 'tʰi', 'kv̩tsʰɑpv̩ki', 'dzɯhɯɲitsɯ', 'mv̩']	1	0.9259259259259259	[1.0, 1.0, 0.9, 1.0, 1.0, 0.5806451612903226, 0.0]	0.7829493087557604
nɑ˩ʈʂʰɯ˥ ɖɯ˩lo˧ʈʂʰɯ˧	nɑ˩ʈʂʰɯ˥ ɖɯ˩lo˧ʈʂʰɯ˧	nɑʈʂʰɯ ɖɯloʈʂʰɯ	nɑʈʂʰɯ ɖɯloʈʂʰɯ	['nɑʈʂʰɯ', 'ɖɯloʈʂʰɯ']	['nɑʈʂʰɯ', 'ɖɯloʈʂʰɯ']	0	1.0	[1.0, 1.0]	1.0
ə˧ɲi˧tsʰi˧ɲi˧ ɖɯ˧sɑ˥ mɤ˧ʝi˧ɲi˥ze˩mæ˩ lv̩˧ ʈʂʰɯ˧ne˧ʝi˥ tʰi˧ɬi˧kʰɯ˥	ə˧ɲi˧tsʰi˧ɲi˧ ɖɯ˧sɑ˥ mɤ˧ɲi˧ze˩mæ˩ lv̩˧ ʈʂʰɯ˧ne˧ʝi˥ tʰi˧ɬi˧kʰɯ˧˥	əɲitsʰiɲi ɖɯsɑ mɤʝiɲizemæ lv̩ ʈʂʰɯneʝi tʰiɬikʰɯ	əɲitsʰiɲi ɖɯsɑ mɤɲizemæ lv̩ ʈʂʰɯneʝi tʰiɬikʰɯ	['əɲitsʰiɲi', 'ɖɯsɑ', 'mɤʝiɲizemæ', 'lv̩', 'ʈʂʰɯneʝi', 'tʰiɬikʰɯ']	['əɲitsʰiɲi', 'ɖɯsɑ', 'mɤɲizemæ', 'lv̩', 'ʈʂʰɯneʝi', 'tʰiɬikʰɯ']	0	0.9782608695652174	[1.0, 1.0, 0.8888888888888888, 1.0, 1.0, 1.0]	0.9814814814814815
ʂɯ˧hĩ˧ʈʂʰɯ˧ ɖɯ˧kʰɤ˧pɤ˧pɤ˥hĩ˩lɑ˩ əəə…le˧pv̩˧hĩ˧tʰv̩˧ ɲi˧ɲi˧dzɯ˧di˧˥ pɤ˧pɤ˥hĩ˩tʰv̩˩ ʂɯ˧hĩ˧bv̩˧ ɖɯ˧tci˩pɤ˩pɤ˩hĩ˩ ʐɯ˧ ʐwæ˩ɲi˥ze˩wɤ˩	ʂɯ˧hĩ˧ʈʂʰɯ˧ ɖɯ˧kʰɤ˧pɤ˧pɤ˥hĩ˩lɑ˩ əə…le˧pv̩˧hĩ˧tʰv̩˧ ɲi˧ɲi˧dzɯ˧di˧˥ pɤ˧pɤ˥hĩ˩tʰv̩˩ ʂɯ˧hĩ˧bv̩˥ ɖɯ˧tɕʰi˩pɤ˩po˩hĩ˩ ʐɯ˧ ʐwæ˩ɲi˥ze˩wɤ˩	ʂɯhĩʈʂʰɯ ɖɯkʰɤpɤpɤhĩlɑ əəə…lepv̩hĩtʰv̩ ɲiɲidzɯdi pɤpɤhĩtʰv̩ ʂɯhĩbv̩ ɖɯtcipɤpɤhĩ ʐɯ ʐwæɲizewɤ	ʂɯhĩʈʂʰɯ ɖɯkʰɤpɤpɤhĩlɑ əə…lepv̩hĩtʰv̩ ɲiɲidzɯdi pɤpɤhĩtʰv̩ ʂɯhĩbv̩ ɖɯtɕʰipɤpohĩ ʐɯ ʐwæɲizewɤ	['ʂɯhĩʈʂʰɯ', 'ɖɯkʰɤpɤpɤhĩlɑ', 'əəə…lepv̩hĩtʰv̩', 'ɲiɲidzɯdi', 'pɤpɤhĩtʰv̩', 'ʂɯhĩbv̩', 'ɖɯtcipɤpɤhĩ', 'ʐɯ', 'ʐwæɲizewɤ']	['ʂɯhĩʈʂʰɯ', 'ɖɯkʰɤpɤpɤhĩlɑ', 'əə…lepv̩hĩtʰv̩', 'ɲiɲidzɯdi', 'pɤpɤhĩtʰv̩', 'ʂɯhĩbv̩', 'ɖɯtɕʰipɤpohĩ', 'ʐɯ', 'ʐwæɲizewɤ']	0	0.9693877551020408	[1.0, 1.0, 0.967741935483871, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0]	0.9741935483870968
ə˧ʝi˧ʂɯ˥ʝi˩ ɖɯ˧ʑi˩ɻ̍˩ʈʂʰɯ˩dʑo˩ əəə…qv̩˧ɻ̍˧ pi˧hĩ˧ ɖɯ˧ʝi˧dzi˩ɲi˩tsɯ˩ mv̩˩ qv̩˧ɻ̍˧ʁo˧qʰwɤ	ə˧ʝi˧ʂɯ˥ʝi˩ ɖɯ˧ʑi˩ɻ̍˩ʈʂʰɯ˩dʑo˩ əə…qv̩˧ɻ̍˧pi˧hĩ˧ɖɯ˩ʝi˩dzi˩ɲi˩tsɯ˩ mv̩˩ qv̩˧ɻ̍˧ʁo˧qʰwɤ˥	əʝiʂɯʝi ɖɯʑiɻ̍ʈʂʰɯdʑo əəə…qv̩ɻ̍ pihĩ ɖɯʝidziɲitsɯ mv̩ qv̩ɻ̍ʁoqʰwɤ	əʝiʂɯʝi ɖɯʑiɻ̍ʈʂʰɯdʑo əə…qv̩ɻ̍pihĩɖɯʝidziɲitsɯ mv̩ qv̩ɻ̍ʁoqʰwɤ	['əʝiʂɯʝi', 'ɖɯʑiɻ̍ʈʂʰɯdʑo', 'əəə…qv̩ɻ̍', 'pihĩ', 'ɖɯʝidziɲitsɯ', 'mv̩', 'qv̩ɻ̍ʁoqʰwɤ']	['əʝiʂɯʝi', 'ɖɯʑiɻ̍ʈʂʰɯdʑo', 'əə…qv̩ɻ̍pihĩɖɯʝidziɲitsɯ', 'mv̩', 'qv̩ɻ̍ʁoqʰwɤ']	-2	0.9767441860465116	[1.0, 1.0, 0.47058823529411764, 0.0, 0.0, 0.0, 0.0]	0.35294117647058826
ɳɯ˩dʑɯ˥lɑ˩ v̩˩tsʰɤ˧lɑ˥ɲi˩wɤ˩ v̩˩tsʰɤ˧tæ˧pv̩˥lɑ˩ɲi˩ ə˧ji˧ʂɯ˥ʝi˩	ɳɯ˩dʑɯ˥lɑ˩ v̩˩tsʰɤ˧lɑ˥ɲi˩ v̩˩tsʰɤ˧tæ˧pv̩˥lɑ˩ɲi˩ ə˧ʝi˧ʂɯ˥ʝi˩	ɳɯdʑɯlɑ v̩tsʰɤlɑɲiwɤ v̩tsʰɤtæpv̩lɑɲi əjiʂɯʝi	ɳɯdʑɯlɑ v̩tsʰɤlɑɲi v̩tsʰɤtæpv̩lɑɲi əʝiʂɯʝi	['ɳɯdʑɯlɑ', 'v̩tsʰɤlɑɲiwɤ', 'v̩tsʰɤtæpv̩lɑɲi', 'əjiʂɯʝi']	['ɳɯdʑɯlɑ', 'v̩tsʰɤlɑɲi', 'v̩tsʰɤtæpv̩lɑɲi', 'əʝiʂɯʝi']	0	0.9534883720930233	[1.0, 0.9090909090909091, 1.0, 0.8571428571428571]	0.9415584415584415
hɑ˧ ŋwɤ˩bæ˩hĩ˥ʈʂʰɯ˩ ʈʂʰɯ˧qʰwɤ˧pɤ˥ ʈʂʰɯ˧ɖɯ˧ɖɯ˧ ʈʂʰɯ˧ɖɯ˧ɖɯ˧hĩ˧ʈʂʰɯ˧bæ˧ ŋwɤ˧qʰwɤ˩	hɑ˧ ŋwɤ˩bæ˩hĩ˥ʈʂʰɯ˩ ʈʂʰɯ˧ qʰwɤ˩pɤ˧˥ ʈʂʰɯ˧ ɖɯ˧ɖɯ˧ʂɯ˧ɖɯ˧ɭɯɖɯ˧hĩ˧ ʂʰɯ˧bæ˧˥ ŋwɤ˧qʰwɤ˩	hɑ ŋwɤbæhĩʈʂʰɯ ʈʂʰɯqʰwɤpɤ ʈʂʰɯɖɯɖɯ ʈʂʰɯɖɯɖɯhĩʈʂʰɯbæ ŋwɤqʰwɤ	hɑ ŋwɤbæhĩʈʂʰɯ ʈʂʰɯ qʰwɤpɤ ʈʂʰɯ ɖɯɖɯʂɯɖɯɭɯɖɯhĩ ʂʰɯbæ ŋwɤqʰwɤ	['hɑ', 'ŋwɤbæhĩʈʂʰɯ', 'ʈʂʰɯqʰwɤpɤ', 'ʈʂʰɯɖɯɖɯ', 'ʈʂʰɯɖɯɖɯhĩʈʂʰɯbæ', 'ŋwɤqʰwɤ']	['hɑ', 'ŋwɤbæhĩʈʂʰɯ', 'ʈʂʰɯ', 'qʰwɤpɤ', 'ʈʂʰɯ', 'ɖɯɖɯʂɯɖɯɭɯɖɯhĩ', 'ʂʰɯbæ', 'ŋwɤqʰwɤ']	2	0.926829268292683	[1.0, 1.0, 0.5714285714285714, 0.14285714285714285, 0.38095238095238093, 0.0]	0.5158730158730158
tʰi˩˥ go˧mi˧ tʰv̩˧v̩˧ɳɯ˩dʑo˩ gɤ˩ʈʂʰv̩˩˥ tʰi˧ʈʂʰv̩˧˥ dʑo	tʰi˩˥ go˧mi˧ ʈʂʰv̩˧v̩˧ɳɯ˩dʑo˩ gɤ˩ʈʂʰv̩˧˥ tʰi˧ʈʂʰɻ̍˧˥ dʑo˩	tʰi gomi tʰv̩v̩ɳɯdʑo gɤʈʂʰv̩ tʰiʈʂʰv̩ dʑo	tʰi gomi ʈʂʰv̩v̩ɳɯdʑo gɤʈʂʰv̩ tʰiʈʂʰɻ̍ dʑo	['tʰi', 'gomi', 'tʰv̩v̩ɳɯdʑo', 'gɤʈʂʰv̩', 'tʰiʈʂʰv̩', 'dʑo']	['tʰi', 'gomi', 'ʈʂʰv̩v̩ɳɯdʑo', 'gɤʈʂʰv̩', 'tʰiʈʂʰɻ̍', 'dʑo']	0	0.9156626506024096	[1.0, 1.0, 0.8695652173913043, 1.0, 0.75, 1.0]	0.9365942028985508
tʰi˩˥ zo˩no˥ əəə…zo˧mv̩˥lɑ˩ le˧ʐɤ˧tʰv̩˧ ʑi˧qʰwɤ˧lɑ˧ le˧tsʰi˧tʰv̩˧ əəə…mv̩˧di˧lɑ˥ le˧pæ˧˥ tʰv̩˩ ɖʐe˧lɑ˧ dʑo˧tsɯ˧˥ mv̩	tʰi˩˥ zo˩no˥ ə…zo˧mv̩˥lɑ˩ le˧ʐɤ˩tʰv̩˩˧ ʑi˧qʰwɤ˧lɑ˧ le˧tsʰi˧tʰv̩˧ əə…mv̩˧di˧lɑ˥ le˧pæ˧˥tʰv̩˧ ɖʐe˧lɑ˧ dʑo˩tsɯ˧˥ mv̩˩	tʰi zono əəə…zomv̩lɑ leʐɤtʰv̩ ʑiqʰwɤlɑ letsʰitʰv̩ əəə…mv̩dilɑ lepæ tʰv̩ ɖʐelɑ dʑotsɯ mv̩	tʰi zono ə…zomv̩lɑ leʐɤtʰv̩ ʑiqʰwɤlɑ letsʰitʰv̩ əə…mv̩dilɑ lepætʰv̩ ɖʐelɑ dʑotsɯ mv̩	['tʰi', 'zono', 'əəə…zomv̩lɑ', 'leʐɤtʰv̩', 'ʑiqʰwɤlɑ', 'letsʰitʰv̩', 'əəə…mv̩dilɑ', 'lepæ', 'tʰv̩', 'ɖʐelɑ', 'dʑotsɯ', 'mv̩']	['tʰi', 'zono', 'ə…zomv̩lɑ', 'leʐɤtʰv̩', 'ʑiqʰwɤlɑ', 'letsʰitʰv̩', 'əə…mv̩dilɑ', 'lepætʰv̩', 'ɖʐelɑ', 'dʑotsɯ', 'mv̩']	-1	0.9767441860465116	[1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9523809523809523, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0]	0.6265873015873016
ə˧mi˧ʈʂʰɯ˧ tʰi˩˥ mmm…ʐv̩˧di˧dʑo˧˥ ɖɯ˧ʝi˧ɲi˩ze˩mæ˩ ə˩gi˩ dʑɯ˩ʁo˩ʁo˩to˥ ɖɯ˩tɕo˧fæ˧hĩ˧ ɖɯ˧ʝi˧qo˧ dʑo˩ɲi˩ho˥ze˩mæ˩	ə˧mi˧ʈʂʰɯ˧ tʰi˩˥ mm… ʐv̩˧di˧ɖʑo˩v̩˥ ɖɯ˧ʝi˧ɲi˩ze˩mæ˩ ə˩go˩ dʑɯ˩ʁo˩ʁo˩to˥ ɖɯ˧tɕo˧˥ fsæ˧hĩ˩ ɖɯ˧ʝi˧qo˥ dʑo˧ɲi˩˧ho˩ze˩mæ˩	əmiʈʂʰɯ tʰi mmm…ʐv̩didʑo ɖɯʝiɲizemæ əgi dʑɯʁoʁoto ɖɯtɕofæhĩ ɖɯʝiqo dʑoɲihozemæ	əmiʈʂʰɯ tʰi mm… ʐv̩diɖʑov̩ ɖɯʝiɲizemæ əgo dʑɯʁoʁoto ɖɯtɕo fsæhĩ ɖɯʝiqo dʑoɲihozemæ	['əmiʈʂʰɯ', 'tʰi', 'mmm…ʐv̩didʑo', 'ɖɯʝiɲizemæ', 'əgi', 'dʑɯʁoʁoto', 'ɖɯtɕofæhĩ', 'ɖɯʝiqo', 'dʑoɲihozemæ']	['əmiʈʂʰɯ', 'tʰi', 'mm…', 'ʐv̩diɖʑov̩', 'ɖɯʝiɲizemæ', 'əgo', 'dʑɯʁoʁoto', 'ɖɯtɕo', 'fsæhĩ', 'ɖɯʝiqo', 'dʑoɲihozemæ']	2	0.9382716049382716	[1.0, 1.0, 0.4, 0.1, 0.15384615384615385, 0.16666666666666666, 0.3157894736842105, 0.5454545454545454, 0.11764705882352941]	0.4221559887194562
mv̩˧ɖɯ˩qo˩qɑ˩mæ˩no˩ kɤ˧sɑ˥ɕi˩ʁwɤ˩bi˩mæ˩no˩ pi˧ õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩ kʰi˧mi˧ʈʂʰɯ˧ wɤ˩˥ tʰi˧mæ˩ tʰi˩˥ wɤ˩˥ dʑɤ˩hĩ˥qo˩mæ˩zo˩kv̩˩pi˩	mv̩˧ɖɯ˩qo˩qɑ˩mæ˩ no˩ kɤ˧sɑ˥ ɕi˧ʁwɤ˧bi˩mæ˩no˩ pi˧ õ˧ʈʂʰɯ˧ne˧ʝi˥ zo˩ kʰi˧mi˧ʈʂʰɯ˧v̩˧ tʰi˧mæ˩tʰv̩˩v̩˩˥ dʑɤ˩hĩ˧qo˩mæ˩zo˩kv̩˩ pi˩	mv̩ɖɯqoqɑmæno kɤsɑɕiʁwɤbimæno pi õʈʂʰɯneʝizo kʰimiʈʂʰɯ wɤ tʰimæ tʰi wɤ dʑɤhĩqomæzokv̩pi	mv̩ɖɯqoqɑmæ no kɤsɑ ɕiʁwɤbimæno pi õʈʂʰɯneʝi zo kʰimiʈʂʰɯv̩ tʰimætʰv̩v̩ dʑɤhĩqomæzokv̩ pi	['mv̩ɖɯqoqɑmæno', 'kɤsɑɕiʁwɤbimæno', 'pi', 'õʈʂʰɯneʝizo', 'kʰimiʈʂʰɯ', 'wɤ', 'tʰimæ', 'tʰi', 'wɤ', 'dʑɤhĩqomæzokv̩pi']	['mv̩ɖɯqoqɑmæ', 'no', 'kɤsɑ', 'ɕiʁwɤbimæno', 'pi', 'õʈʂʰɯneʝi', 'zo', 'kʰimiʈʂʰɯv̩', 'tʰimætʰv̩v̩', 'dʑɤhĩqomæzokv̩', 'pi']	1	0.9	[0.9166666666666666, 0.23529411764705882, 0.0, 0.17391304347826086, 0.18181818181818182, 0.0, 0.0, 0.2857142857142857, 0.0, 0.9375]	0.2730906295324454
ĩ˧ gv̩˧wo˥hĩ˩ʈʂʰɯ˩dʑo˩ tʰi˩˥ tsʰe˩hõ˩pʰo˥ɲi˩ze˩mæ˩	m…gv̩˧wo˥hĩ˩ ʈʂʰɯ˧dʑo˩ tʰi˩˥ tsʰe˩hõ˩pʰo˥ɲi˩ze˩mæ˩	ĩ gv̩wohĩʈʂʰɯdʑo tʰi tsʰehõpʰoɲizemæ	m…gv̩wohĩ ʈʂʰɯdʑo tʰi tsʰehõpʰoɲizemæ	['ĩ', 'gv̩wohĩʈʂʰɯdʑo', 'tʰi', 'tsʰehõpʰoɲizemæ']	['m…gv̩wohĩ', 'ʈʂʰɯdʑo', 'tʰi', 'tsʰehõpʰoɲizemæ']	0	0.9230769230769231	[0.3333333333333333, 0.6363636363636364, 1.0, 1.0]	0.7424242424242424
tʰi˩˥ wɤ˩˥ sɑ˧bo˧ ʈʂʰɯ˧ne˧ʝi˥ le˧bo˧ le˧bo˧ le˧bo˧ le˧bo˧	tʰi˩˥ wɤ˩˥ sɑ˧bo˧ ʈʂʰɯ˧ne˧ʝi˥ le˧bo˧ le˧bo˧ le˧bo˧ le˧bo˧	tʰi wɤ sɑbo ʈʂʰɯneʝi lebo lebo lebo lebo	tʰi wɤ sɑbo ʈʂʰɯneʝi lebo lebo lebo lebo	['tʰi', 'wɤ', 'sɑbo', 'ʈʂʰɯneʝi', 'lebo', 'lebo', 'lebo', 'lebo']	['tʰi', 'wɤ', 'sɑbo', 'ʈʂʰɯneʝi', 'lebo', 'lebo', 'lebo', 'lebo']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
