Reference	Prediction	Ref_char	Pred_char	F_score_char	Precision_char	Recall_char
tɕe nɯnɯ tɕu sɯŋgɯ jɤazɣɯt tɕe sɯŋgɯ ɯrkɯ nɯtɕu nɤkinɯ qachɣa ci pjɤkɤmdzɯci	tɕe nɯnɯ tɕu sɯŋgɯ jɤazɣɯt tɕe sɯŋgɯ ɯrkɯ nɯ tɕu nɤkinɯ qachɣa ci pjɤkɤmdzɯci	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɕ', 'u', 'S', 's', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'j', 'ɤ', 'a', 'z', 'ɣ', 'ɯ', 't', 'S', 't', 'ɕ', 'e', 'S', 's', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'ɯ', 'r', 'k', 'ɯ', 'S', 'n', 'ɯ', '*', 't', 'ɕ', 'u', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'q', 'a', 'c', 'h', 'ɣ', 'a', 'S', 'c', 'i', 'S', 'p', 'j', 'ɤ', 'k', 'ɤ', 'm', 'd', 'z', 'ɯ', 'c', 'i']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɕ', 'u', 'S', 's', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'j', 'ɤ', 'a', 'z', 'ɣ', 'ɯ', 't', 'S', 't', 'ɕ', 'e', 'S', 's', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'ɯ', 'r', 'k', 'ɯ', 'S', 'n', 'ɯ', 'S', 't', 'ɕ', 'u', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'q', 'a', 'c', 'h', 'ɣ', 'a', 'S', 'c', 'i', 'S', 'p', 'j', 'ɤ', 'k', 'ɤ', 'm', 'd', 'z', 'ɯ', 'c', 'i']	0.958	0.997	0.96
tɕeri nɯnɯ tɤmdzɤrgi tɯrdoʁ ɣɯ ɯmɯntoʁ nɯ 	tɕeri nɯnɯ tɤmdɤrgi tɯrdoʁ ɣɯ ɯmɯntoʁ nɯ	['t', 'ɕ', 'e', 'r', 'i', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɤ', 'm', 'd', 'z', 'ɤ', 'r', 'g', 'i', 'S', 't', 'ɯ', 'r', 'd', 'o', 'ʁ', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'm', 'ɯ', 'n', 't', 'o', 'ʁ', 'S', 'n', 'ɯ', 'S']	['t', 'ɕ', 'e', 'r', 'i', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɤ', 'm', 'd', '*', 'ɤ', 'r', 'g', 'i', 'S', 't', 'ɯ', 'r', 'd', 'o', 'ʁ', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'm', 'ɯ', 'n', 't', 'o', 'ʁ', 'S', 'n', 'ɯ', '*']	0.878	0.941	0.933
tɕe ɯkɤpa ɲɤme qhe tɕendɤre nɯtɕu tɕe tɯsi ʑo kɤnɤjo pjɤɕti 	tɕe kɤpa ɲɤme qhe tɕendɤre nɯtɕu tɕe tɯsi ʑo kɤnɤjo pjɤɕti	['t', 'ɕ', 'e', 'S', 'ɯ', 'k', 'ɤ', 'p', 'a', 'S', 'ɲ', 'ɤ', 'm', 'e', 'S', 'q', 'h', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɯ', 't', 'ɕ', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɯ', 's', 'i', 'S', 'ʑ', 'o', 'S', 'k', 'ɤ', 'n', 'ɤ', 'j', 'o', 'S', 'p', 'j', 'ɤ', 'ɕ', 't', 'i', 'S']	['t', 'ɕ', 'e', 'S', '*', 'k', 'ɤ', 'p', 'a', 'S', 'ɲ', 'ɤ', 'm', 'e', 'S', 'q', 'h', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɯ', 't', 'ɕ', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɯ', 's', 'i', 'S', 'ʑ', 'o', 'S', 'k', 'ɤ', 'n', 'ɤ', 'j', 'o', 'S', 'p', 'j', 'ɤ', 'ɕ', 't', 'i', '*']	0.946	0.957	0.982
ki tɕhɯkɤɣar ɣɯ ʑmbri sthɯci mɯ́jwxti	ki tɕhɯkɤɣar ɣɯ ʑmbri sthɯci mɯ́jwxti	['k', 'i', 'S', 't', 'ɕ', 'h', 'ɯ', 'k', 'ɤ', 'ɣ', 'a', 'r', 'S', 'ɣ', 'ɯ', 'S', 'ʑ', 'm', 'b', 'r', 'i', 'S', 's', 't', 'h', 'ɯ', 'c', 'i', 'S', 'm', 'ɯ', '́', 'j', 'w', 'x', 't', 'i']	['k', 'i', 'S', 't', 'ɕ', 'h', 'ɯ', 'k', 'ɤ', 'ɣ', 'a', 'r', 'S', 'ɣ', 'ɯ', 'S', 'ʑ', 'm', 'b', 'r', 'i', 'S', 's', 't', 'h', 'ɯ', 'c', 'i', 'S', 'm', 'ɯ', '́', 'j', 'w', 'x', 't', 'i']	1.0	1.0	1.0
tɤkhe pɣɤtɕɯ nɯ kɯ nɤki kuɕɯm	tɤkhe pɣɤtɕɯ ɣɯ nɯ kɯ nɤki kuɕɯm	['t', 'ɤ', 'k', 'h', 'e', 'S', 'p', 'ɣ', 'ɤ', 't', 'ɕ', 'ɯ', 'S', '*', '*', '*', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'k', 'u', 'ɕ', 'ɯ', 'm']	['t', 'ɤ', 'k', 'h', 'e', 'S', 'p', 'ɣ', 'ɤ', 't', 'ɕ', 'ɯ', 'S', 'ɣ', 'ɯ', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'k', 'u', 'ɕ', 'ɯ', 'm']	0.898	0.942	0.933
tɕendɤre nɤʑo rcanɯ maka pɣa ra ɣɯ nɯtɤru ɲɯtɯsna toti ɲɯŋu	tɕendɤre nɤʑo rcanɯ maka pɣa ra ɣɯ nɯtɤru ɯɲɯtɯsna toti ɲɯŋu	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'ʑ', 'o', 'S', 'r', 'c', 'a', 'n', 'ɯ', 'S', 'm', 'a', 'k', 'a', 'S', 'p', 'ɣ', 'a', 'S', 'r', 'a', 'S', 'ɣ', 'ɯ', 'S', 'n', 'ɯ', 't', 'ɤ', 'r', 'u', 'S', '*', 'ɲ', 'ɯ', 't', 'ɯ', 's', 'n', 'a', 'S', 't', 'o', 't', 'i', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'ʑ', 'o', 'S', 'r', 'c', 'a', 'n', 'ɯ', 'S', 'm', 'a', 'k', 'a', 'S', 'p', 'ɣ', 'a', 'S', 'r', 'a', 'S', 'ɣ', 'ɯ', 'S', 'n', 'ɯ', 't', 'ɤ', 'r', 'u', 'S', 'ɯ', 'ɲ', 'ɯ', 't', 'ɯ', 's', 'n', 'a', 'S', 't', 'o', 't', 'i', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	0.953	0.994	0.957
tɤɕime nɯ khɯɣɲɟɯ ɯrkɯ nɯtɕu thɯari tɕe 	tɤɕime nɯ khɯɣɲɟɯ ɯrkɯ nɯ tɕu thari tɕe	['t', 'ɤ', 'ɕ', 'i', 'm', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'h', 'ɯ', 'ɣ', 'ɲ', 'ɟ', 'ɯ', 'S', 'ɯ', 'r', 'k', 'ɯ', 'S', 'n', 'ɯ', '*', 't', 'ɕ', 'u', 'S', 't', 'h', 'ɯ', 'a', 'r', 'i', 'S', 't', 'ɕ', 'e', 'S']	['t', 'ɤ', 'ɕ', 'i', 'm', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'h', 'ɯ', 'ɣ', 'ɲ', 'ɟ', 'ɯ', 'S', 'ɯ', 'r', 'k', 'ɯ', 'S', 'n', 'ɯ', 'S', 't', 'ɕ', 'u', 'S', 't', 'h', '*', 'a', 'r', 'i', 'S', 't', 'ɕ', 'e', '*']	0.932	0.937	0.929
rŋɯl kɯ qaʁ pjɤsɯβzu rŋɯl kɯ ldɯɣɯ pjɤsɯβzu rŋɯl kɯ tɯrpa pjɤsɯβzunɯ	rŋɯl kɯ qaʁ pjɤsɯβzu rŋɯl kɯlldɯɣɯ pjɤsɯβzu rŋɯl kɯ tɯrpa pjɤsɯβzunɯ	['r', 'ŋ', 'ɯ', 'l', 'S', 'k', 'ɯ', 'S', 'q', 'a', 'ʁ', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'β', 'z', 'u', 'S', 'r', 'ŋ', 'ɯ', 'l', 'S', 'k', 'ɯ', 'S', 'l', 'd', 'ɯ', 'ɣ', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'β', 'z', 'u', 'S', 'r', 'ŋ', 'ɯ', 'l', 'S', 'k', 'ɯ', 'S', 't', 'ɯ', 'r', 'p', 'a', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'β', 'z', 'u', 'n', 'ɯ']	['r', 'ŋ', 'ɯ', 'l', 'S', 'k', 'ɯ', 'S', 'q', 'a', 'ʁ', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'β', 'z', 'u', 'S', 'r', 'ŋ', 'ɯ', 'l', 'S', 'k', 'ɯ', 'l', 'l', 'd', 'ɯ', 'ɣ', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'β', 'z', 'u', 'S', 'r', 'ŋ', 'ɯ', 'l', 'S', 'k', 'ɯ', 'S', 't', 'ɯ', 'r', 'p', 'a', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'β', 'z', 'u', 'n', 'ɯ']	0.992	0.99	0.995
nɯ ɯŋgɯ pjɯɣinɯ tɕe tɕe 	nɯ ɯŋgɯ pjɯɣinɯ tɕe tɕe	['n', 'ɯ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'p', 'j', 'ɯ', 'ɣ', 'i', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S']	['n', 'ɯ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'p', 'j', 'ɯ', 'ɣ', 'i', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', '*']	0.915	0.923	0.985
jiqi pjɯlɤtnɯ ɲɯɕti tɕe 	ɯɯtɕhi pjɯlɤt ɲɯɕti tɕe	['*', '*', 'j', 'i', 'q', 'i', 'S', 'p', 'j', 'ɯ', 'l', 'ɤ', 't', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'ɕ', 't', 'i', 'S', 't', 'ɕ', 'e', 'S']	['ɯ', 'ɯ', 't', 'ɕ', 'h', 'i', 'S', 'p', 'j', 'ɯ', 'l', 'ɤ', 't', '*', '*', 'S', 'ɲ', 'ɯ', 'ɕ', 't', 'i', 'S', 't', 'ɕ', 'e', '*']	0.637	0.794	0.706
tɕe nɯnɯ chɯnɯtsɯm qhe 	tɕe nɯnɯ chɯnɯtsɯm qhe	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'c', 'h', 'ɯ', 'n', 'ɯ', 't', 's', 'ɯ', 'm', 'S', 'q', 'h', 'e', 'S']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'c', 'h', 'ɯ', 'n', 'ɯ', 't', 's', 'ɯ', 'm', 'S', 'q', 'h', 'e', '*']	0.905	0.917	0.979
khɯna ndɤre 	khɯna mɯpɯfɕɤt tɕi ŋuɤ	['k', 'h', 'ɯ', 'n', 'a', 'S', '*', '*', '*', '*', 'n', 'd', 'ɤ', 'r', 'e', 'S', '*', '*', '*', '*', '*', '*']	['k', 'h', 'ɯ', 'n', 'a', 'S', 'm', 'ɯ', 'p', 'ɯ', 'f', 'ɕ', 'ɤ', 't', 'S', 't', 'ɕ', 'i', 'S', 'ŋ', 'u', 'ɤ']	0.275	0.482	0.737
tɕheme kɯpɣi nɯ kɯ nɤkinɯ rɟɤlpu ɣɯ ɯjaʁ nɯ ɲɤ ɯtɕɯ nɯ ɯjaʁ ɲɤsɯɕlɯɣ qhendɤre jo	tɕheme kɯpɣi nɯ kɯ nɤkinɯ rɟɤlpu ɣɯ ɯjaʁ nɯ ɲsɯtɕɯ nɯ ɯjaʁ ɲɤsɯɕlɯɣ qhendɤre	['t', 'ɕ', 'h', 'e', 'm', 'e', 'S', 'k', 'ɯ', 'p', 'ɣ', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'r', 'ɟ', 'ɤ', 'l', 'p', 'u', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', 'ɲ', 'ɤ', 'S', 'ɯ', 't', 'ɕ', 'ɯ', 'S', 'n', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'ɲ', 'ɤ', 's', 'ɯ', 'ɕ', 'l', 'ɯ', 'ɣ', 'S', 'q', 'h', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'j', 'o']	['t', 'ɕ', 'h', 'e', 'm', 'e', 'S', 'k', 'ɯ', 'p', 'ɣ', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'r', 'ɟ', 'ɤ', 'l', 'p', 'u', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', 'ɲ', '*', 's', 'ɯ', 't', 'ɕ', 'ɯ', 'S', 'n', 'ɯ', 'S', 'ɯ', 'j', 'a', 'ʁ', 'S', 'ɲ', 'ɤ', 's', 'ɯ', 'ɕ', 'l', 'ɯ', 'ɣ', 'S', 'q', 'h', 'e', 'n', 'd', 'ɤ', 'r', 'e', '*', '*', '*']	0.896	0.942	0.936
tɕendɤre nɤki tshɤ tshɤnmu nɯ tɤrga kɯ pjɤsɤre	tɕendɤre nɤki tshɯ tshɤnmu nɯ tɤrga kɯ pjɤsɤre	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 's', 'h', 'ɤ', 'S', 't', 's', 'h', 'ɤ', 'n', 'm', 'u', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 'r', 'g', 'a', 'S', 'k', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'ɤ', 'r', 'e']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 's', 'h', 'ɯ', 'S', 't', 's', 'h', 'ɤ', 'n', 'm', 'u', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 'r', 'g', 'a', 'S', 'k', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'ɤ', 'r', 'e']	0.985	0.982	0.992
tu ɲɯŋgrɤl ŋgrɤl mɤŋgrɤl mɤxsi	tu ɲɯŋgrɤl ŋgrɤl mɤŋgrɤl mɤxsi	['t', 'u', 'S', 'ɲ', 'ɯ', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'm', 'ɤ', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'm', 'ɤ', 'x', 's', 'i']	['t', 'u', 'S', 'ɲ', 'ɯ', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'm', 'ɤ', 'ŋ', 'g', 'r', 'ɤ', 'l', 'S', 'm', 'ɤ', 'x', 's', 'i']	1.0	1.0	1.0
ma nɯnɯ koŋla sɯŋgɯ ri kurɤʑi ɕti qhe	ma nɯnɯ koŋla sɯŋgɯ ri kurɤʑi ɕti qhe	['m', 'a', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'o', 'ŋ', 'l', 'a', 'S', 's', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'r', 'i', 'S', 'k', 'u', 'r', 'ɤ', 'ʑ', 'i', 'S', 'ɕ', 't', 'i', 'S', 'q', 'h', 'e']	['m', 'a', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'o', 'ŋ', 'l', 'a', 'S', 's', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 'r', 'i', 'S', 'k', 'u', 'r', 'ɤ', 'ʑ', 'i', 'S', 'ɕ', 't', 'i', 'S', 'q', 'h', 'e']	1.0	1.0	1.0
nɯnɯ zgo ɯpa nɯtɕu pjɤsɯxɕe tɕe 	nɯnɯ zgo ɯpa nɯ tɕu pjɤsɯxɕe tɕe	['n', 'ɯ', 'n', 'ɯ', 'S', 'z', 'g', 'o', 'S', 'ɯ', 'p', 'a', 'S', 'n', 'ɯ', '*', 't', 'ɕ', 'u', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'x', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S']	['n', 'ɯ', 'n', 'ɯ', 'S', 'z', 'g', 'o', 'S', 'ɯ', 'p', 'a', 'S', 'n', 'ɯ', 'S', 't', 'ɕ', 'u', 'S', 'p', 'j', 'ɤ', 's', 'ɯ', 'x', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', '*']	0.931	0.931	0.931
tɕe nɯ qaʑo nɯnɯ qibashi jin bajiushi jin jamar apɯtu tɕe	tɕe nɯ qaʑo nɯnɯ qi ba shi jin bajiushi jin jamar apɯtu tɕe	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'q', 'a', 'ʑ', 'o', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'q', 'i', '*', 'b', 'a', '*', 's', 'h', 'i', 'S', 'j', 'i', 'n', 'S', 'b', 'a', 'j', 'i', 'u', 's', 'h', 'i', 'S', 'j', 'i', 'n', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 'a', 'p', 'ɯ', 't', 'u', 'S', 't', 'ɕ', 'e']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'q', 'a', 'ʑ', 'o', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'q', 'i', 'S', 'b', 'a', 'S', 's', 'h', 'i', 'S', 'j', 'i', 'n', 'S', 'b', 'a', 'j', 'i', 'u', 's', 'h', 'i', 'S', 'j', 'i', 'n', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 'a', 'p', 'ɯ', 't', 'u', 'S', 't', 'ɕ', 'e']	0.945	0.992	0.95
nɤʑo aʑo kɯ tɯtatɯt tɯtɤtɯta nɯ tɤste tɕe tɕendɤre	nɤʑo aʑo kɯ tɯtatɯtɯta nɯ tɤste tɕe tɕendɤrere	['n', 'ɤ', 'ʑ', 'o', 'S', 'a', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 't', 'ɯ', 't', 'a', 't', 'ɯ', 't', 'S', 't', 'ɯ', 't', 'ɤ', 't', 'ɯ', 't', 'a', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 's', 't', 'e', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', '*', '*', 'r', 'e']	['n', 'ɤ', 'ʑ', 'o', 'S', 'a', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 't', 'ɯ', 't', 'a', 't', 'ɯ', 't', '*', '*', '*', '*', '*', '*', 'ɯ', 't', 'a', 'S', 'n', 'ɯ', 'S', 't', 'ɤ', 's', 't', 'e', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'r', 'e']	0.874	0.887	0.881
tɕendɤre ɯʑo kɯ tshitsuku ɲɤndɯn tɕe khɤndɯn ra ɲɤβzu tɕe tɕendɤre nɤkinɯ iɕqha nɯ	tɕendɤre ɯʑo kɯ tshitsuku ɲɤndɯn tɕe khɤndɯn ra ɲɤβzu tɕe tɕendɤre nɤkinɯ iɕqha nɯ	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 't', 's', 'h', 'i', 't', 's', 'u', 'k', 'u', 'S', 'ɲ', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 't', 'ɕ', 'e', 'S', 'k', 'h', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 'r', 'a', 'S', 'ɲ', 'ɤ', 'β', 'z', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 't', 's', 'h', 'i', 't', 's', 'u', 'k', 'u', 'S', 'ɲ', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 't', 'ɕ', 'e', 'S', 'k', 'h', 'ɤ', 'n', 'd', 'ɯ', 'n', 'S', 'r', 'a', 'S', 'ɲ', 'ɤ', 'β', 'z', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ']	1.0	1.0	1.0
kɯmaʁ tɯrme ɯxso tɯrme ra nɯtɕhaʁra pjɤŋu	kɯmaʁ tɯrme ɯxso tɯrme ra nɯtɕhaʁ ra pjɤŋu	['k', 'ɯ', 'm', 'a', 'ʁ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'ɯ', 'x', 's', 'o', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'r', 'a', 'S', 'n', 'ɯ', 't', 'ɕ', 'h', 'a', 'ʁ', '*', 'r', 'a', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u']	['k', 'ɯ', 'm', 'a', 'ʁ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'ɯ', 'x', 's', 'o', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'r', 'a', 'S', 'n', 'ɯ', 't', 'ɕ', 'h', 'a', 'ʁ', 'S', 'r', 'a', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u']	0.949	0.993	0.952
tɕe tówɣzrɤŋgat tɕe tɕendɤre nɯnɯ kɯ iɕqha nɯ  tɯci tɯtɤste torku	tɕe tozrɤŋgat tɕe tɕendɤre nɯnɯ kɯ iɕqha nɯ tɯci tɯtɤste toti mu	['t', 'ɕ', 'e', 'S', 't', 'o', '́', 'w', 'ɣ', 'z', 'r', 'ɤ', 'ŋ', 'g', 'a', 't', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'S', 't', 'ɯ', 'c', 'i', 'S', 't', 'ɯ', 't', 'ɤ', 's', 't', 'e', 'S', 't', 'o', '*', '*', 'r', 'k', 'u']	['t', 'ɕ', 'e', 'S', 't', 'o', '*', '*', '*', 'z', 'r', 'ɤ', 'ŋ', 'g', 'a', 't', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', '*', 'S', 't', 'ɯ', 'c', 'i', 'S', 't', 'ɯ', 't', 'ɤ', 's', 't', 'e', 'S', 't', 'o', 't', 'i', 'S', 'm', 'u']	0.774	0.903	0.811
tɕe nɤki nɯ ɯfso tɕe tɕendɤre li nɯ pjɤfse ɲɯŋu tɕendɤre iɕqha nɯ iɕqha nɯ nɤkinɯ	tɕe nɤki nɯ ɯfso tɕe tɕendɤre li nɯ pjɤfse ɲɯŋu tɕe tɕendɤre iɕqha nɯ iɕqha nɯ nɤkinɯ	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'n', 'ɯ', 'S', 'ɯ', 'f', 's', 'o', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'l', 'i', 'S', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'f', 's', 'e', 'S', 'ɲ', 'ɯ', 'ŋ', 'u', 'S', 't', 'ɕ', 'e', '*', '*', '*', '*', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ']	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'n', 'ɯ', 'S', 'ɯ', 'f', 's', 'o', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'l', 'i', 'S', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'f', 's', 'e', 'S', 'ɲ', 'ɯ', 'ŋ', 'u', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ']	0.946	0.978	0.958
tɕe nɯ kɯfse tuntɕhoznɯ ɲɯŋu	tɕe nɯ kɯfse tuntɕhoznɯ ɲɯŋu	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 't', 'u', 'n', 't', 'ɕ', 'h', 'o', 'z', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 't', 'u', 'n', 't', 'ɕ', 'h', 'o', 'z', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	1.0	1.0	1.0
ma sɤznɤrɯre kɯ ʑo jonɯɕe 	ma sɤznɤrɯre kɯ ʑo jonɯɕe	['m', 'a', 'S', 's', 'ɤ', 'z', 'n', 'ɤ', 'r', 'ɯ', 'r', 'e', 'S', 'k', 'ɯ', 'S', 'ʑ', 'o', 'S', 'j', 'o', 'n', 'ɯ', 'ɕ', 'e', 'S']	['m', 'a', 'S', 's', 'ɤ', 'z', 'n', 'ɤ', 'r', 'ɯ', 'r', 'e', 'S', 'k', 'ɯ', 'S', 'ʑ', 'o', 'S', 'j', 'o', 'n', 'ɯ', 'ɕ', 'e', '*']	0.931	0.938	0.988
